timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AT,electricity,scr2081,dem,34.167899916861984
h0002,AT,electricity,scr2081,dem,33.159589851335895
h0003,AT,electricity,scr2081,dem,33.84410717756679
h0004,AT,electricity,scr2081,dem,30.334873566334302
h0005,AT,electricity,scr2081,dem,24.380139394356735
h0006,AT,electricity,scr2081,dem,19.878496720484623
h0007,AT,electricity,scr2081,dem,18.63629693375154
h0008,AT,electricity,scr2081,dem,25.320717936623932
h0009,AT,electricity,scr2081,dem,26.93181223193873
h0010,AT,electricity,scr2081,dem,29.523896371889748
h0011,AT,electricity,scr2081,dem,25.001838414950175
h0012,AT,electricity,scr2081,dem,23.306923418671868
h0013,AT,electricity,scr2081,dem,20.551400096895748
h0014,AT,electricity,scr2081,dem,19.989655312047702
h0015,AT,electricity,scr2081,dem,22.833256419963657
h0016,AT,electricity,scr2081,dem,23.60362230396796
h0017,AT,electricity,scr2081,dem,25.471167437801853
h0018,AT,electricity,scr2081,dem,21.310826746856478
h0019,AT,electricity,scr2081,dem,20.941239862629693
h0020,AT,electricity,scr2081,dem,16.22211193869463
h0021,AT,electricity,scr2081,dem,13.785116835463295
h0022,AT,electricity,scr2081,dem,10.741843837544938
h0023,AT,electricity,scr2081,dem,12.721357192861156
h0024,AT,electricity,scr2081,dem,13.661381610266975
h0025,AT,electricity,scr2081,dem,17.125880009000024
h0026,AT,electricity,scr2081,dem,19.944677177120088
h0027,AT,electricity,scr2081,dem,17.61282941318251
h0028,AT,electricity,scr2081,dem,12.099855031224923
h0029,AT,electricity,scr2081,dem,6.502610927271797
h0030,AT,electricity,scr2081,dem,9.210718065820355
h0031,AT,electricity,scr2081,dem,10.264671119355096
h0032,AT,electricity,scr2081,dem,9.792024005178561
h0033,AT,electricity,scr2081,dem,8.278982601059205
h0034,AT,electricity,scr2081,dem,9.704125793649538
h0035,AT,electricity,scr2081,dem,9.735850838612834
h0036,AT,electricity,scr2081,dem,9.694716325895957
h0037,AT,electricity,scr2081,dem,7.453653885139389
h0038,AT,electricity,scr2081,dem,8.132958712792732
h0039,AT,electricity,scr2081,dem,7.190643823658248
h0040,AT,electricity,scr2081,dem,8.10078862448644
h0041,AT,electricity,scr2081,dem,7.868074643673091
h0042,AT,electricity,scr2081,dem,8.51751936566031
h0043,AT,electricity,scr2081,dem,8.39895580448691
h0044,AT,electricity,scr2081,dem,7.72159776521604
h0045,AT,electricity,scr2081,dem,7.600085518847494
h0046,AT,electricity,scr2081,dem,6.82123890808644
h0047,AT,electricity,scr2081,dem,7.066632124848904
h0048,AT,electricity,scr2081,dem,6.273935624174336
h0049,AT,electricity,scr2081,dem,6.668591334936305
h0050,AT,electricity,scr2081,dem,6.468433494454895
h0051,AT,electricity,scr2081,dem,5.917551424562272
h0052,AT,electricity,scr2081,dem,5.218509117553593
h0053,AT,electricity,scr2081,dem,4.467477177865762
h0054,AT,electricity,scr2081,dem,5.190817222240772
h0055,AT,electricity,scr2081,dem,5.334310651080647
h0056,AT,electricity,scr2081,dem,6.967945664125293
h0057,AT,electricity,scr2081,dem,8.001218686401536
h0058,AT,electricity,scr2081,dem,9.200299773578294
h0059,AT,electricity,scr2081,dem,9.497802477569383
h0060,AT,electricity,scr2081,dem,8.49245100099818
h0061,AT,electricity,scr2081,dem,8.56522052374174
h0062,AT,electricity,scr2081,dem,7.637116242713309
h0063,AT,electricity,scr2081,dem,8.578185603867919
h0064,AT,electricity,scr2081,dem,8.311425583344686
h0065,AT,electricity,scr2081,dem,8.934488892414937
h0066,AT,electricity,scr2081,dem,8.888657761497939
h0067,AT,electricity,scr2081,dem,8.083315687239999
h0068,AT,electricity,scr2081,dem,7.755013583263863
h0069,AT,electricity,scr2081,dem,6.771985719755466
h0070,AT,electricity,scr2081,dem,7.053556268392527
h0071,AT,electricity,scr2081,dem,6.514341019589289
h0072,AT,electricity,scr2081,dem,6.328793522708938
h0073,AT,electricity,scr2081,dem,5.753547127463518
h0074,AT,electricity,scr2081,dem,5.121872817543169
h0075,AT,electricity,scr2081,dem,4.859214353843745
h0076,AT,electricity,scr2081,dem,4.386226671596727
h0077,AT,electricity,scr2081,dem,4.686697097533961
h0078,AT,electricity,scr2081,dem,4.736826338972955
h0079,AT,electricity,scr2081,dem,5.970999329904386
h0080,AT,electricity,scr2081,dem,7.111986410022133
h0081,AT,electricity,scr2081,dem,8.467716001920742
h0082,AT,electricity,scr2081,dem,9.162611817795991
h0083,AT,electricity,scr2081,dem,8.403188372239502
