timestep_2,region_4,technology_3,parameter,value
all,04ES,bevPsngRoadPub,capaConvResi,0.411689201
all,05ES,bevPsngRoadPub,capaConvResi,0.169654119
all,06ES,bevPsngRoadPub,capaConvResi,0.983429812
all,07ES,bevPsngRoadPub,capaConvResi,1.048213073
all,08ES,bevPsngRoadPub,capaConvResi,0.336423035
all,09ES,bevPsngRoadPub,capaConvResi,0.722630457
all,10ES,bevPsngRoadPub,capaConvResi,0.415017638
all,11ES,bevPsngRoadPub,capaConvResi,1.221118273
all,12PT,bevPsngRoadPub,capaConvResi,0.643948044
all,13PT,bevPsngRoadPub,capaConvResi,0.637368526
all,14FR,bevPsngRoadPub,capaConvResi,1.020519306
all,15FR,bevPsngRoadPub,capaConvResi,0.539541327
all,16FR,bevPsngRoadPub,capaConvResi,0.990239309
all,17FR,bevPsngRoadPub,capaConvResi,0.744137764
all,18FR,bevPsngRoadPub,capaConvResi,0.615681417
all,19FR,bevPsngRoadPub,capaConvResi,0.691271645
all,20FR,bevPsngRoadPub,capaConvResi,0.558679841
all,21FR,bevPsngRoadPub,capaConvResi,0.879915836
all,22FR,bevPsngRoadPub,capaConvResi,0.332197676
all,23FR,bevPsngRoadPub,capaConvResi,1.71391722
all,24FR,bevPsngRoadPub,capaConvResi,0.31233368
all,25FR,bevPsngRoadPub,capaConvResi,0.909188102
all,26FR,bevPsngRoadPub,capaConvResi,1.266102351
all,27FR,bevPsngRoadPub,capaConvResi,0.144902004
all,28BE,bevPsngRoadPub,capaConvResi,2.707683586
all,29LU,bevPsngRoadPub,capaConvResi,0.197046822
all,30NL,bevPsngRoadPub,capaConvResi,1.235040423
all,31DE,bevPsngRoadPub,capaConvResi,1.876667759
all,32DE,bevPsngRoadPub,capaConvResi,0.91418703
all,33DE,bevPsngRoadPub,capaConvResi,2.527935438
all,34DE,bevPsngRoadPub,capaConvResi,1.112964974
all,35DE,bevPsngRoadPub,capaConvResi,1.72032948
all,36DE,bevPsngRoadPub,capaConvResi,1.656859195
all,37DE,bevPsngRoadPub,capaConvResi,1.993259232
all,38DK,bevPsngRoadPub,capaConvResi,0.814549262
all,39CZ,bevPsngRoadPub,capaConvResi,1.959608983
all,40CZ,bevPsngRoadPub,capaConvResi,1.270842029
all,41PL,bevPsngRoadPub,capaConvResi,1.550246762
all,42PL,bevPsngRoadPub,capaConvResi,0.960147478
all,43PL,bevPsngRoadPub,capaConvResi,1.452195855
all,44PL,bevPsngRoadPub,capaConvResi,1.502580281
all,45PL,bevPsngRoadPub,capaConvResi,1.015551739
all,46SK,bevPsngRoadPub,capaConvResi,1.113525289
all,47CH,bevPsngRoadPub,capaConvResi,0.675968017
all,48CH,bevPsngRoadPub,capaConvResi,0.089153511
all,49AT,bevPsngRoadPub,capaConvResi,0.484333595
all,50AT,bevPsngRoadPub,capaConvResi,0.714464078
all,51AT,bevPsngRoadPub,capaConvResi,0.800597842
all,52IT,bevPsngRoadPub,capaConvResi,7.586367454
all,53IT,bevPsngRoadPub,capaConvResi,1.764071666
all,54IT,bevPsngRoadPub,capaConvResi,3.419734965
all,55IT,bevPsngRoadPub,capaConvResi,1.781159177
all,56IT,bevPsngRoadPub,capaConvResi,1.389057996
all,57SI,bevPsngRoadPub,capaConvResi,0.65354448
all,58HU,bevPsngRoadPub,capaConvResi,2.956923312
all,59RO,bevPsngRoadPub,capaConvResi,0.814363187
all,60RO,bevPsngRoadPub,capaConvResi,1.305288844
all,61RO,bevPsngRoadPub,capaConvResi,0.725432031
all,62HR,bevPsngRoadPub,capaConvResi,0.972886277
all,63BA,bevPsngRoadPub,capaConvResi,0.72410651
all,64ME,bevPsngRoadPub,capaConvResi,0.01791962
all,65RS,bevPsngRoadPub,capaConvResi,1.817450013
all,66BG,bevPsngRoadPub,capaConvResi,1.425089582
all,67MK,bevPsngRoadPub,capaConvResi,0.409638198
all,68GR,bevPsngRoadPub,capaConvResi,1.015585191
all,69GR,bevPsngRoadPub,capaConvResi,2.813066672
all,70AL,bevPsngRoadPub,capaConvResi,0.542361718
all,72DK,bevPsngRoadPub,capaConvResi,0.616114197
all,73EE,bevPsngRoadPub,capaConvResi,0.430104323
all,74FI,bevPsngRoadPub,capaConvResi,0.201282634
all,75FI,bevPsngRoadPub,capaConvResi,1.280837794
all,77LT,bevPsngRoadPub,capaConvResi,0.519809048
all,78LV,bevPsngRoadPub,capaConvResi,0.466449518
all,79NO,bevPsngRoadPub,capaConvResi,0.106838232
all,80NO,bevPsngRoadPub,capaConvResi,0.111088679
all,81NO,bevPsngRoadPub,capaConvResi,0.08793597
all,82NO,bevPsngRoadPub,capaConvResi,0.28954894
all,83NO,bevPsngRoadPub,capaConvResi,0.083626982
all,84NO,bevPsngRoadPub,capaConvResi,0.074655673
all,85NO,bevPsngRoadPub,capaConvResi,0.011346374
all,86SE,bevPsngRoadPub,capaConvResi,0.046393228
all,87SE,bevPsngRoadPub,capaConvResi,0.16235121
all,88SE,bevPsngRoadPub,capaConvResi,1.0561432
all,89SE,bevPsngRoadPub,capaConvResi,0.313801371
all,90UK,bevPsngRoadPub,capaConvResi,1.986295021
all,91UK,bevPsngRoadPub,capaConvResi,0.673209856
all,92UK,bevPsngRoadPub,capaConvResi,2.65583147
all,93UK,bevPsngRoadPub,capaConvResi,0.730581491
all,94UK,bevPsngRoadPub,capaConvResi,0.372155647
all,95UK,bevPsngRoadPub,capaConvResi,0.231857423
all,96IE,bevPsngRoadPub,capaConvResi,0.951914196
all,98IT,bevPsngRoadPub,capaConvResi,0.442592234
all,99FR,bevPsngRoadPub,capaConvResi,0.063242396
all,01ES,eFrtRail,capaConvResi,0.012961354
