timestep_2,region_4,technology_2,technology_3,parameter,value
all,47CH,onshore,onshore_a,capaConvUp,1.146224622
all,47CH,onshore,onshore_b,capaConvUp,2.934157437
all,47CH,onshore,onshore_c,capaConvUp,0.644134018
all,47CH,openspace_a,,capaConvUp,2.164987069
all,47CH,openspace_b,,capaConvUp,1.532578586
all,47CH,openspace_c,,capaConvUp,31.72536081
all,47CH,rooftopInd_a,,capaConvUp,3.991796928
all,47CH,rooftopInd_b,,capaConvUp,9.526422996
all,47CH,rooftopResi_a,,capaConvUp,10.26315878
all,47CH,rooftopResi_b,,capaConvUp,4.300506676
all,48CH,onshore,onshore_a,capaConvUp,2.275459963
all,48CH,onshore,onshore_b,capaConvUp,0.291850931
all,48CH,onshore,onshore_c,capaConvUp,0.456887752
all,48CH,openspace_a,,capaConvUp,0.399071284
all,48CH,openspace_b,,capaConvUp,1.091378923
all,48CH,openspace_c,,capaConvUp,1.648981126
all,48CH,rooftopInd_a,,capaConvUp,1.930256921
all,48CH,rooftopInd_b,,capaConvUp,0.619827705
all,48CH,rooftopResi_a,,capaConvUp,0.667762722
all,48CH,rooftopResi_b,,capaConvUp,2.079535338
