region_4,region_4,exchange_1,parameter,value
02ES,81NO,biomassTransport,capaExcResi,0
03ES,81NO,biomassTransport,capaExcResi,0
04ES,81NO,biomassTransport,capaExcResi,0
05ES,81NO,biomassTransport,capaExcResi,0
06ES,81NO,biomassTransport,capaExcResi,0
07ES,81NO,biomassTransport,capaExcResi,0
08ES,81NO,biomassTransport,capaExcResi,0
09ES,81NO,biomassTransport,capaExcResi,0
10ES,81NO,biomassTransport,capaExcResi,0
12PT,81NO,biomassTransport,capaExcResi,0
14FR,81NO,biomassTransport,capaExcResi,0
15FR,81NO,biomassTransport,capaExcResi,0
16FR,81NO,biomassTransport,capaExcResi,0
17FR,81NO,biomassTransport,capaExcResi,0
18FR,81NO,biomassTransport,capaExcResi,0
19FR,81NO,biomassTransport,capaExcResi,0
20FR,81NO,biomassTransport,capaExcResi,0
21FR,81NO,biomassTransport,capaExcResi,0
22FR,81NO,biomassTransport,capaExcResi,0
23FR,81NO,biomassTransport,capaExcResi,0
24FR,81NO,biomassTransport,capaExcResi,0
25FR,81NO,biomassTransport,capaExcResi,0
26FR,81NO,biomassTransport,capaExcResi,0
27FR,81NO,biomassTransport,capaExcResi,0
28BE,81NO,biomassTransport,capaExcResi,0
29LU,81NO,biomassTransport,capaExcResi,0
30NL,81NO,biomassTransport,capaExcResi,0
31DE,81NO,biomassTransport,capaExcResi,0
32DE,81NO,biomassTransport,capaExcResi,0
33DE,81NO,biomassTransport,capaExcResi,0
34DE,81NO,biomassTransport,capaExcResi,0
35DE,81NO,biomassTransport,capaExcResi,0
36DE,81NO,biomassTransport,capaExcResi,0
37DE,81NO,biomassTransport,capaExcResi,0
39CZ,81NO,biomassTransport,capaExcResi,0
40CZ,81NO,biomassTransport,capaExcResi,0
41PL,81NO,biomassTransport,capaExcResi,0
42PL,81NO,biomassTransport,capaExcResi,0
43PL,81NO,biomassTransport,capaExcResi,0
44PL,81NO,biomassTransport,capaExcResi,0
46SK,81NO,biomassTransport,capaExcResi,0
47CH,81NO,biomassTransport,capaExcResi,0
48CH,81NO,biomassTransport,capaExcResi,0
49AT,81NO,biomassTransport,capaExcResi,0
50AT,81NO,biomassTransport,capaExcResi,0
51AT,81NO,biomassTransport,capaExcResi,0
52IT,81NO,biomassTransport,capaExcResi,0
53IT,81NO,biomassTransport,capaExcResi,0
54IT,81NO,biomassTransport,capaExcResi,0
58HU,81NO,biomassTransport,capaExcResi,0
59RO,81NO,biomassTransport,capaExcResi,0
60RO,81NO,biomassTransport,capaExcResi,0
61RO,81NO,biomassTransport,capaExcResi,0
62HR,81NO,biomassTransport,capaExcResi,0
63BA,81NO,biomassTransport,capaExcResi,0
64ME,81NO,biomassTransport,capaExcResi,0
65RS,81NO,biomassTransport,capaExcResi,0
66BG,81NO,biomassTransport,capaExcResi,0
68GR,81NO,biomassTransport,capaExcResi,0
73EE,81NO,biomassTransport,capaExcResi,0
74FI,81NO,biomassTransport,capaExcResi,0
75FI,81NO,biomassTransport,capaExcResi,0
77LT,81NO,biomassTransport,capaExcResi,0
79NO,81NO,biomassTransport,capaExcResi,0
81NO,81NO,biomassTransport,capaExcResi,0
82NO,81NO,biomassTransport,capaExcResi,0
83NO,81NO,biomassTransport,capaExcResi,0
84NO,81NO,biomassTransport,capaExcResi,0
86SE,81NO,biomassTransport,capaExcResi,0
89SE,81NO,biomassTransport,capaExcResi,0
90UK,81NO,biomassTransport,capaExcResi,0
92UK,81NO,biomassTransport,capaExcResi,0
93UK,81NO,biomassTransport,capaExcResi,0
94UK,81NO,biomassTransport,capaExcResi,0
95UK,81NO,biomassTransport,capaExcResi,0
55IT,81NO,biomassTransport,capaExcResi,0
57SI,81NO,biomassTransport,capaExcResi,0
67MK,81NO,biomassTransport,capaExcResi,0
85NO,81NO,biomassTransport,capaExcResi,0
88SE,81NO,biomassTransport,capaExcResi,0
98IT,81NO,biomassTransport,capaExcResi,0
01ES,83NO,biomassTransport,capaExcResi,0
02ES,83NO,biomassTransport,capaExcResi,0
03ES,83NO,biomassTransport,capaExcResi,0
04ES,83NO,biomassTransport,capaExcResi,0
05ES,83NO,biomassTransport,capaExcResi,0
06ES,83NO,biomassTransport,capaExcResi,0
07ES,83NO,biomassTransport,capaExcResi,0
08ES,83NO,biomassTransport,capaExcResi,0
09ES,83NO,biomassTransport,capaExcResi,0
10ES,83NO,biomassTransport,capaExcResi,0
12PT,83NO,biomassTransport,capaExcResi,0
14FR,83NO,biomassTransport,capaExcResi,0
15FR,83NO,biomassTransport,capaExcResi,0
16FR,83NO,biomassTransport,capaExcResi,0
17FR,83NO,biomassTransport,capaExcResi,0
18FR,83NO,biomassTransport,capaExcResi,0
19FR,83NO,biomassTransport,capaExcResi,0
20FR,83NO,biomassTransport,capaExcResi,0
21FR,83NO,biomassTransport,capaExcResi,0
22FR,83NO,biomassTransport,capaExcResi,0
23FR,83NO,biomassTransport,capaExcResi,0
24FR,83NO,biomassTransport,capaExcResi,0
25FR,83NO,biomassTransport,capaExcResi,0
26FR,83NO,biomassTransport,capaExcResi,0
27FR,83NO,biomassTransport,capaExcResi,0
28BE,83NO,biomassTransport,capaExcResi,0
29LU,83NO,biomassTransport,capaExcResi,0
30NL,83NO,biomassTransport,capaExcResi,0
31DE,83NO,biomassTransport,capaExcResi,0
32DE,83NO,biomassTransport,capaExcResi,0
33DE,83NO,biomassTransport,capaExcResi,0
34DE,83NO,biomassTransport,capaExcResi,0
35DE,83NO,biomassTransport,capaExcResi,0
36DE,83NO,biomassTransport,capaExcResi,0
37DE,83NO,biomassTransport,capaExcResi,0
39CZ,83NO,biomassTransport,capaExcResi,0
40CZ,83NO,biomassTransport,capaExcResi,0
41PL,83NO,biomassTransport,capaExcResi,0
42PL,83NO,biomassTransport,capaExcResi,0
43PL,83NO,biomassTransport,capaExcResi,0
44PL,83NO,biomassTransport,capaExcResi,0
46SK,83NO,biomassTransport,capaExcResi,0
47CH,83NO,biomassTransport,capaExcResi,0
48CH,83NO,biomassTransport,capaExcResi,0
49AT,83NO,biomassTransport,capaExcResi,0
50AT,83NO,biomassTransport,capaExcResi,0
51AT,83NO,biomassTransport,capaExcResi,0
52IT,83NO,biomassTransport,capaExcResi,0
53IT,83NO,biomassTransport,capaExcResi,0
54IT,83NO,biomassTransport,capaExcResi,0
58HU,83NO,biomassTransport,capaExcResi,0
59RO,83NO,biomassTransport,capaExcResi,0
60RO,83NO,biomassTransport,capaExcResi,0
61RO,83NO,biomassTransport,capaExcResi,0
62HR,83NO,biomassTransport,capaExcResi,0
63BA,83NO,biomassTransport,capaExcResi,0
64ME,83NO,biomassTransport,capaExcResi,0
65RS,83NO,biomassTransport,capaExcResi,0
66BG,83NO,biomassTransport,capaExcResi,0
68GR,83NO,biomassTransport,capaExcResi,0
73EE,83NO,biomassTransport,capaExcResi,0
74FI,83NO,biomassTransport,capaExcResi,0
75FI,83NO,biomassTransport,capaExcResi,0
77LT,83NO,biomassTransport,capaExcResi,0
79NO,83NO,biomassTransport,capaExcResi,0
83NO,83NO,biomassTransport,capaExcResi,0
84NO,83NO,biomassTransport,capaExcResi,0
86SE,83NO,biomassTransport,capaExcResi,0
89SE,83NO,biomassTransport,capaExcResi,0
90UK,83NO,biomassTransport,capaExcResi,0
92UK,83NO,biomassTransport,capaExcResi,0
93UK,83NO,biomassTransport,capaExcResi,0
94UK,83NO,biomassTransport,capaExcResi,0
95UK,83NO,biomassTransport,capaExcResi,0
55IT,83NO,biomassTransport,capaExcResi,0
57SI,83NO,biomassTransport,capaExcResi,0
67MK,83NO,biomassTransport,capaExcResi,0
85NO,83NO,biomassTransport,capaExcResi,0
88SE,83NO,biomassTransport,capaExcResi,0
98IT,83NO,biomassTransport,capaExcResi,0
01ES,84NO,biomassTransport,capaExcResi,0
02ES,84NO,biomassTransport,capaExcResi,0
03ES,84NO,biomassTransport,capaExcResi,0
04ES,84NO,biomassTransport,capaExcResi,0
05ES,84NO,biomassTransport,capaExcResi,0
06ES,84NO,biomassTransport,capaExcResi,0
07ES,84NO,biomassTransport,capaExcResi,0
08ES,84NO,biomassTransport,capaExcResi,0
09ES,84NO,biomassTransport,capaExcResi,0
10ES,84NO,biomassTransport,capaExcResi,0
12PT,84NO,biomassTransport,capaExcResi,0
14FR,84NO,biomassTransport,capaExcResi,0
15FR,84NO,biomassTransport,capaExcResi,0
16FR,84NO,biomassTransport,capaExcResi,0
17FR,84NO,biomassTransport,capaExcResi,0
18FR,84NO,biomassTransport,capaExcResi,0
19FR,84NO,biomassTransport,capaExcResi,0
20FR,84NO,biomassTransport,capaExcResi,0
21FR,84NO,biomassTransport,capaExcResi,0
22FR,84NO,biomassTransport,capaExcResi,0
23FR,84NO,biomassTransport,capaExcResi,0
24FR,84NO,biomassTransport,capaExcResi,0
25FR,84NO,biomassTransport,capaExcResi,0
26FR,84NO,biomassTransport,capaExcResi,0
27FR,84NO,biomassTransport,capaExcResi,0
28BE,84NO,biomassTransport,capaExcResi,0
29LU,84NO,biomassTransport,capaExcResi,0
30NL,84NO,biomassTransport,capaExcResi,0
31DE,84NO,biomassTransport,capaExcResi,0
32DE,84NO,biomassTransport,capaExcResi,0
33DE,84NO,biomassTransport,capaExcResi,0
34DE,84NO,biomassTransport,capaExcResi,0
35DE,84NO,biomassTransport,capaExcResi,0
36DE,84NO,biomassTransport,capaExcResi,0
37DE,84NO,biomassTransport,capaExcResi,0
39CZ,84NO,biomassTransport,capaExcResi,0
40CZ,84NO,biomassTransport,capaExcResi,0
41PL,84NO,biomassTransport,capaExcResi,0
42PL,84NO,biomassTransport,capaExcResi,0
43PL,84NO,biomassTransport,capaExcResi,0
44PL,84NO,biomassTransport,capaExcResi,0
46SK,84NO,biomassTransport,capaExcResi,0
47CH,84NO,biomassTransport,capaExcResi,0
48CH,84NO,biomassTransport,capaExcResi,0
49AT,84NO,biomassTransport,capaExcResi,0
50AT,84NO,biomassTransport,capaExcResi,0
51AT,84NO,biomassTransport,capaExcResi,0
52IT,84NO,biomassTransport,capaExcResi,0
53IT,84NO,biomassTransport,capaExcResi,0
54IT,84NO,biomassTransport,capaExcResi,0
58HU,84NO,biomassTransport,capaExcResi,0
59RO,84NO,biomassTransport,capaExcResi,0
60RO,84NO,biomassTransport,capaExcResi,0
61RO,84NO,biomassTransport,capaExcResi,0
62HR,84NO,biomassTransport,capaExcResi,0
63BA,84NO,biomassTransport,capaExcResi,0
64ME,84NO,biomassTransport,capaExcResi,0
65RS,84NO,biomassTransport,capaExcResi,0
66BG,84NO,biomassTransport,capaExcResi,0
68GR,84NO,biomassTransport,capaExcResi,0
73EE,84NO,biomassTransport,capaExcResi,0
74FI,84NO,biomassTransport,capaExcResi,0
75FI,84NO,biomassTransport,capaExcResi,0
77LT,84NO,biomassTransport,capaExcResi,0
79NO,84NO,biomassTransport,capaExcResi,0
81NO,84NO,biomassTransport,capaExcResi,0
83NO,84NO,biomassTransport,capaExcResi,0
84NO,84NO,biomassTransport,capaExcResi,0
86SE,84NO,biomassTransport,capaExcResi,0
89SE,84NO,biomassTransport,capaExcResi,0
90UK,84NO,biomassTransport,capaExcResi,0
92UK,84NO,biomassTransport,capaExcResi,0
93UK,84NO,biomassTransport,capaExcResi,0
94UK,84NO,biomassTransport,capaExcResi,0
95UK,84NO,biomassTransport,capaExcResi,0
55IT,84NO,biomassTransport,capaExcResi,0
57SI,84NO,biomassTransport,capaExcResi,0
67MK,84NO,biomassTransport,capaExcResi,0
85NO,84NO,biomassTransport,capaExcResi,0
88SE,84NO,biomassTransport,capaExcResi,0
98IT,84NO,biomassTransport,capaExcResi,0
01ES,90UK,biomassTransport,capaExcResi,0
02ES,90UK,biomassTransport,capaExcResi,0
03ES,90UK,biomassTransport,capaExcResi,0
04ES,90UK,biomassTransport,capaExcResi,0
05ES,90UK,biomassTransport,capaExcResi,0
06ES,90UK,biomassTransport,capaExcResi,0
07ES,90UK,biomassTransport,capaExcResi,0
08ES,90UK,biomassTransport,capaExcResi,0
09ES,90UK,biomassTransport,capaExcResi,0
10ES,90UK,biomassTransport,capaExcResi,0
12PT,90UK,biomassTransport,capaExcResi,0
14FR,90UK,biomassTransport,capaExcResi,0
15FR,90UK,biomassTransport,capaExcResi,0
16FR,90UK,biomassTransport,capaExcResi,0
17FR,90UK,biomassTransport,capaExcResi,0
18FR,90UK,biomassTransport,capaExcResi,0
19FR,90UK,biomassTransport,capaExcResi,0
20FR,90UK,biomassTransport,capaExcResi,0
21FR,90UK,biomassTransport,capaExcResi,0
22FR,90UK,biomassTransport,capaExcResi,0
23FR,90UK,biomassTransport,capaExcResi,0
24FR,90UK,biomassTransport,capaExcResi,0
25FR,90UK,biomassTransport,capaExcResi,0
26FR,90UK,biomassTransport,capaExcResi,0
27FR,90UK,biomassTransport,capaExcResi,0
28BE,90UK,biomassTransport,capaExcResi,0
29LU,90UK,biomassTransport,capaExcResi,0
30NL,90UK,biomassTransport,capaExcResi,0
31DE,90UK,biomassTransport,capaExcResi,0
32DE,90UK,biomassTransport,capaExcResi,0
33DE,90UK,biomassTransport,capaExcResi,0
34DE,90UK,biomassTransport,capaExcResi,0
35DE,90UK,biomassTransport,capaExcResi,0
36DE,90UK,biomassTransport,capaExcResi,0
37DE,90UK,biomassTransport,capaExcResi,0
39CZ,90UK,biomassTransport,capaExcResi,0
40CZ,90UK,biomassTransport,capaExcResi,0
41PL,90UK,biomassTransport,capaExcResi,0
42PL,90UK,biomassTransport,capaExcResi,0
43PL,90UK,biomassTransport,capaExcResi,0
44PL,90UK,biomassTransport,capaExcResi,0
46SK,90UK,biomassTransport,capaExcResi,0
47CH,90UK,biomassTransport,capaExcResi,0
48CH,90UK,biomassTransport,capaExcResi,0
49AT,90UK,biomassTransport,capaExcResi,0
50AT,90UK,biomassTransport,capaExcResi,0
51AT,90UK,biomassTransport,capaExcResi,0
52IT,90UK,biomassTransport,capaExcResi,0
53IT,90UK,biomassTransport,capaExcResi,0
54IT,90UK,biomassTransport,capaExcResi,0
58HU,90UK,biomassTransport,capaExcResi,0
59RO,90UK,biomassTransport,capaExcResi,0
60RO,90UK,biomassTransport,capaExcResi,0
61RO,90UK,biomassTransport,capaExcResi,0
62HR,90UK,biomassTransport,capaExcResi,0
63BA,90UK,biomassTransport,capaExcResi,0
64ME,90UK,biomassTransport,capaExcResi,0
65RS,90UK,biomassTransport,capaExcResi,0
66BG,90UK,biomassTransport,capaExcResi,0
68GR,90UK,biomassTransport,capaExcResi,0
73EE,90UK,biomassTransport,capaExcResi,0
74FI,90UK,biomassTransport,capaExcResi,0
75FI,90UK,biomassTransport,capaExcResi,0
79NO,90UK,biomassTransport,capaExcResi,0
81NO,90UK,biomassTransport,capaExcResi,0
82NO,90UK,biomassTransport,capaExcResi,0
83NO,90UK,biomassTransport,capaExcResi,0
86SE,90UK,biomassTransport,capaExcResi,0
90UK,90UK,biomassTransport,capaExcResi,0
92UK,90UK,biomassTransport,capaExcResi,0
93UK,90UK,biomassTransport,capaExcResi,0
94UK,90UK,biomassTransport,capaExcResi,0
95UK,90UK,biomassTransport,capaExcResi,0
55IT,90UK,biomassTransport,capaExcResi,0
57SI,90UK,biomassTransport,capaExcResi,0
67MK,90UK,biomassTransport,capaExcResi,0
85NO,90UK,biomassTransport,capaExcResi,0
88SE,90UK,biomassTransport,capaExcResi,0
98IT,90UK,biomassTransport,capaExcResi,0
