region_4,region_4,exchange_1,parameter,value
26FR,27FR,biomassTransport,capaExcResi,0
27FR,28BE,biomassTransport,capaExcResi,0
28BE,30NL,biomassTransport,capaExcResi,0
29LU,35DE,biomassTransport,capaExcResi,0
30NL,33DE,biomassTransport,capaExcResi,0
31DE,33DE,biomassTransport,capaExcResi,0
31DE,38DK,biomassTransport,capaExcResi,0
32DE,34DE,biomassTransport,capaExcResi,0
32DE,44PL,biomassTransport,capaExcResi,0
33DE,35DE,biomassTransport,capaExcResi,0
34DE,44PL,biomassTransport,capaExcResi,0
35DE,36DE,biomassTransport,capaExcResi,0
35DE,37DE,biomassTransport,capaExcResi,0
36DE,37DE,biomassTransport,capaExcResi,0
36DE,47CH,biomassTransport,capaExcResi,0
37DE,39CZ,biomassTransport,capaExcResi,0
37DE,49AT,biomassTransport,capaExcResi,0
37DE,50AT,biomassTransport,capaExcResi,0
39CZ,40CZ,biomassTransport,capaExcResi,0
40CZ,43PL,biomassTransport,capaExcResi,0
40CZ,46SK,biomassTransport,capaExcResi,0
40CZ,51AT,biomassTransport,capaExcResi,0
41PL,42PL,biomassTransport,capaExcResi,0
41PL,43PL,biomassTransport,capaExcResi,0
41PL,44PL,biomassTransport,capaExcResi,0
41PL,45PL,biomassTransport,capaExcResi,0
42PL,43PL,biomassTransport,capaExcResi,0
43PL,44PL,biomassTransport,capaExcResi,0
44PL,45PL,biomassTransport,capaExcResi,0
46SK,58HU,biomassTransport,capaExcResi,0
47CH,48CH,biomassTransport,capaExcResi,0
48CH,49AT,biomassTransport,capaExcResi,0
48CH,52IT,biomassTransport,capaExcResi,0
49AT,50AT,biomassTransport,capaExcResi,0
49AT,52IT,biomassTransport,capaExcResi,0
50AT,51AT,biomassTransport,capaExcResi,0
50AT,57SI,biomassTransport,capaExcResi,0
51AT,58HU,biomassTransport,capaExcResi,0
52IT,53IT,biomassTransport,capaExcResi,0
52IT,57SI,biomassTransport,capaExcResi,0
53IT,54IT,biomassTransport,capaExcResi,0
54IT,55IT,biomassTransport,capaExcResi,0
58HU,62HR,biomassTransport,capaExcResi,0
58HU,65RS,biomassTransport,capaExcResi,0
59RO,60RO,biomassTransport,capaExcResi,0
60RO,61RO,biomassTransport,capaExcResi,0
60RO,65RS,biomassTransport,capaExcResi,0
61RO,66BG,biomassTransport,capaExcResi,0
62HR,63BA,biomassTransport,capaExcResi,0
62HR,65RS,biomassTransport,capaExcResi,0
63BA,64ME,biomassTransport,capaExcResi,0
63BA,65RS,biomassTransport,capaExcResi,0
64ME,65RS,biomassTransport,capaExcResi,0
64ME,70AL,biomassTransport,capaExcResi,0
65RS,66BG,biomassTransport,capaExcResi,0
65RS,70AL,biomassTransport,capaExcResi,0
66BG,67MK,biomassTransport,capaExcResi,0
66BG,68GR,biomassTransport,capaExcResi,0
68GR,69GR,biomassTransport,capaExcResi,0
68GR,70AL,biomassTransport,capaExcResi,0
73EE,91UK,biomassTransport,capaExcResi,0
74FI,80NO,biomassTransport,capaExcResi,0
75FI,77LT,biomassTransport,capaExcResi,0
75FI,88SE,biomassTransport,capaExcResi,0
77LT,90UK,biomassTransport,capaExcResi,0
79NO,80NO,biomassTransport,capaExcResi,0
81NO,82NO,biomassTransport,capaExcResi,0
82NO,84NO,biomassTransport,capaExcResi,0
83NO,85NO,biomassTransport,capaExcResi,0
84NO,85NO,biomassTransport,capaExcResi,0
84NO,90UK,biomassTransport,capaExcResi,0
86SE,88SE,biomassTransport,capaExcResi,0
86SE,89SE,biomassTransport,capaExcResi,0
89SE,90UK,biomassTransport,capaExcResi,0
90UK,91UK,biomassTransport,capaExcResi,0
92UK,94UK,biomassTransport,capaExcResi,0
93UK,94UK,biomassTransport,capaExcResi,0
94UK,95UK,biomassTransport,capaExcResi,0
95UK,96IE,biomassTransport,capaExcResi,0
02ES,08ES,biomassTransport,capaExcResi,0
07ES,11ES,biomassTransport,capaExcResi,0
01ES,12PT,biomassTransport,capaExcResi,0
09ES,13PT,biomassTransport,capaExcResi,0
05ES,14FR,biomassTransport,capaExcResi,0
06ES,15FR,biomassTransport,capaExcResi,0
14FR,18FR,biomassTransport,capaExcResi,0
15FR,19FR,biomassTransport,capaExcResi,0
16FR,20FR,biomassTransport,capaExcResi,0
18FR,22FR,biomassTransport,capaExcResi,0
19FR,24FR,biomassTransport,capaExcResi,0
25FR,28BE,biomassTransport,capaExcResi,0
26FR,28BE,biomassTransport,capaExcResi,0
28BE,29LU,biomassTransport,capaExcResi,0
30NL,31DE,biomassTransport,capaExcResi,0
31DE,32DE,biomassTransport,capaExcResi,0
31DE,35DE,biomassTransport,capaExcResi,0
34DE,35DE,biomassTransport,capaExcResi,0
34DE,37DE,biomassTransport,capaExcResi,0
34DE,39CZ,biomassTransport,capaExcResi,0
42PL,46SK,biomassTransport,capaExcResi,0
36DE,49AT,biomassTransport,capaExcResi,0
47CH,49AT,biomassTransport,capaExcResi,0
16FR,52IT,biomassTransport,capaExcResi,0
55IT,56IT,biomassTransport,capaExcResi,0
58HU,59RO,biomassTransport,capaExcResi,0
59RO,61RO,biomassTransport,capaExcResi,0
57SI,62HR,biomassTransport,capaExcResi,0
59RO,65RS,biomassTransport,capaExcResi,0
60RO,66BG,biomassTransport,capaExcResi,0
65RS,67MK,biomassTransport,capaExcResi,0
67MK,68GR,biomassTransport,capaExcResi,0
41PL,79NO,biomassTransport,capaExcResi,0
81NO,83NO,biomassTransport,capaExcResi,0
82NO,83NO,biomassTransport,capaExcResi,0
85NO,86SE,biomassTransport,capaExcResi,0
75FI,87SE,biomassTransport,capaExcResi,0
86SE,87SE,biomassTransport,capaExcResi,0
85NO,89SE,biomassTransport,capaExcResi,0
88SE,89SE,biomassTransport,capaExcResi,0
92UK,93UK,biomassTransport,capaExcResi,0
98IT,99FR,biomassTransport,capaExcResi,0
01ES,75FI,biomassTransport,capaExcResi,0
02ES,75FI,biomassTransport,capaExcResi,0
03ES,75FI,biomassTransport,capaExcResi,0
