timestep_2,region_3,technology_3,parameter_1,value_1,parameter_2,value_2,comment
all,01ES,moderate,capaConvUp,1.17,costExpConv,27620,"based on approach in Zeyen (2020), Mitigating heat demand peaks in buildings in a highly renewable European energy system"
all,02ES,moderate,capaConvUp,1.18,costExpConv,27926.3,
all,03ES,moderate,capaConvUp,0.79,costExpConv,27545.3,
all,04ES,moderate,capaConvUp,1.31,costExpConv,29270.2,
all,05ES,moderate,capaConvUp,0.55,costExpConv,27895.6,
all,06ES,moderate,capaConvUp,2.92,costExpConv,28606.1,
all,07ES,moderate,capaConvUp,2.76,costExpConv,29199.9,
all,08ES,moderate,capaConvUp,0.98,costExpConv,27085.5,
all,09ES,moderate,capaConvUp,1.76,costExpConv,27877.8,
all,10ES,moderate,capaConvUp,1.08,costExpConv,27707.8,
all,11ES,moderate,capaConvUp,2.85,costExpConv,28042.6,
all,12PT,moderate,capaConvUp,1.12,costExpConv,49573.2,
all,13PT,moderate,capaConvUp,0.91,costExpConv,50873.7,
all,14FR,moderate,capaConvUp,5.79,costExpConv,11125,
all,15FR,moderate,capaConvUp,3.4,costExpConv,11149.9,
all,16FR,moderate,capaConvUp,5.57,costExpConv,11493.8,
all,17FR,moderate,capaConvUp,5.06,costExpConv,11001.9,
all,18FR,moderate,capaConvUp,4.32,costExpConv,11056.3,
all,19FR,moderate,capaConvUp,4.11,costExpConv,11429.6,
all,20FR,moderate,capaConvUp,4.11,costExpConv,11386.2,
all,21FR,moderate,capaConvUp,5.58,costExpConv,11071.6,
all,22FR,moderate,capaConvUp,2.41,costExpConv,11057,
all,23FR,moderate,capaConvUp,13.68,costExpConv,11798.5,
all,24FR,moderate,capaConvUp,2.37,costExpConv,11112.7,
all,25FR,moderate,capaConvUp,6.54,costExpConv,11291.8,
all,26FR,moderate,capaConvUp,8.86,costExpConv,11085.4,
all,27FR,moderate,capaConvUp,1.06,costExpConv,11224.9,
all,28BE,moderate,capaConvUp,14.67,costExpConv,11386.8,
all,29LU,moderate,capaConvUp,1.22,costExpConv,10698.1,
