timestep_2,carrier_1,region_3,parameter,value,comment,source
all,spaceHeat,01ES,capaDem,4.486244417,computed using historic generation quantities and full load hours from demand profiles,"Heat Roadmap Europe (2017), Profile of heating and cooling demand in 2015; Ruhnau (2019), when2heat"
all,spaceHeat,02ES,capaDem,4.554252856,process heat distributed across clusters based on employment data and heat demand of relevant industries,"JRC (2012), Heat and cooling demand and market perspective; eurostat (2020), SBS data by NUTS 2 regions and NACE Rev. 2"
all,spaceHeat,03ES,capaDem,3.029544329,,
all,spaceHeat,04ES,capaDem,5.024826752,,
all,spaceHeat,05ES,capaDem,2.12853967,,
all,spaceHeat,06ES,capaDem,11.24328249,,
all,spaceHeat,07ES,capaDem,10.61320846,,
all,spaceHeat,08ES,capaDem,3.787820519,,
all,spaceHeat,09ES,capaDem,6.75685186,,
all,spaceHeat,10ES,capaDem,4.144992023,,
all,spaceHeat,11ES,capaDem,10.95523584,,
all,spaceHeat,12PT,capaDem,4.867170184,,
all,spaceHeat,13PT,capaDem,3.940302166,,
all,spaceHeat,14FR,capaDem,17.02015619,,
all,spaceHeat,15FR,capaDem,9.998818735,,
all,spaceHeat,16FR,capaDem,16.39247173,,
all,spaceHeat,17FR,capaDem,14.88775286,,
all,spaceHeat,18FR,capaDem,12.7180076,,
all,spaceHeat,19FR,capaDem,12.07793979,,
all,spaceHeat,20FR,capaDem,12.08155415,,
all,spaceHeat,21FR,capaDem,16.40488653,,
all,spaceHeat,22FR,capaDem,7.082410375,,
all,spaceHeat,23FR,capaDem,40.22344323,,
all,spaceHeat,24FR,capaDem,6.956115006,,
all,spaceHeat,25FR,capaDem,19.22509146,,
all,spaceHeat,26FR,capaDem,26.05270622,,
all,spaceHeat,27FR,capaDem,3.113555222,,
all,spaceHeat,28BE,capaDem,48.88341891,,
all,spaceHeat,29LU,capaDem,3.691665089,,
all,spaceHeat,30NL,capaDem,63.9600939,,
all,spaceHeat,31DE,capaDem,50.03224408,,
all,spaceHeat,32DE,capaDem,31.02011344,,
all,spaceHeat,33DE,capaDem,65.4016804,,
all,spaceHeat,34DE,capaDem,31.17877033,,
all,spaceHeat,35DE,capaDem,42.72300889,,
all,spaceHeat,36DE,capaDem,42.36029695,,
all,spaceHeat,37DE,capaDem,50.53564901,,
all,spaceHeat,38DK,capaDem,9.777645156,,
all,spaceHeat,39CZ,capaDem,16.14590448,,
all,spaceHeat,40CZ,capaDem,12.68691901,,
all,spaceHeat,41PL,capaDem,16.14711345,,
all,spaceHeat,42PL,capaDem,11.57168764,,
all,spaceHeat,43PL,capaDem,15.88823268,,
all,spaceHeat,44PL,capaDem,14.70629797,,
all,spaceHeat,45PL,capaDem,13.24638267,,
all,spaceHeat,46SK,capaDem,11.51004569,,
all,spaceHeat,47CH,capaDem,21.60035442,,
all,spaceHeat,48CH,capaDem,2.664577809,,
all,spaceHeat,49AT,capaDem,6.391589382,,
all,spaceHeat,50AT,capaDem,8.860400092,,
all,spaceHeat,51AT,capaDem,11.68583152,,
all,spaceHeat,52IT,capaDem,94.75678373,,
all,spaceHeat,53IT,capaDem,18.04244265,,
all,spaceHeat,54IT,capaDem,34.76756788,,
all,spaceHeat,55IT,capaDem,18.19935195,,
all,spaceHeat,56IT,capaDem,11.12776552,,
all,spaceHeat,57SI,capaDem,4.841848928,,
all,spaceHeat,58HU,capaDem,28.30875462,,
all,spaceHeat,59RO,capaDem,6.375124656,,
all,spaceHeat,60RO,capaDem,8.98606346,,
all,spaceHeat,61RO,capaDem,7.288690701,,
all,spaceHeat,62HR,capaDem,10.31921818,,
all,spaceHeat,63BA,capaDem,5.819042608,,
all,spaceHeat,64ME,capaDem,0.995554148,,
all,spaceHeat,65RS,capaDem,10.11831912,,
all,spaceHeat,66BG,capaDem,9.681059846,,
all,spaceHeat,67MK,capaDem,3.306757172,,
all,spaceHeat,68GR,capaDem,7.016215089,,
all,spaceHeat,69GR,capaDem,10.10745529,,
all,spaceHeat,70AL,capaDem,4.971745188,,
all,spaceHeat,72DK,capaDem,7.924958696,,
all,spaceHeat,73EE,capaDem,3.651257436,,
all,spaceHeat,74FI,capaDem,3.360411999,,
all,spaceHeat,75FI,capaDem,20.66884809,,
all,spaceHeat,77LT,capaDem,4.859568118,,
all,spaceHeat,78LV,capaDem,4.884627358,,
all,spaceHeat,79NO,capaDem,0.886847666,,
all,spaceHeat,80NO,capaDem,2.059336667,,
all,spaceHeat,81NO,capaDem,3.21129006,,
all,spaceHeat,82NO,capaDem,5.527159515,,
all,spaceHeat,83NO,capaDem,1.705036082,,
all,spaceHeat,84NO,capaDem,1.61828573,,
all,spaceHeat,85NO,capaDem,0.226245094,,
all,spaceHeat,86SE,capaDem,1.350059142,,
all,spaceHeat,87SE,capaDem,4.278469265,,
all,spaceHeat,88SE,capaDem,28.72395397,,
all,spaceHeat,89SE,capaDem,7.755772091,,
all,spaceHeat,90UK,capaDem,50.51556187,,
all,spaceHeat,91UK,capaDem,11.29316194,,
all,spaceHeat,92UK,capaDem,51.90880478,,
all,spaceHeat,93UK,capaDem,14.59387136,,
all,spaceHeat,94UK,capaDem,8.486457594,,
all,spaceHeat,95UK,capaDem,4.341871444,,
all,spaceHeat,96IE,capaDem,11.65808193,,
all,spaceHeat,98IT,capaDem,4.228119362,,
all,spaceHeat,99FR,capaDem,0.864541013,,
all,processHeat_high,01ES,capaDem,0.364218325,,
all,processHeat_high,02ES,capaDem,0.437338491,,
all,processHeat_high,03ES,capaDem,0.289412552,,
all,processHeat_high,04ES,capaDem,0.712423254,,
all,processHeat_high,05ES,capaDem,0.231180992,,
all,processHeat_high,06ES,capaDem,1.244699522,,
all,processHeat_high,07ES,capaDem,0.529428384,,
all,processHeat_high,08ES,capaDem,0.285370582,,
all,processHeat_high,09ES,capaDem,0.407440508,,
all,processHeat_high,10ES,capaDem,0.233999565,,
all,processHeat_high,11ES,capaDem,1.61364044,,
all,processHeat_high,12PT,capaDem,0.650767368,,
all,processHeat_high,13PT,capaDem,0.415887415,,
all,processHeat_high,14FR,capaDem,0.270255337,,
all,processHeat_high,15FR,capaDem,0.06566046,,
all,processHeat_high,16FR,capaDem,0.348667464,,
all,processHeat_high,17FR,capaDem,0.316334912,,
all,processHeat_high,18FR,capaDem,0.21869137,,
all,processHeat_high,19FR,capaDem,0.721502787,,
all,processHeat_high,20FR,capaDem,0.588828065,,
all,processHeat_high,21FR,capaDem,0.455730308,,
all,processHeat_high,22FR,capaDem,0.037076459,,
all,processHeat_high,23FR,capaDem,3.056481924,,
all,processHeat_high,24FR,capaDem,0.221822068,,
all,processHeat_high,25FR,capaDem,0.419680967,,
