technology_1,technology_2,technology_3,timestep_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,source
heatpump,,heatpumpAirSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,"Robinius (2020), Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050"
heatpump,,heatpumpGroundSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,"assumed 10% of size costs for capacity, because no data could be found"
heatpump,,heatpumpWaterSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
miscSpaceHeat,renovation,ambitious,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
miscSpaceHeat,renovation,moderate,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
miscSpaceHeat,,bioBoilerSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
miscSpaceHeat,,gasBoilerSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
miscSpaceHeat,,h2BoilerSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
miscSpaceHeat,,oilLiquidBoilerSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
miscSpaceHeat,,resistiveHeatSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
networkHeat,heatGrid,districtHeatSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
networkHeat,heatGrid,localHeatSpace,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
solar,rooftopResi_a,solarThermalResi_a,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
solar,rooftopResi_b,solarThermalResi_b,2020,costExpStSize,180,costOprStSize,3.6,costExpStOut,18,,,
heatpump,,heatpumpAirSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
heatpump,,heatpumpGroundSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
heatpump,,heatpumpWaterSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
miscSpaceHeat,renovation,ambitious,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
miscSpaceHeat,renovation,moderate,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
miscSpaceHeat,,bioBoilerSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
miscSpaceHeat,,gasBoilerSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
miscSpaceHeat,,h2BoilerSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
miscSpaceHeat,,oilLiquidBoilerSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
miscSpaceHeat,,resistiveHeatSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
networkHeat,heatGrid,districtHeatSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
networkHeat,heatGrid,localHeatSpace,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
solar,rooftopResi_a,solarThermalResi_a,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
solar,rooftopResi_b,solarThermalResi_b,2025,costExpStSize,165,costOprStSize,3.3,costExpStOut,16.5,,,
heatpump,,heatpumpAirSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
heatpump,,heatpumpGroundSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
heatpump,,heatpumpWaterSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
miscSpaceHeat,renovation,ambitious,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
miscSpaceHeat,renovation,moderate,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
miscSpaceHeat,,bioBoilerSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
miscSpaceHeat,,gasBoilerSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
miscSpaceHeat,,h2BoilerSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
miscSpaceHeat,,oilLiquidBoilerSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
miscSpaceHeat,,resistiveHeatSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
networkHeat,heatGrid,districtHeatSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
networkHeat,heatGrid,localHeatSpace,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
solar,rooftopResi_a,solarThermalResi_a,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
solar,rooftopResi_b,solarThermalResi_b,2030,costExpStSize,150,costOprStSize,3,costExpStOut,15,,,
heatpump,,heatpumpAirSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
heatpump,,heatpumpGroundSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
heatpump,,heatpumpWaterSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
miscSpaceHeat,renovation,ambitious,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
miscSpaceHeat,renovation,moderate,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
miscSpaceHeat,,bioBoilerSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
miscSpaceHeat,,gasBoilerSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
miscSpaceHeat,,h2BoilerSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
miscSpaceHeat,,oilLiquidBoilerSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
miscSpaceHeat,,resistiveHeatSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
networkHeat,heatGrid,districtHeatSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
networkHeat,heatGrid,localHeatSpace,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
solar,rooftopResi_a,solarThermalResi_a,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
solar,rooftopResi_b,solarThermalResi_b,2035,costExpStSize,135,costOprStSize,2.7,costExpStOut,13.5,,,
heatpump,,heatpumpAirSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
heatpump,,heatpumpGroundSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
heatpump,,heatpumpWaterSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
miscSpaceHeat,renovation,ambitious,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
miscSpaceHeat,renovation,moderate,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
miscSpaceHeat,,bioBoilerSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
miscSpaceHeat,,gasBoilerSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
miscSpaceHeat,,h2BoilerSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
miscSpaceHeat,,oilLiquidBoilerSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
miscSpaceHeat,,resistiveHeatSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
networkHeat,heatGrid,districtHeatSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
networkHeat,heatGrid,localHeatSpace,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
solar,rooftopResi_a,solarThermalResi_a,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
solar,rooftopResi_b,solarThermalResi_b,2040,costExpStSize,120,costOprStSize,2.4,costExpStOut,12,,,
heatpump,,heatpumpAirSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
heatpump,,heatpumpGroundSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
heatpump,,heatpumpWaterSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
miscSpaceHeat,renovation,ambitious,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
miscSpaceHeat,renovation,moderate,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
miscSpaceHeat,,bioBoilerSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
miscSpaceHeat,,gasBoilerSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
miscSpaceHeat,,h2BoilerSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
miscSpaceHeat,,oilLiquidBoilerSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
miscSpaceHeat,,resistiveHeatSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
networkHeat,heatGrid,districtHeatSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
networkHeat,heatGrid,localHeatSpace,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
solar,rooftopResi_a,solarThermalResi_a,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
solar,rooftopResi_b,solarThermalResi_b,2045,costExpStSize,105,costOprStSize,2.1,costExpStOut,10.5,,,
heatpump,,heatpumpAirSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
heatpump,,heatpumpGroundSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
heatpump,,heatpumpWaterSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
miscSpaceHeat,renovation,ambitious,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
miscSpaceHeat,renovation,moderate,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
miscSpaceHeat,,bioBoilerSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
miscSpaceHeat,,gasBoilerSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
miscSpaceHeat,,h2BoilerSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
miscSpaceHeat,,oilLiquidBoilerSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
miscSpaceHeat,,resistiveHeatSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
networkHeat,heatGrid,districtHeatSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
networkHeat,heatGrid,localHeatSpace,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
solar,rooftopResi_a,solarThermalResi_a,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
solar,rooftopResi_b,solarThermalResi_b,2050,costExpStSize,90,costOprStSize,1.8,costExpStOut,9,,,
heatpump,,heatpumpAirSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
heatpump,,heatpumpGroundSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
heatpump,,heatpumpWaterSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscSpaceHeat,renovation,ambitious,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscSpaceHeat,renovation,moderate,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscSpaceHeat,,bioBoilerSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscSpaceHeat,,gasBoilerSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscSpaceHeat,,h2BoilerSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscSpaceHeat,,oilLiquidBoilerSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscSpaceHeat,,resistiveHeatSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
networkHeat,heatGrid,districtHeatSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
networkHeat,heatGrid,localHeatSpace,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
solar,rooftopResi_a,solarThermalResi_a,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
solar,rooftopResi_b,solarThermalResi_b,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
heatpump,,heatpumpAirSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
heatpump,,heatpumpGroundSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
heatpump,,heatpumpWaterSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
miscSpaceHeat,renovation,ambitious,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
miscSpaceHeat,renovation,moderate,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
miscSpaceHeat,,bioBoilerSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
miscSpaceHeat,,gasBoilerSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
miscSpaceHeat,,h2BoilerSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
miscSpaceHeat,,oilLiquidBoilerSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
miscSpaceHeat,,resistiveHeatSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
networkHeat,heatGrid,districtHeatSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
networkHeat,heatGrid,localHeatSpace,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
solar,rooftopResi_a,solarThermalResi_a,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
solar,rooftopResi_b,solarThermalResi_b,,stInToConvFix,1,effStIn,0.995,effStOut,0.995,stDis,0.0001,
ccgt,ccgtGasCHP,ccgtGasChpProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
ccgt,ccgtH2CHP,ccgtH2ChpProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
engineLow,,,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
engineMed,,,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
heatpump,,heatpumpPro,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
miscProHeat,bioBoilerPro,bioBoilerProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
miscProHeat,coalBoilerPro,coalBoilerProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
miscProHeat,electricHeatPro,resistiveHeatProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
miscProHeat,gasBoilerPro,gasBoilerProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
miscProHeat,h2BoilerPro,h2BoilerProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
miscProHeat,oilBoilerPro,oilLiquidBoilerProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
networkHeat,heatGrid,districtHeatPro,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
powerToX,sofc,sofcProLow,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
solar,rooftopInd_a,solarThermalInd_a,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
solar,rooftopInd_b,solarThermalInd_b,,costExpStSize,14.7,costOprStSize,0.147,costExpStOut,0.147,,,
ccgt,ccgtGasCHP,ccgtGasChpProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
ccgt,ccgtH2CHP,ccgtH2ChpProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
engineLow,,,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
engineMed,,,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
heatpump,,heatpumpPro,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscProHeat,bioBoilerPro,bioBoilerProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscProHeat,coalBoilerPro,coalBoilerProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscProHeat,electricHeatPro,resistiveHeatProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscProHeat,gasBoilerPro,gasBoilerProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscProHeat,h2BoilerPro,h2BoilerProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
miscProHeat,oilBoilerPro,oilLiquidBoilerProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
networkHeat,heatGrid,districtHeatPro,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
powerToX,sofc,sofcProLow,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
solar,rooftopInd_a,solarThermalInd_a,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
solar,rooftopInd_b,solarThermalInd_b,,lifeStIn,20,lifeStOut,20,lifeStSize,20,,,
