timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.39995333202674,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,no,expExc,1.0999979778829163,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,expExc,2.9999954052812146,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.899999327042029,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,2.0004207322960403,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,4.099983204603252,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,2.8367705093535696,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,expExc,4.999859420840811,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.499954052924539,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,no,expExc,4.998307890329427,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.510522434813482,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,expExc,1.3999993671773077,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,6.199972585675153,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,expExc,0.9986686619583434,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,IT_ < IT,SouthEast < ME,none,powerGrid < hvdc,none,no,expExc,1.599996877117992,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Balt < LT,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.1275877628491164,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Benelux < NL,Scan < NO,none,powerGrid < hvdc,none,no,expExc,9.998293186120513,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Benelux < NL,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.9999988450385295,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Scan < NO,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.999918855103215,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,East < PL,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.9991068869014685,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Balt < EE,Balt < LV,none,h2Grid,none,yes,expExc,0.0008779487331595236,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Balt < LT,Balt < LV,none,h2Grid,none,yes,expExc,0.004988191602773648,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Benelux < BE,Benelux < LU,none,h2Grid,none,yes,expExc,0.10368146718332935,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Benelux < BE,Benelux < NL,none,h2Grid,none,yes,expExc,0.0021611628120552697,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Benelux < BE,DE_ < DE,none,h2Grid,none,yes,expExc,0.00046464989048203867,inter_all_total32_ext8_noLiquid_onlyMulti
none,30th < 2040,Benelux < LU,DE_ < DE,none,h2Grid,none,yes,expExc,0.0004546465512183844,inter_all_total32_ext8_noLiquid_onlyMulti
