region_4,region_4,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
59RO,60RO,gasGrid,dir,capaExcResiDir,42.199,costOprExc,0.0513,lossExc,0.0062,
02ES,08ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0978,lossExc,0.0118,
24FR,20FR,gasGrid,dir,capaExcResiDir,49.162,costOprExc,0.0646,lossExc,0.0078,
92UK,93UK,gasGrid,dir,capaExcResiDir,49.162,costOprExc,0.07,lossExc,0.0084,
93UK,92UK,gasGrid,dir,capaExcResiDir,92.297,costOprExc,0.07,lossExc,0.0084,
25FR,24FR,gasGrid,dir,capaExcResiDir,61.452,costOprExc,0.0457,lossExc,0.0055,
04ES,05ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0569,lossExc,0.0069,
92UK,91UK,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0598,lossExc,0.0072,
07ES,03ES,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0384,lossExc,0.0046,
91UK,92UK,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0598,lossExc,0.0072,
55IT,56IT,gasGrid,dir,capaExcResiDir,72.291,costOprExc,0.1039,lossExc,0.0125,
10ES,09ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0475,lossExc,0.0057,
93UK,94UK,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0997,lossExc,0.012,
03ES,02ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.048,lossExc,0.0058,
15FR,16FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0706,lossExc,0.0085,
14FR,15FR,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0387,lossExc,0.0047,
07ES,11ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0785,lossExc,0.0095,
11ES,08ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.102,lossExc,0.0123,
44PL,45PL,gasGrid,dir,capaExcResiDir,76.829,costOprExc,0.0504,lossExc,0.0061,
23FR,26FR,gasGrid,dir,capaExcResiDir,49.162,costOprExc,0.0342,lossExc,0.0041,
02ES,03ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.048,lossExc,0.0058,
04ES,03ES,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0483,lossExc,0.0058,
19FR,24FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0738,lossExc,0.0089,
23FR,27FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0435,lossExc,0.0053,
26FR,27FR,gasGrid,dir,capaExcResiDir,36.871,costOprExc,0.0445,lossExc,0.0054,
18FR,17FR,gasGrid,dir,capaExcResiDir,49.162,costOprExc,0.0574,lossExc,0.0069,
21FR,17FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0678,lossExc,0.0082,
17FR,14FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0902,lossExc,0.0109,
25FR,27FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0474,lossExc,0.0057,
41PL,42PL,gasGrid,dir,capaExcResiDir,52.248,costOprExc,0.0518,lossExc,0.0063,
13PT,12PT,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.072,lossExc,0.0087,
12PT,13PT,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.072,lossExc,0.0087,
18FR,22FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0799,lossExc,0.0096,
17FR,22FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0693,lossExc,0.0084,
24FR,18FR,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.05,lossExc,0.006,
26FR,23FR,gasGrid,dir,capaExcResiDir,61.452,costOprExc,0.0342,lossExc,0.0041,
40CZ,39CZ,gasGrid,dir,capaExcResiDir,12.29,costOprExc,0.0457,lossExc,0.0055,
94UK,93UK,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0997,lossExc,0.012,
19FR,18FR,gasGrid,dir,capaExcResiDir,24.581,costOprExc,0.0757,lossExc,0.0091,
