region_2,region_2,exchange_1,parameter_1,value_1,parameter_2,value_2,source
AT,HU,liquidExc,costVarExc,9.033,capaExcResi,0,see exchangeInputs
AT,IT,liquidExc,costVarExc,17.194,capaExcResi,0,
AT,SI,liquidExc,costVarExc,3.503,capaExcResi,0,
BA,ME,liquidExc,costVarExc,4.83,capaExcResi,0,
BA,RS,liquidExc,costVarExc,4.217,capaExcResi,0,
BE,DE,liquidExc,costVarExc,15.831,capaExcResi,0,
BE,LU,liquidExc,costVarExc,4.454,capaExcResi,0,
BE,NL,liquidExc,costVarExc,7.738,capaExcResi,0,
BG,GR,liquidExc,costVarExc,18.825,capaExcResi,0,
BG,MK,liquidExc,costVarExc,9.08,capaExcResi,0,
CH,AT,liquidExc,costVarExc,8.111,capaExcResi,0,
CH,IT,liquidExc,costVarExc,18.007,capaExcResi,0,
CZ,AT,liquidExc,costVarExc,7.498,capaExcResi,0,
CZ,PL,liquidExc,costVarExc,11.622,capaExcResi,0,
CZ,SK,liquidExc,costVarExc,8.555,capaExcResi,0,
DE,AT,liquidExc,costVarExc,11.734,capaExcResi,0,
DE,CH,liquidExc,costVarExc,13.631,capaExcResi,0,
DE,CZ,liquidExc,costVarExc,13.337,capaExcResi,0,
DE,DK,liquidExc,costVarExc,14.942,capaExcResi,0,
DE,PL,liquidExc,costVarExc,20.759,capaExcResi,0,
EE,LV,liquidExc,costVarExc,5.564,capaExcResi,0,
ES,FR,liquidExc,costVarExc,20.662,capaExcResi,0,
ES,PT,liquidExc,costVarExc,12.545,capaExcResi,0,
FI,NO,liquidExc,costVarExc,25.459,capaExcResi,0,
FI,SE,liquidExc,costVarExc,13.685,capaExcResi,0,
FR,BE,liquidExc,costVarExc,18.978,capaExcResi,0,
FR,CH,liquidExc,costVarExc,10.884,capaExcResi,0,
FR,DE,liquidExc,costVarExc,20.732,capaExcResi,0,
FR,IT,liquidExc,costVarExc,27.012,capaExcResi,0,
FR,LU,liquidExc,costVarExc,10.636,capaExcResi,0,
GR,AL,liquidExc,costVarExc,18.694,capaExcResi,0,
HR,BA,liquidExc,costVarExc,3.169,capaExcResi,0,
HR,RS,liquidExc,costVarExc,6.302,capaExcResi,0,
HU,HR,liquidExc,costVarExc,8.861,capaExcResi,0,
HU,RO,liquidExc,costVarExc,9.054,capaExcResi,0,
HU,RS,liquidExc,costVarExc,6.757,capaExcResi,0,
IT,SI,liquidExc,costVarExc,13.523,capaExcResi,0,
LT,LV,liquidExc,costVarExc,3.909,capaExcResi,0,
LU,DE,liquidExc,costVarExc,9.072,capaExcResi,0,
ME,AL,liquidExc,costVarExc,5.985,capaExcResi,0,
ME,RS,liquidExc,costVarExc,4.192,capaExcResi,0,
MK,AL,liquidExc,costVarExc,4.455,capaExcResi,0,
MK,GR,liquidExc,costVarExc,13.502,capaExcResi,0,
NL,DE,liquidExc,costVarExc,11.944,capaExcResi,0,
NO,SE,liquidExc,costVarExc,10.834,capaExcResi,0,
PL,LT,liquidExc,costVarExc,15.863,capaExcResi,0,
PL,SK,liquidExc,costVarExc,8.466,capaExcResi,0,
RO,BG,liquidExc,costVarExc,10.811,capaExcResi,0,
RO,RS,liquidExc,costVarExc,6.486,capaExcResi,0,
RS,AL,liquidExc,costVarExc,9.388,capaExcResi,0,
RS,BG,liquidExc,costVarExc,11.073,capaExcResi,0,
RS,MK,liquidExc,costVarExc,5.71,capaExcResi,0,
SI,HR,liquidExc,costVarExc,3.379,capaExcResi,0,
SI,HU,liquidExc,costVarExc,7.098,capaExcResi,0,
SK,AT,liquidExc,costVarExc,7.833,capaExcResi,0,
SK,HU,liquidExc,costVarExc,3.342,capaExcResi,0,
UK,IE,liquidExc,costVarExc,11.822,capaExcResi,0,
UK,FR,liquidExc,costVarExc,22.112,capaExcResi,0,
SE,DK,liquidExc,costVarExc,16.468,capaExcResi,0,
FI,EE,liquidExc,costVarExc,19.445,capaExcResi,0,
UK,NL,liquidExc,costVarExc,21.612,capaExcResi,0,
GR,IT,liquidExc,costVarExc,42.143,capaExcResi,0,
FI,PL,liquidExc,costVarExc,48.258,capaExcResi,0,
