region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,frtRail,transport,,eFrtRail,,desFac,42.126
EU,BE,be,frtRail,transport,,eFrtRail,,desFac,42.126
EU,BG,bg,frtRail,transport,,eFrtRail,,desFac,42.126
EU,CZ,cz,frtRail,transport,,eFrtRail,,desFac,42.126
EU,DE,de,frtRail,transport,,eFrtRail,,desFac,42.126
EU,DK,dk_e,frtRail,transport,,eFrtRail,,desFac,42.126
EU,DK,dk_w,frtRail,transport,,eFrtRail,,desFac,42.126
EU,EE,ee,frtRail,transport,,eFrtRail,,desFac,42.126
EU,ES,es,frtRail,transport,,eFrtRail,,desFac,42.126
EU,FI,fi,frtRail,transport,,eFrtRail,,desFac,42.126
EU,FR,fr,frtRail,transport,,eFrtRail,,desFac,42.126
EU,FR,fr_co,frtRail,transport,,eFrtRail,,desFac,42.126
EU,GR,gr,frtRail,transport,,eFrtRail,,desFac,42.126
EU,HR,hr,frtRail,transport,,eFrtRail,,desFac,42.126
EU,HU,hu,frtRail,transport,,eFrtRail,,desFac,42.126
EU,IE,ie,frtRail,transport,,eFrtRail,,desFac,42.126
EU,IT,it_cn,frtRail,transport,,eFrtRail,,desFac,42.126
EU,IT,it_cs,frtRail,transport,,eFrtRail,,desFac,42.126
EU,IT,it_n,frtRail,transport,,eFrtRail,,desFac,42.126
EU,IT,it_s,frtRail,transport,,eFrtRail,,desFac,42.126
EU,IT,it_sar,frtRail,transport,,eFrtRail,,desFac,42.126
EU,IT,it_sic,frtRail,transport,,eFrtRail,,desFac,42.126
EU,LT,lt,frtRail,transport,,eFrtRail,,desFac,42.126
EU,LU,lu,frtRail,transport,,eFrtRail,,desFac,42.126
EU,LV,lv,frtRail,transport,,eFrtRail,,desFac,42.126
EU,NL,nl,frtRail,transport,,eFrtRail,,desFac,42.126
EU,PL,pl,frtRail,transport,,eFrtRail,,desFac,42.126
EU,PT,pt,frtRail,transport,,eFrtRail,,desFac,42.126
EU,RO,ro,frtRail,transport,,eFrtRail,,desFac,42.126
EU,SE,se_1,frtRail,transport,,eFrtRail,,desFac,42.126
EU,SE,se_2,frtRail,transport,,eFrtRail,,desFac,42.126
EU,SE,se_3,frtRail,transport,,eFrtRail,,desFac,42.126
EU,SE,se_4,frtRail,transport,,eFrtRail,,desFac,42.126
EU,SI,si,frtRail,transport,,eFrtRail,,desFac,42.126
EU,SK,sk,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,AL,al,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,BA,ba,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,CH,ch,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,ME,me,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,MK,mk,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,NO,no_m,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,NO,no_n,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,NO,no_s,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,RS,rs,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,UK,ni,frtRail,transport,,eFrtRail,,desFac,42.126
nonEU,UK,uk,frtRail,transport,,eFrtRail,,desFac,42.126
