region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,BE,be,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,BG,bg,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,CZ,cz,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,DE,de,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,DK,dk_e,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,DK,dk_w,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,EE,ee,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,ES,es,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,FI,fi,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,FR,fr,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,FR,fr_co,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,GR,gr,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,HR,hr,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,HU,hu,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,IE,ie,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,IT,it_cn,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,IT,it_cs,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,IT,it_n,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,IT,it_s,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,IT,it_sar,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,IT,it_sic,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,LT,lt,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,LU,lu,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,LV,lv,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,NL,nl,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,PL,pl,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,PT,pt,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,RO,ro,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,SE,se_1,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,SE,se_2,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,SE,se_3,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,SE,se_4,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,SI,si,psngRail,transport,,fcPsngRail,,desFac,7.246
EU,SK,sk,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,AL,al,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,BA,ba,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,CH,ch,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,ME,me,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,MK,mk,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,NO,no_m,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,NO,no_n,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,NO,no_s,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,RS,rs,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,UK,ni,psngRail,transport,,fcPsngRail,,desFac,7.246
nonEU,UK,uk,psngRail,transport,,fcPsngRail,,desFac,7.246
