region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,BE,be,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,BG,bg,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,CZ,cz,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,DE,de,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,DK,dk_e,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,DK,dk_w,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,EE,ee,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,ES,es,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,FI,fi,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,FR,fr,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,FR,fr_co,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,GR,gr,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,HR,hr,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,HU,hu,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,IE,ie,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,IT,it_cn,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,IT,it_cs,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,IT,it_n,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,IT,it_s,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,IT,it_sar,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,IT,it_sic,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,LT,lt,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,LU,lu,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,LV,lv,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,NL,nl,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,PL,pl,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,PT,pt,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,RO,ro,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,SE,se_1,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,SE,se_2,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,SE,se_3,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,SE,se_4,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,SI,si,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
EU,SK,sk,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,AL,al,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,BA,ba,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,CH,ch,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,ME,me,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,MK,mk,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,NO,no_m,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,NO,no_n,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,NO,no_s,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,RS,rs,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,UK,ni,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
nonEU,UK,uk,psngRoadPrvt,transport,,fcevPsngRoadPrvt,,desFac,3.013
