region_1,region_2,region_3,region_4,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,49AT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,AT,at,49AT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,AT,at,50AT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,AT,at,50AT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,AT,at,51AT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,AT,at,51AT,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,BE,be,28BE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,BE,be,28BE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,BG,bg,66BG,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,BG,bg,66BG,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,CZ,cz,39CZ,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,CZ,cz,39CZ,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,CZ,cz,40CZ,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,CZ,cz,40CZ,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,DE,de,31DE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DE,de,31DE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,DE,de,32DE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DE,de,32DE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,DE,de,33DE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DE,de,33DE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,DE,de,34DE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DE,de,34DE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,DE,de,35DE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DE,de,35DE,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,DE,de,36DE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DE,de,36DE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,DE,de,37DE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DE,de,37DE,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,DK,dk_e,72DK,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DK,dk_e,72DK,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,DK,dk_w,38DK,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,DK,dk_w,38DK,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,EE,ee,73EE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,EE,ee,73EE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,01ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,01ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,ES,es,02ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,02ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,03ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,03ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,04ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,04ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,05ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,05ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,06ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,06ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,07ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,07ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,08ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,08ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,09ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,09ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,10ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,10ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,ES,es,11ES,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,ES,es,11ES,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FI,fi,74FI,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FI,fi,74FI,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FI,fi,75FI,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FI,fi,75FI,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,14FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,14FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,FR,fr,15FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,15FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,16FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,16FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,17FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,17FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,18FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,18FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,19FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,19FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,20FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,20FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,21FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,21FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,22FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,22FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,23FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,23FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,24FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,24FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,25FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,25FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,26FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,26FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,FR,fr,27FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr,27FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,FR,fr_co,99FR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,FR,fr_co,99FR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,GR,gr,68GR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,GR,gr,68GR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,GR,gr,69GR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,GR,gr,69GR,processHeat_low,heatpump,,heatpumpPro,1,desFac,0.9999999999999999
EU,HR,hr,62HR,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,HR,hr,62HR,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,HU,hu,58HU,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,HU,hu,58HU,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,IE,ie,96IE,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,IE,ie,96IE,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,IT,it_cn,53IT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,IT,it_cn,53IT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,IT,it_cs,54IT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,IT,it_cs,54IT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,IT,it_n,52IT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,IT,it_n,52IT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,IT,it_s,55IT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,IT,it_s,55IT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,IT,it_sar,98IT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,IT,it_sar,98IT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,IT,it_sic,56IT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,IT,it_sic,56IT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,LT,lt,77LT,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,LT,lt,77LT,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,LU,lu,29LU,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
EU,LU,lu,29LU,processHeat_low,heatpump,,heatpumpPro,1,desFac,1.0
EU,LV,lv,78LV,processHeat_low,heatpump,,heatpumpPro,,desFac,2.7730769219999996
