parameter,value
expConvInf,5000
expStInInf,5000
expStOutInf,5000
expStSizeInf,5000
expExcInf,5000
capaConvInf,5000
capaStInInf,5000
capaStOutInf,5000
capaStSizeInf,5000
capaExcInf,5000
