timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0123,DE,s2002,electricity,dem,39.2975425708161
h0124,DE,s2002,electricity,dem,40.1398159224645
h0125,DE,s2002,electricity,dem,42.0862678455414
h0126,DE,s2002,electricity,dem,47.0733255378491
h0127,DE,s2002,electricity,dem,52.2678255378491
h0128,DE,s2002,electricity,dem,55.0099986147722
h0129,DE,s2002,electricity,dem,56.3829986147722
h0130,DE,s2002,electricity,dem,57.6771579554315
h0131,DE,s2002,electricity,dem,58.6689670213656
h0132,DE,s2002,electricity,dem,58.1845618015854
h0133,DE,s2002,electricity,dem,57.0037183949919
h0134,DE,s2002,electricity,dem,55.7816922960908
h0135,DE,s2002,electricity,dem,55.1743681202667
h0136,DE,s2002,electricity,dem,55.6290288345524
h0137,DE,s2002,electricity,dem,58.0693557576293
h0138,DE,s2002,electricity,dem,58.8659326807062
h0139,DE,s2002,electricity,dem,57.4335920213656
h0140,DE,s2002,electricity,dem,53.8234711422447
h0141,DE,s2002,electricity,dem,50.8831689444425
h0142,DE,s2002,electricity,dem,49.0620219664205
h0143,DE,s2002,electricity,dem,45.3036346037831
h0144,DE,s2002,electricity,dem,42.1829766367502
h0145,DE,s2002,electricity,dem,50.4670564856051
h0146,DE,s2002,electricity,dem,49.516280386704
h0147,DE,s2002,electricity,dem,49.5613174746161
h0148,DE,s2002,electricity,dem,50.4035908262645
h0149,DE,s2002,electricity,dem,52.3500427493414
h0150,DE,s2002,electricity,dem,57.3371004416491
h0151,DE,s2002,electricity,dem,62.5316004416491
h0152,DE,s2002,electricity,dem,65.2737735185722
h0153,DE,s2002,electricity,dem,66.6467735185721
h0154,DE,s2002,electricity,dem,67.9409328592315
h0155,DE,s2002,electricity,dem,68.9327419251656
h0156,DE,s2002,electricity,dem,68.4483367053853
h0157,DE,s2002,electricity,dem,67.2674932987919
h0158,DE,s2002,electricity,dem,66.0454671998908
h0159,DE,s2002,electricity,dem,65.4381430240667
h0160,DE,s2002,electricity,dem,65.8928037383524
h0161,DE,s2002,electricity,dem,68.3331306614293
h0162,DE,s2002,electricity,dem,69.1297075845062
h0163,DE,s2002,electricity,dem,67.6973669251656
h0164,DE,s2002,electricity,dem,64.0872460460447
h0165,DE,s2002,electricity,dem,61.1469438482425
h0166,DE,s2002,electricity,dem,59.3257968702205
h0167,DE,s2002,electricity,dem,55.5674095075831
h0168,DE,s2002,electricity,dem,52.4467515405502
h0169,DE,s2002,electricity,dem,52.7377293582051
h0170,DE,s2002,electricity,dem,51.786953259304
h0171,DE,s2002,electricity,dem,51.8319903472161
h0172,DE,s2002,electricity,dem,52.6742636988645
h0173,DE,s2002,electricity,dem,54.6207156219414
h0174,DE,s2002,electricity,dem,59.6077733142491
h0175,DE,s2002,electricity,dem,64.8022733142491
h0176,DE,s2002,electricity,dem,67.5444463911722
h0177,DE,s2002,electricity,dem,68.9174463911722
h0178,DE,s2002,electricity,dem,70.2116057318315
h0179,DE,s2002,electricity,dem,71.2034147977656
h0180,DE,s2002,electricity,dem,70.7190095779853
h0181,DE,s2002,electricity,dem,69.5381661713919
h0182,DE,s2002,electricity,dem,68.3161400724908
h0183,DE,s2002,electricity,dem,67.7088158966667
h0184,DE,s2002,electricity,dem,68.1634766109524
h0185,DE,s2002,electricity,dem,70.6038035340293
h0186,DE,s2002,electricity,dem,71.4003804571062
h0187,DE,s2002,electricity,dem,69.9680397977656
h0188,DE,s2002,electricity,dem,66.3579189186447
h0189,DE,s2002,electricity,dem,63.4176167208425
h0190,DE,s2002,electricity,dem,61.5964697428205
h0191,DE,s2002,electricity,dem,57.8380823801831
h0192,DE,s2002,electricity,dem,54.7174244131502
h0193,DE,s2002,electricity,dem,53.8803918838051
h0194,DE,s2002,electricity,dem,52.929615784904
