region_3,region_3,exchange_1,exchange_2,id,parameter_1,value_1,parameter_2,value_2
at,ch,powerGrid,hvac,1,expExcUp,4,costExpExc,1555.25
at,ch,powerGrid,hvac,2,expExcUp,3,costExpExc,873.33
at,ch,powerGrid,hvac,3,expExcUp,1,costExpExc,582
at,ch,powerGrid,hvac,4,expExcUp,2,costExpExc,527
at,ch,powerGrid,hvac,5,expExcUp,0.4,costExpExc,285
at,ch,powerGrid,hvac,6,expExcUp,0.2,costExpExc,205
ch,de,powerGrid,hvac,1,expExcUp,1,costExpExc,1000
ch,de,powerGrid,hvac,2,expExcUp,2,costExpExc,1000
ch,de,powerGrid,hvac,3,expExcUp,1.5,costExpExc,285.33
ch,de,powerGrid,hvac,4,expExcUp,0.6,costExpExc,206.67
ch,de,powerGrid,hvac,5,expExcUp,1,costExpExc,58
ch,fr,powerGrid,hvac,1,expExcUp,1,costExpExc,550
ch,fr,powerGrid,hvac,2,expExcUp,2,costExpExc,550
ch,fr,powerGrid,hvac,3,expExcUp,0.5,costExpExc,120
ch,fr,powerGrid,hvac,4,expExcUp,1,costExpExc,35
ch,it_n,powerGrid,hvac,1,expExcUp,0.2,costExpExc,1060
ch,it_n,powerGrid,hvac,2,expExcUp,1,costExpExc,850
ch,it_n,powerGrid,hvac,3,expExcUp,0.2,costExpExc,285
