region_1,region_2,region_3,region_4
EU,ES,es,01ES
EU,ES,es,02ES
EU,ES,es,03ES
EU,ES,es,04ES
EU,ES,es,05ES
EU,ES,es,06ES
EU,ES,es,07ES
EU,ES,es,08ES
EU,ES,es,09ES
EU,ES,es,10ES
EU,ES,es,11ES
EU,PT,pt,12PT
EU,PT,pt,13PT
EU,FR,fr,14FR
EU,FR,fr,15FR
EU,FR,fr,16FR
EU,FR,fr,17FR
EU,FR,fr,18FR
EU,FR,fr,19FR
EU,FR,fr,20FR
EU,FR,fr,21FR
EU,FR,fr,22FR
EU,FR,fr,23FR
EU,FR,fr,24FR
EU,FR,fr,25FR
EU,FR,fr,26FR
EU,FR,fr,27FR
EU,BE,be,28BE
EU,LU,lu,29LU
EU,NL,nl,30NL
EU,DE,de,31DE
EU,DE,de,32DE
EU,DE,de,33DE
EU,DE,de,34DE
EU,DE,de,35DE
EU,DE,de,36DE
EU,DE,de,37DE
EU,DK,dk_w,38DK
EU,CZ,cz,39CZ
EU,CZ,cz,40CZ
EU,PL,pl,41PL
EU,PL,pl,42PL
EU,PL,pl,43PL
EU,PL,pl,44PL
EU,PL,pl,45PL
EU,SK,sk,46SK
nonEU,CH,ch,47CH
nonEU,CH,ch,48CH
EU,AT,at,49AT
EU,AT,at,50AT
EU,AT,at,51AT
EU,IT,it_n,52IT
EU,IT,it_cn,53IT
EU,IT,it_cs,54IT
EU,IT,it_s,55IT
EU,IT,it_sic,56IT
EU,SI,si,57SI
EU,HU,hu,58HU
EU,RO,ro,59RO
EU,RO,ro,60RO
EU,RO,ro,61RO
EU,HR,hr,62HR
nonEU,ME,me,64ME
nonEU,RS,rs,65RS
EU,BG,bg,66BG
nonEU,MK,mk,67MK
EU,GR,gr,68GR
EU,GR,gr,69GR
EU,DK,dk_e,72DK
EU,EE,ee,73EE
EU,FI,fi,74FI
EU,FI,fi,75FI
EU,LT,lt,77LT
EU,LV,lv,78LV
nonEU,NO,no_s,79NO
nonEU,NO,no_s,80NO
nonEU,NO,no_s,81NO
nonEU,NO,no_s,82NO
nonEU,NO,no_m,83NO
nonEU,NO,no_n,84NO
nonEU,NO,no_n,85NO
EU,SE,se_1,86SE
EU,SE,se_2,87SE
EU,SE,se_3,88SE
EU,SE,se_4,89SE
nonEU,UK,uk,90UK
nonEU,UK,uk,91UK
nonEU,UK,uk,92UK
nonEU,UK,uk,93UK
nonEU,UK,uk,94UK
nonEU,UK,ni,95UK
EU,IE,ie,96IE
EU,IT,it_sar,98IT
EU,FR,fr_co,99FR
nonEU,AL,al,70AL
nonEU,BA,ba,63BA
