exchange_1,exchange_2,carrier_exchange,exchange_type,exchange_decomm,exchange_symmetry
powerGrid,hvac,electricity,mature,none,undirected
powerGrid,hvdc,electricity,mature,none,undirected
h2Grid,,h2,mature,none,directed
biomassExc,,solidBiomass,unrestricted,none,undirected
liquidExc,,crudeOil; jetFuel,unrestricted,none,undirected
