region_3,region_3,exchange_1,parameter,value
01ES,02ES,hydrogenTransport,capaExcResi,0
02ES,03ES,hydrogenTransport,capaExcResi,0
02ES,04ES,hydrogenTransport,capaExcResi,0
02ES,12PT,hydrogenTransport,capaExcResi,0
03ES,04ES,hydrogenTransport,capaExcResi,0
03ES,05ES,hydrogenTransport,capaExcResi,0
03ES,07ES,hydrogenTransport,capaExcResi,0
03ES,08ES,hydrogenTransport,capaExcResi,0
03ES,11ES,hydrogenTransport,capaExcResi,0
04ES,05ES,hydrogenTransport,capaExcResi,0
04ES,14FR,hydrogenTransport,capaExcResi,0
05ES,06ES,hydrogenTransport,capaExcResi,0
05ES,11ES,hydrogenTransport,capaExcResi,0
06ES,11ES,hydrogenTransport,capaExcResi,0
07ES,08ES,hydrogenTransport,capaExcResi,0
08ES,09ES,hydrogenTransport,capaExcResi,0
08ES,10ES,hydrogenTransport,capaExcResi,0
08ES,11ES,hydrogenTransport,capaExcResi,0
08ES,13PT,hydrogenTransport,capaExcResi,0
09ES,10ES,hydrogenTransport,capaExcResi,0
10ES,11ES,hydrogenTransport,capaExcResi,0
12PT,13PT,hydrogenTransport,capaExcResi,0
14FR,15FR,hydrogenTransport,capaExcResi,0
14FR,17FR,hydrogenTransport,capaExcResi,0
15FR,16FR,hydrogenTransport,capaExcResi,0
15FR,18FR,hydrogenTransport,capaExcResi,0
16FR,19FR,hydrogenTransport,capaExcResi,0
17FR,18FR,hydrogenTransport,capaExcResi,0
17FR,21FR,hydrogenTransport,capaExcResi,0
17FR,22FR,hydrogenTransport,capaExcResi,0
18FR,19FR,hydrogenTransport,capaExcResi,0
18FR,23FR,hydrogenTransport,capaExcResi,0
18FR,24FR,hydrogenTransport,capaExcResi,0
19FR,20FR,hydrogenTransport,capaExcResi,0
20FR,24FR,hydrogenTransport,capaExcResi,0
20FR,25FR,hydrogenTransport,capaExcResi,0
20FR,47CH,hydrogenTransport,capaExcResi,0
20FR,48CH,hydrogenTransport,capaExcResi,0
20FR,52IT,hydrogenTransport,capaExcResi,0
21FR,22FR,hydrogenTransport,capaExcResi,0
22FR,23FR,hydrogenTransport,capaExcResi,0
22FR,26FR,hydrogenTransport,capaExcResi,0
23FR,24FR,hydrogenTransport,capaExcResi,0
23FR,26FR,hydrogenTransport,capaExcResi,0
24FR,25FR,hydrogenTransport,capaExcResi,0
24FR,27FR,hydrogenTransport,capaExcResi,0
25FR,27FR,hydrogenTransport,capaExcResi,0
25FR,29LU,hydrogenTransport,capaExcResi,0
25FR,35DE,hydrogenTransport,capaExcResi,0
25FR,36DE,hydrogenTransport,capaExcResi,0
25FR,47CH,hydrogenTransport,capaExcResi,0
26FR,27FR,hydrogenTransport,capaExcResi,0
27FR,28BE,hydrogenTransport,capaExcResi,0
28BE,30NL,hydrogenTransport,capaExcResi,0
29LU,35DE,hydrogenTransport,capaExcResi,0
30NL,33DE,hydrogenTransport,capaExcResi,0
31DE,33DE,hydrogenTransport,capaExcResi,0
31DE,38DK,hydrogenTransport,capaExcResi,0
32DE,34DE,hydrogenTransport,capaExcResi,0
32DE,44PL,hydrogenTransport,capaExcResi,0
33DE,35DE,hydrogenTransport,capaExcResi,0
34DE,44PL,hydrogenTransport,capaExcResi,0
35DE,36DE,hydrogenTransport,capaExcResi,0
35DE,37DE,hydrogenTransport,capaExcResi,0
36DE,37DE,hydrogenTransport,capaExcResi,0
36DE,47CH,hydrogenTransport,capaExcResi,0
37DE,39CZ,hydrogenTransport,capaExcResi,0
37DE,49AT,hydrogenTransport,capaExcResi,0
37DE,50AT,hydrogenTransport,capaExcResi,0
39CZ,40CZ,hydrogenTransport,capaExcResi,0
40CZ,43PL,hydrogenTransport,capaExcResi,0
40CZ,46SK,hydrogenTransport,capaExcResi,0
40CZ,51AT,hydrogenTransport,capaExcResi,0
41PL,42PL,hydrogenTransport,capaExcResi,0
41PL,43PL,hydrogenTransport,capaExcResi,0
41PL,44PL,hydrogenTransport,capaExcResi,0
41PL,45PL,hydrogenTransport,capaExcResi,0
42PL,43PL,hydrogenTransport,capaExcResi,0
43PL,44PL,hydrogenTransport,capaExcResi,0
44PL,45PL,hydrogenTransport,capaExcResi,0
46SK,58HU,hydrogenTransport,capaExcResi,0
47CH,48CH,hydrogenTransport,capaExcResi,0
48CH,49AT,hydrogenTransport,capaExcResi,0
48CH,52IT,hydrogenTransport,capaExcResi,0
49AT,50AT,hydrogenTransport,capaExcResi,0
49AT,52IT,hydrogenTransport,capaExcResi,0
50AT,51AT,hydrogenTransport,capaExcResi,0
50AT,57SI,hydrogenTransport,capaExcResi,0
51AT,58HU,hydrogenTransport,capaExcResi,0
52IT,53IT,hydrogenTransport,capaExcResi,0
52IT,57SI,hydrogenTransport,capaExcResi,0
53IT,54IT,hydrogenTransport,capaExcResi,0
54IT,55IT,hydrogenTransport,capaExcResi,0
58HU,62HR,hydrogenTransport,capaExcResi,0
58HU,65RS,hydrogenTransport,capaExcResi,0
59RO,60RO,hydrogenTransport,capaExcResi,0
60RO,61RO,hydrogenTransport,capaExcResi,0
60RO,65RS,hydrogenTransport,capaExcResi,0
61RO,66BG,hydrogenTransport,capaExcResi,0
62HR,63BA,hydrogenTransport,capaExcResi,0
62HR,65RS,hydrogenTransport,capaExcResi,0
63BA,64ME,hydrogenTransport,capaExcResi,0
63BA,65RS,hydrogenTransport,capaExcResi,0
64ME,65RS,hydrogenTransport,capaExcResi,0
64ME,70AL,hydrogenTransport,capaExcResi,0
65RS,66BG,hydrogenTransport,capaExcResi,0
65RS,70AL,hydrogenTransport,capaExcResi,0
66BG,67MK,hydrogenTransport,capaExcResi,0
66BG,68GR,hydrogenTransport,capaExcResi,0
68GR,69GR,hydrogenTransport,capaExcResi,0
68GR,70AL,hydrogenTransport,capaExcResi,0
73EE,91UK,hydrogenTransport,capaExcResi,0
74FI,80NO,hydrogenTransport,capaExcResi,0
75FI,77LT,hydrogenTransport,capaExcResi,0
75FI,88SE,hydrogenTransport,capaExcResi,0
77LT,90UK,hydrogenTransport,capaExcResi,0
79NO,80NO,hydrogenTransport,capaExcResi,0
81NO,82NO,hydrogenTransport,capaExcResi,0
82NO,84NO,hydrogenTransport,capaExcResi,0
83NO,85NO,hydrogenTransport,capaExcResi,0
84NO,85NO,hydrogenTransport,capaExcResi,0
84NO,90UK,hydrogenTransport,capaExcResi,0
86SE,88SE,hydrogenTransport,capaExcResi,0
86SE,89SE,hydrogenTransport,capaExcResi,0
89SE,90UK,hydrogenTransport,capaExcResi,0
90UK,91UK,hydrogenTransport,capaExcResi,0
92UK,94UK,hydrogenTransport,capaExcResi,0
93UK,94UK,hydrogenTransport,capaExcResi,0
94UK,95UK,hydrogenTransport,capaExcResi,0
95UK,96IE,hydrogenTransport,capaExcResi,0
02ES,08ES,hydrogenTransport,capaExcResi,0
07ES,11ES,hydrogenTransport,capaExcResi,0
01ES,12PT,hydrogenTransport,capaExcResi,0
09ES,13PT,hydrogenTransport,capaExcResi,0
05ES,14FR,hydrogenTransport,capaExcResi,0
06ES,15FR,hydrogenTransport,capaExcResi,0
14FR,18FR,hydrogenTransport,capaExcResi,0
15FR,19FR,hydrogenTransport,capaExcResi,0
16FR,20FR,hydrogenTransport,capaExcResi,0
18FR,22FR,hydrogenTransport,capaExcResi,0
19FR,24FR,hydrogenTransport,capaExcResi,0
25FR,28BE,hydrogenTransport,capaExcResi,0
26FR,28BE,hydrogenTransport,capaExcResi,0
28BE,29LU,hydrogenTransport,capaExcResi,0
30NL,31DE,hydrogenTransport,capaExcResi,0
31DE,32DE,hydrogenTransport,capaExcResi,0
31DE,35DE,hydrogenTransport,capaExcResi,0
34DE,35DE,hydrogenTransport,capaExcResi,0
34DE,37DE,hydrogenTransport,capaExcResi,0
34DE,39CZ,hydrogenTransport,capaExcResi,0
42PL,46SK,hydrogenTransport,capaExcResi,0
36DE,49AT,hydrogenTransport,capaExcResi,0
47CH,49AT,hydrogenTransport,capaExcResi,0
16FR,52IT,hydrogenTransport,capaExcResi,0
55IT,56IT,hydrogenTransport,capaExcResi,0
58HU,59RO,hydrogenTransport,capaExcResi,0
59RO,61RO,hydrogenTransport,capaExcResi,0
57SI,62HR,hydrogenTransport,capaExcResi,0
59RO,65RS,hydrogenTransport,capaExcResi,0
60RO,66BG,hydrogenTransport,capaExcResi,0
65RS,67MK,hydrogenTransport,capaExcResi,0
67MK,68GR,hydrogenTransport,capaExcResi,0
41PL,79NO,hydrogenTransport,capaExcResi,0
81NO,83NO,hydrogenTransport,capaExcResi,0
82NO,83NO,hydrogenTransport,capaExcResi,0
