region_3,technology_3,parameter,value
01ES,h2StorageCavern,capaStSizeUp,0
02ES,h2StorageCavern,capaConvUp,0
03ES,h2StorageCavern,capaConvUp,0
04ES,h2StorageCavern,capaConvUp,286539.6407
05ES,h2StorageCavern,capaConvUp,67421.09193
06ES,h2StorageCavern,capaConvUp,210690.9123
07ES,h2StorageCavern,capaConvUp,0
08ES,h2StorageCavern,capaConvUp,0
09ES,h2StorageCavern,capaConvUp,0
10ES,h2StorageCavern,capaConvUp,0
11ES,h2StorageCavern,capaConvUp,278112.0042
12PT,h2StorageCavern,capaConvUp,90991.26902
13PT,h2StorageCavern,capaConvUp,90991.26902
14FR,h2StorageCavern,capaConvUp,0
15FR,h2StorageCavern,capaConvUp,0
16FR,h2StorageCavern,capaConvUp,91456.49536
17FR,h2StorageCavern,capaConvUp,0
18FR,h2StorageCavern,capaConvUp,0
19FR,h2StorageCavern,capaConvUp,91456.49536
20FR,h2StorageCavern,capaConvUp,0
21FR,h2StorageCavern,capaConvUp,0
22FR,h2StorageCavern,capaConvUp,0
23FR,h2StorageCavern,capaConvUp,0
24FR,h2StorageCavern,capaConvUp,91456.49536
25FR,h2StorageCavern,capaConvUp,0
26FR,h2StorageCavern,capaConvUp,0
27FR,h2StorageCavern,capaConvUp,0
28BE,h2StorageCavern,capaConvUp,0
29LU,h2StorageCavern,capaConvUp,0
30NL,h2StorageCavern,capaConvUp,205836.1003
31DE,h2StorageCavern,capaConvUp,2997035.354
32DE,h2StorageCavern,capaConvUp,2997035.354
33DE,h2StorageCavern,capaConvUp,2997035.354
34DE,h2StorageCavern,capaConvUp,1798221.212
35DE,h2StorageCavern,capaConvUp,1198814.142
36DE,h2StorageCavern,capaConvUp,0
37DE,h2StorageCavern,capaConvUp,0
38DK,h2StorageCavern,capaConvUp,365721.148
39CZ,h2StorageCavern,capaConvUp,0
40CZ,h2StorageCavern,capaConvUp,0
41PL,h2StorageCavern,capaConvUp,3268833.72
42PL,h2StorageCavern,capaConvUp,0
43PL,h2StorageCavern,capaConvUp,0
44PL,h2StorageCavern,capaConvUp,4903250.581
45PL,h2StorageCavern,capaConvUp,0
46SK,h2StorageCavern,capaConvUp,0
47CH,h2StorageCavern,capaConvUp,0
48CH,h2StorageCavern,capaConvUp,0
49AT,h2StorageCavern,capaConvUp,0
50AT,h2StorageCavern,capaConvUp,0
51AT,h2StorageCavern,capaConvUp,0
52IT,h2StorageCavern,capaConvUp,0
53IT,h2StorageCavern,capaConvUp,0
54IT,h2StorageCavern,capaConvUp,0
55IT,h2StorageCavern,capaConvUp,0
56IT,h2StorageCavern,capaConvUp,0
57SI,h2StorageCavern,capaConvUp,0
58HU,h2StorageCavern,capaConvUp,0
59RO,h2StorageCavern,capaConvUp,596079.1819
60RO,h2StorageCavern,capaConvUp,149019.7955
61RO,h2StorageCavern,capaConvUp,0
62HR,h2StorageCavern,capaConvUp,0
63BA,h2StorageCavern,capaConvUp,480862.3808
64ME,h2StorageCavern,capaConvUp,0
65RS,h2StorageCavern,capaConvUp,0
66BG,h2StorageCavern,capaConvUp,0
67MK,h2StorageCavern,capaConvUp,0
68GR,h2StorageCavern,capaConvUp,38235.48185
69GR,h2StorageCavern,capaConvUp,0
70AL,h2StorageCavern,capaConvUp,14079.53819
72DK,h2StorageCavern,capaConvUp,0
73EE,h2StorageCavern,capaConvUp,0
74FI,h2StorageCavern,capaConvUp,0
75FI,h2StorageCavern,capaConvUp,0
77LT,h2StorageCavern,capaConvUp,0
78LV,h2StorageCavern,capaConvUp,0
79NO,h2StorageCavern,capaConvUp,0
80NO,h2StorageCavern,capaConvUp,0
81NO,h2StorageCavern,capaConvUp,0
82NO,h2StorageCavern,capaConvUp,0
83NO,h2StorageCavern,capaConvUp,0
84NO,h2StorageCavern,capaConvUp,0
85NO,h2StorageCavern,capaConvUp,0
86SE,h2StorageCavern,capaConvUp,0
87SE,h2StorageCavern,capaConvUp,0
88SE,h2StorageCavern,capaConvUp,0
89SE,h2StorageCavern,capaConvUp,0
90UK,h2StorageCavern,capaConvUp,0
91UK,h2StorageCavern,capaConvUp,202215.8505
92UK,h2StorageCavern,capaConvUp,202215.8505
93UK,h2StorageCavern,capaConvUp,202215.8505
94UK,h2StorageCavern,capaConvUp,0
95UK,h2StorageCavern,capaConvUp,202215.8505
96IE,h2StorageCavern,capaConvUp,0
98IT,h2StorageCavern,capaConvUp,0
99FR,h2StorageCavern,capaConvUp,0
