region_4,region_4,exchange,distance,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
01ES,02ES,h2Grid,226.0229801,capaExcResi,0,costExpExc,188.3254134,costOprExc,3.766508267,see exchangeData
01ES,12PT,h2Grid,220.7843196,capaExcResi,0,costExpExc,183.9604904,costOprExc,3.679209807,
02ES,03ES,h2Grid,169.3470606,capaExcResi,0,costExpExc,141.1022683,costOprExc,2.822045367,
02ES,04ES,h2Grid,261.8124199,capaExcResi,0,costExpExc,218.1456601,costOprExc,4.362913203,
02ES,08ES,h2Grid,345.1591499,capaExcResi,0,costExpExc,287.5912863,costOprExc,5.751825726,
02ES,12PT,h2Grid,242.1057926,capaExcResi,0,costExpExc,201.7258309,costOprExc,4.034516618,
03ES,04ES,h2Grid,170.5697448,capaExcResi,0,costExpExc,142.1210254,costOprExc,2.842420508,
03ES,05ES,h2Grid,258.8830989,capaExcResi,0,costExpExc,215.7049101,costOprExc,4.314098203,
03ES,07ES,h2Grid,135.5792406,capaExcResi,0,costExpExc,112.9664626,costOprExc,2.259329252,
03ES,08ES,h2Grid,285.2596021,capaExcResi,0,costExpExc,237.6821704,costOprExc,4.753643409,
03ES,11ES,h2Grid,365.8997089,capaExcResi,0,costExpExc,304.8726014,costOprExc,6.097452029,
04ES,05ES,h2Grid,200.888342,capaExcResi,0,costExpExc,167.3828919,costOprExc,3.347657838,
04ES,14FR,h2Grid,286.850674,capaExcResi,0,costExpExc,239.0078731,costOprExc,4.780157463,
05ES,06ES,h2Grid,180.7563858,capaExcResi,0,costExpExc,150.6086729,costOprExc,3.012173458,
05ES,11ES,h2Grid,268.5552515,capaExcResi,0,costExpExc,223.7638789,costOprExc,4.475277578,
05ES,14FR,h2Grid,305.4484316,capaExcResi,0,costExpExc,254.5037771,costOprExc,5.090075542,
06ES,11ES,h2Grid,370.9179493,capaExcResi,0,costExpExc,309.0538674,costOprExc,6.181077348,
06ES,14FR,h2Grid,253.2242877,capaExcResi,0,costExpExc,210.9899119,costOprExc,4.219798238,
06ES,15FR,h2Grid,270.4177384,capaExcResi,0,costExpExc,225.3157283,costOprExc,4.506314565,
07ES,08ES,h2Grid,172.8048204,capaExcResi,0,costExpExc,143.9833207,costOprExc,2.879666414,
07ES,11ES,h2Grid,276.9872673,capaExcResi,0,costExpExc,230.7895489,costOprExc,4.615790977,
08ES,09ES,h2Grid,231.1051398,capaExcResi,0,costExpExc,192.5599378,costOprExc,3.851198755,
08ES,10ES,h2Grid,198.6497561,capaExcResi,0,costExpExc,165.5176718,costOprExc,3.310353435,
08ES,11ES,h2Grid,359.9690076,capaExcResi,0,costExpExc,299.9310607,costOprExc,5.998621213,
08ES,12PT,h2Grid,277.8273511,capaExcResi,0,costExpExc,231.4895181,costOprExc,4.629790362,
08ES,13PT,h2Grid,275.4245566,capaExcResi,0,costExpExc,229.4874771,costOprExc,4.589749542,
09ES,10ES,h2Grid,167.4661886,capaExcResi,0,costExpExc,139.5351003,costOprExc,2.790702005,
09ES,13PT,h2Grid,264.6981729,capaExcResi,0,costExpExc,220.5501087,costOprExc,4.411002174,
10ES,11ES,h2Grid,300.3706252,capaExcResi,0,costExpExc,250.2728799,costOprExc,5.005457598,
12PT,13PT,h2Grid,254.0269767,capaExcResi,0,costExpExc,211.6587232,costOprExc,4.233174465,
14FR,15FR,h2Grid,136.6133652,capaExcResi,0,costExpExc,113.8281093,costOprExc,2.276562185,
14FR,17FR,h2Grid,318.1552849,capaExcResi,0,costExpExc,265.0912996,costOprExc,5.301825993,
14FR,18FR,h2Grid,344.2556995,capaExcResi,0,costExpExc,286.8385192,costOprExc,5.736770383,
15FR,16FR,h2Grid,249.2403492,capaExcResi,0,costExpExc,207.6704403,costOprExc,4.153408805,
15FR,18FR,h2Grid,309.9377053,capaExcResi,0,costExpExc,258.2443008,costOprExc,5.164886017,
15FR,19FR,h2Grid,195.2164194,capaExcResi,0,costExpExc,162.656969,costOprExc,3.253139381,
16FR,19FR,h2Grid,169.622725,capaExcResi,0,costExpExc,141.3319557,costOprExc,2.826639113,
16FR,20FR,h2Grid,215.3787153,capaExcResi,0,costExpExc,179.4564675,costOprExc,3.58912935,
