timestep_2,region_2,region_2,exchange_1,exchange_2,id,parameter_1,value_1,parameter_2,value_2
all,AT,SI,powerGrid,hvac,3,expExcUp,1,costExpExc,688
all,AT,SI,powerGrid,hvac,4,expExcUp,0.5,costExpExc,254
all,AT,SK,powerGrid,hvac,1,expExcUp,1,costExpExc,456
all,BA,HR,powerGrid,hvac,1,expExcUp,0.5,costExpExc,384
all,BA,HR,powerGrid,hvac,2,expExcUp,1,costExpExc,384
all,BA,HR,powerGrid,hvac,3,expExcUp,0.644,costExpExc,248.45
all,BA,HR,powerGrid,hvac,4,expExcUp,0.5,costExpExc,166
all,BA,ME,powerGrid,hvac,1,expExcUp,0.5,costExpExc,116
all,BA,ME,powerGrid,hvac,2,expExcUp,1,costExpExc,116
all,BA,ME,powerGrid,hvac,3,expExcUp,1.5,costExpExc,116
all,BA,ME,powerGrid,hvac,4,expExcUp,2,costExpExc,112.5
all,BA,RS,powerGrid,hvac,1,expExcUp,0.85,costExpExc,167.06
all,BA,RS,powerGrid,hvac,2,expExcUp,0.5,costExpExc,106
all,BA,RS,powerGrid,hvac,3,expExcUp,0.5,costExpExc,90
all,BE,DE,powerGrid,hvac,1,expExcUp,1,costExpExc,750
all,BE,DE,powerGrid,hvac,2,expExcUp,3,costExpExc,750
all,BE,DE,powerGrid,hvac,3,expExcUp,2,costExpExc,725
all,BE,DE,powerGrid,hvac,4,expExcUp,1,costExpExc,600
all,BE,FR,powerGrid,hvac,1,expExcUp,3,costExpExc,249.67
all,BE,FR,powerGrid,hvac,2,expExcUp,1,costExpExc,236
all,BE,FR,powerGrid,hvac,3,expExcUp,2,costExpExc,185.5
all,BE,FR,powerGrid,hvac,4,expExcUp,1,costExpExc,90
all,BE,LU,powerGrid,hvac,1,expExcUp,0.5,costExpExc,420
all,BE,NL,powerGrid,hvac,1,expExcUp,1,costExpExc,1090
all,BE,NL,powerGrid,hvac,2,expExcUp,2,costExpExc,980
all,BE,NL,powerGrid,hvac,3,expExcUp,1,costExpExc,890
all,BE,NL,powerGrid,hvac,4,expExcUp,1,costExpExc,185
all,BE,NL,powerGrid,hvac,5,expExcUp,1,costExpExc,50
all,BE,UK,powerGrid,hvdc,1,expExcUp,2,costExpExc,1375
all,BE,UK,powerGrid,hvdc,2,expExcUp,1,costExpExc,1250
all,BE,UK,powerGrid,hvdc,3,expExcUp,1.4,costExpExc,642.86
all,BG,GR,powerGrid,hvac,1,expExcUp,0.5,costExpExc,130
all,BG,GR,powerGrid,hvac,2,expExcUp,2,costExpExc,110
all,BG,GR,powerGrid,hvac,3,expExcUp,1.5,costExpExc,100
all,BG,GR,powerGrid,hvac,4,expExcUp,1,costExpExc,95
all,BG,MK,powerGrid,hvac,1,expExcUp,0.5,costExpExc,102
all,BG,MK,powerGrid,hvac,2,expExcUp,1.5,costExpExc,98
all,BG,MK,powerGrid,hvac,3,expExcUp,1,costExpExc,83
all,BG,RO,powerGrid,hvac,1,expExcUp,1,costExpExc,318
all,BG,RO,powerGrid,hvac,2,expExcUp,0.5,costExpExc,294
all,BG,RO,powerGrid,hvac,3,expExcUp,1.5,costExpExc,286.67
all,BG,RO,powerGrid,hvac,4,expExcUp,0.5,costExpExc,150
all,BG,RO,powerGrid,hvac,5,expExcUp,1.5,costExpExc,128
all,BG,RO,powerGrid,hvac,6,expExcUp,1,costExpExc,117
all,BG,RS,powerGrid,hvac,1,expExcUp,0.73,costExpExc,105.48
all,BG,RS,powerGrid,hvac,2,expExcUp,0.5,costExpExc,102
all,CH,DE,powerGrid,hvac,1,expExcUp,1,costExpExc,1000
all,CH,DE,powerGrid,hvac,2,expExcUp,2,costExpExc,1000
all,CH,DE,powerGrid,hvac,3,expExcUp,1.5,costExpExc,285.33
all,CH,DE,powerGrid,hvac,4,expExcUp,0.6,costExpExc,206.67
all,CH,DE,powerGrid,hvac,5,expExcUp,1,costExpExc,58
all,CH,FR,powerGrid,hvac,1,expExcUp,1,costExpExc,550
all,CH,FR,powerGrid,hvac,2,expExcUp,2,costExpExc,550
all,CH,FR,powerGrid,hvac,3,expExcUp,0.5,costExpExc,120
all,CH,FR,powerGrid,hvac,4,expExcUp,1,costExpExc,35
all,CH,IT,powerGrid,hvac,1,expExcUp,0.2,costExpExc,1060
all,CH,IT,powerGrid,hvac,2,expExcUp,1,costExpExc,850
all,CH,IT,powerGrid,hvac,3,expExcUp,0.2,costExpExc,285
all,CZ,DE,powerGrid,hvac,1,expExcUp,0.15,costExpExc,6493.33
all,CZ,DE,powerGrid,hvac,2,expExcUp,3.5,costExpExc,1657.14
all,CZ,DE,powerGrid,hvac,3,expExcUp,1,costExpExc,1450
all,CZ,DE,powerGrid,hvac,4,expExcUp,2,costExpExc,1450
all,CZ,DE,powerGrid,hvac,5,expExcUp,3,costExpExc,1446.67
all,CZ,DE,powerGrid,hvac,6,expExcUp,0.5,costExpExc,642
all,CZ,PL,powerGrid,hvac,1,expExcUp,0.5,costExpExc,1300
all,CZ,PL,powerGrid,hvac,2,expExcUp,1,costExpExc,780
all,CZ,PL,powerGrid,hvac,3,expExcUp,1.5,costExpExc,780
all,CZ,SK,powerGrid,hvac,1,expExcUp,0.5,costExpExc,586
all,CZ,SK,powerGrid,hvac,2,expExcUp,1,costExpExc,328
all,CZ,SK,powerGrid,hvac,3,expExcUp,0.5,costExpExc,172
all,DE,DK,powerGrid,hvdc,1,expExcUp,0.5,costExpExc,920
all,DE,DK,powerGrid,hvdc,2,expExcUp,0.6,costExpExc,766.67
all,DE,DK,powerGrid,hvac,1,expExcUp,1,costExpExc,2430
all,DE,DK,powerGrid,hvac,2,expExcUp,2,costExpExc,1325
all,DE,FR,powerGrid,hvac,1,expExcUp,1,costExpExc,1000
all,DE,FR,powerGrid,hvac,2,expExcUp,2,costExpExc,1000
all,DE,FR,powerGrid,hvac,3,expExcUp,3,costExpExc,1000
all,DE,FR,powerGrid,hvac,4,expExcUp,0.3,costExpExc,163.33
all,DE,FR,powerGrid,hvac,5,expExcUp,1.5,costExpExc,62.67
all,DE,LU,powerGrid,hvac,1,expExcUp,1,costExpExc,350
all,DE,LU,powerGrid,hvac,2,expExcUp,1,costExpExc,166
all,DE,NL,powerGrid,hvac,1,expExcUp,0.5,costExpExc,3700
all,DE,NL,powerGrid,hvac,2,expExcUp,1,costExpExc,2075
all,DE,NL,powerGrid,hvac,3,expExcUp,2,costExpExc,1325
all,DE,NL,powerGrid,hvac,4,expExcUp,3,costExpExc,1075
all,DE,NL,powerGrid,hvac,5,expExcUp,1,costExpExc,200
all,DE,NO,powerGrid,hvdc,1,expExcUp,1,costExpExc,3500
all,DE,NO,powerGrid,hvdc,2,expExcUp,2,costExpExc,2150
all,DE,PL,powerGrid,hvac,1,expExcUp,0.4,costExpExc,6492.5
all,DE,PL,powerGrid,hvac,2,expExcUp,0.5,costExpExc,844
all,DE,PL,powerGrid,hvac,3,expExcUp,1,costExpExc,542
all,DE,PL,powerGrid,hvac,4,expExcUp,2,costExpExc,331
all,DE,PL,powerGrid,hvac,5,expExcUp,3,costExpExc,260.67
all,DE,PL,powerGrid,hvac,6,expExcUp,1.5,costExpExc,180
all,DE,SE,powerGrid,hvdc,1,expExcUp,0.5,costExpExc,1320
all,DE,SE,powerGrid,hvdc,2,expExcUp,1,costExpExc,1320
all,DE,SE,powerGrid,hvdc,3,expExcUp,0.7,costExpExc,942.86
all,DE,SE,powerGrid,hvdc,4,expExcUp,0.7,costExpExc,942.86
all,DE,UK,powerGrid,hvdc,1,expExcUp,0.5,costExpExc,6200
all,DE,UK,powerGrid,hvdc,2,expExcUp,1,costExpExc,3600
all,DE,UK,powerGrid,hvdc,3,expExcUp,2,costExpExc,2200
all,DK,PL,powerGrid,hvdc,1,expExcUp,3,costExpExc,1492
all,DK,PL,powerGrid,hvdc,2,expExcUp,1,costExpExc,1242
all,DK,PL,powerGrid,hvdc,3,expExcUp,2,costExpExc,1242
all,DK,PL,powerGrid,hvdc,4,expExcUp,0.5,costExpExc,1142
all,DK,PL,powerGrid,hvdc,5,expExcUp,0.6,costExpExc,1091.67
all,DK,SE,powerGrid,hvac,1,expExcUp,0.5,costExpExc,300
all,DK,SE,powerGrid,hvac,2,expExcUp,1,costExpExc,300
all,DK,SE,powerGrid,hvac,3,expExcUp,1.5,costExpExc,300
all,DK,NL,powerGrid,hvdc,1,expExcUp,1,costExpExc,1550
all,DK,NL,powerGrid,hvdc,2,expExcUp,2,costExpExc,1550
all,DK,NO,powerGrid,hvdc,1,expExcUp,0.5,costExpExc,1200
all,DK,NO,powerGrid,hvdc,2,expExcUp,1,costExpExc,850
all,DK,NO,powerGrid,hvdc,3,expExcUp,1.5,costExpExc,766.67
all,DK,NO,powerGrid,hvdc,4,expExcUp,2,costExpExc,750
all,DK,UK,powerGrid,hvdc,1,expExcUp,1.5,costExpExc,1816.67
all,DK,UK,powerGrid,hvdc,2,expExcUp,1,costExpExc,1720
all,DK,UK,powerGrid,hvdc,3,expExcUp,2,costExpExc,1633
all,EE,FI,powerGrid,hvdc,1,expExcUp,0.5,costExpExc,740
all,EE,FI,powerGrid,hvdc,2,expExcUp,1,costExpExc,740
all,EE,FI,powerGrid,hvdc,3,expExcUp,1.5,costExpExc,740
all,EE,FI,powerGrid,hvdc,4,expExcUp,2,costExpExc,740
all,EE,LV,powerGrid,hvac,1,expExcUp,2,costExpExc,255
all,EE,LV,powerGrid,hvac,2,expExcUp,1.5,costExpExc,253.33
