region_3,region_3,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
01ES,02ES,hvac,capaExcResi,12.65,lossExc,0.011,costExpExc,90.4,costOprExc,3.6
02ES,03ES,hvac,capaExcResi,35.26,lossExc,0.008,costExpExc,67.7,costOprExc,2.7
02ES,04ES,hvac,capaExcResi,4.38,lossExc,0.013,costExpExc,104.7,costOprExc,4.2
02ES,12PT,hvac,capaExcResi,2.68,lossExc,0.012,costExpExc,96.8,costOprExc,3.8
03ES,04ES,hvac,capaExcResi,17.34,lossExc,0.009,costExpExc,68.2,costOprExc,2.7
03ES,05ES,hvac,capaExcResi,6.08,lossExc,0.013,costExpExc,103.6,costOprExc,4.1
03ES,07ES,hvac,capaExcResi,17.34,lossExc,0.007,costExpExc,54.2,costOprExc,2.2
03ES,08ES,hvac,capaExcResi,2.46,lossExc,0.014,costExpExc,114.1,costOprExc,4.5
03ES,11ES,hvac,capaExcResi,9.25,lossExc,0.018,costExpExc,146.4,costOprExc,5.8
04ES,05ES,hvac,capaExcResi,4.38,lossExc,0.01,costExpExc,80.4,costOprExc,3.2
04ES,14FR,hvac,capaExcResi,2.36,lossExc,0.014,costExpExc,114.7,costOprExc,4.6
05ES,06ES,hvac,capaExcResi,8.54,lossExc,0.009,costExpExc,72.3,costOprExc,2.9
05ES,11ES,hvac,capaExcResi,6.08,lossExc,0.013,costExpExc,107.4,costOprExc,4.3
06ES,11ES,hvac,capaExcResi,1.7,lossExc,0.019,costExpExc,148.4,costOprExc,5.9
07ES,08ES,hvac,capaExcResi,5.9,lossExc,0.009,costExpExc,69.1,costOprExc,2.7
08ES,09ES,hvac,capaExcResi,9.47,lossExc,0.012,costExpExc,92.4,costOprExc,3.7
08ES,10ES,hvac,capaExcResi,4.87,lossExc,0.01,costExpExc,79.5,costOprExc,3.2
08ES,11ES,hvac,capaExcResi,6.57,lossExc,0.018,costExpExc,144,costOprExc,5.7
08ES,13PT,hvac,capaExcResi,1.7,lossExc,0.014,costExpExc,110.2,costOprExc,4.4
09ES,10ES,hvac,capaExcResi,8.76,lossExc,0.008,costExpExc,67,costOprExc,2.7
10ES,11ES,hvac,capaExcResi,3.4,lossExc,0.015,costExpExc,120.1,costOprExc,4.8
12PT,13PT,hvac,capaExcResi,8.76,lossExc,0.013,costExpExc,101.6,costOprExc,4
14FR,15FR,hvac,capaExcResi,3.17,lossExc,0.007,costExpExc,54.6,costOprExc,2.2
14FR,17FR,hvac,capaExcResi,4.87,lossExc,0.016,costExpExc,127.3,costOprExc,5.1
15FR,16FR,hvac,capaExcResi,2.68,lossExc,0.012,costExpExc,99.7,costOprExc,4
15FR,18FR,hvac,capaExcResi,5.36,lossExc,0.015,costExpExc,124,costOprExc,4.9
16FR,19FR,hvac,capaExcResi,6.08,lossExc,0.008,costExpExc,67.8,costOprExc,2.7
