region_3,region_3,exchange_1,exchange_2,id,parameter_1,value_1,parameter_2,value_2
al,gr,powerGrid,hvac,1,expExcUp,0.5,costExpExc,80
al,gr,powerGrid,hvac,2,expExcUp,2,costExpExc,49.5
al,gr,powerGrid,hvac,3,expExcUp,1,costExpExc,45
al,gr,powerGrid,hvac,4,expExcUp,1.5,costExpExc,30
al,me,powerGrid,hvac,1,expExcUp,0.5,costExpExc,48
al,me,powerGrid,hvac,2,expExcUp,1.5,costExpExc,23.33
al,mk,powerGrid,hvac,1,expExcUp,0.5,costExpExc,96
al,mk,powerGrid,hvac,2,expExcUp,1.5,costExpExc,76
al,mk,powerGrid,hvac,3,expExcUp,1,costExpExc,67
al,rs,powerGrid,hvac,1,expExcUp,0.5,costExpExc,50
al,rs,powerGrid,hvac,2,expExcUp,1.5,costExpExc,38.67
al,rs,powerGrid,hvac,3,expExcUp,1,costExpExc,33
at,ch,powerGrid,hvac,1,expExcUp,4,costExpExc,1555.25
at,ch,powerGrid,hvac,2,expExcUp,3,costExpExc,873.33
at,ch,powerGrid,hvac,3,expExcUp,1,costExpExc,582
at,ch,powerGrid,hvac,4,expExcUp,2,costExpExc,527
at,ch,powerGrid,hvac,5,expExcUp,0.4,costExpExc,285
at,ch,powerGrid,hvac,6,expExcUp,0.2,costExpExc,205
at,cz,powerGrid,hvac,1,expExcUp,1.5,costExpExc,561.33
at,cz,powerGrid,hvac,2,expExcUp,1,costExpExc,454
at,de,powerGrid,hvac,1,expExcUp,0.1,costExpExc,6490
at,de,powerGrid,hvac,2,expExcUp,1,costExpExc,3000
at,de,powerGrid,hvac,3,expExcUp,0.46,costExpExc,378.26
at,de,powerGrid,hvac,4,expExcUp,0.14,costExpExc,314.29
at,de,powerGrid,hvac,5,expExcUp,1,costExpExc,206
at,de,powerGrid,hvac,6,expExcUp,1.5,costExpExc,131.33
at,hu,powerGrid,hvac,1,expExcUp,2,costExpExc,607.5
at,hu,powerGrid,hvac,2,expExcUp,1,costExpExc,547
at,it_n,powerGrid,hvac,1,expExcUp,1,costExpExc,1305
at,it_n,powerGrid,hvac,2,expExcUp,0.5,costExpExc,270
at,si,powerGrid,hvac,1,expExcUp,0.26,costExpExc,807.69
at,si,powerGrid,hvac,2,expExcUp,0.24,costExpExc,729.17
at,si,powerGrid,hvac,3,expExcUp,1,costExpExc,688
at,si,powerGrid,hvac,4,expExcUp,0.5,costExpExc,254
at,sk,powerGrid,hvac,1,expExcUp,1,costExpExc,456
ba,hr,powerGrid,hvac,1,expExcUp,0.5,costExpExc,384
ba,hr,powerGrid,hvac,2,expExcUp,1,costExpExc,384
ba,hr,powerGrid,hvac,3,expExcUp,0.644,costExpExc,248.45
ba,hr,powerGrid,hvac,4,expExcUp,0.5,costExpExc,166
ba,me,powerGrid,hvac,1,expExcUp,0.5,costExpExc,116
ba,me,powerGrid,hvac,2,expExcUp,1,costExpExc,116
ba,me,powerGrid,hvac,3,expExcUp,1.5,costExpExc,116
ba,me,powerGrid,hvac,4,expExcUp,2,costExpExc,112.5
ba,rs,powerGrid,hvac,1,expExcUp,0.85,costExpExc,167.06
ba,rs,powerGrid,hvac,2,expExcUp,0.5,costExpExc,106
ba,rs,powerGrid,hvac,3,expExcUp,0.5,costExpExc,90
be,de,powerGrid,hvac,1,expExcUp,1,costExpExc,750
be,de,powerGrid,hvac,2,expExcUp,3,costExpExc,750
be,de,powerGrid,hvac,3,expExcUp,2,costExpExc,725
be,de,powerGrid,hvac,4,expExcUp,1,costExpExc,600
be,fr,powerGrid,hvac,1,expExcUp,3,costExpExc,249.67
be,fr,powerGrid,hvac,2,expExcUp,1,costExpExc,236
be,fr,powerGrid,hvac,3,expExcUp,2,costExpExc,185.5
be,fr,powerGrid,hvac,4,expExcUp,1,costExpExc,90
be,lu,powerGrid,hvac,1,expExcUp,0.5,costExpExc,420
be,nl,powerGrid,hvac,1,expExcUp,1,costExpExc,1090
be,nl,powerGrid,hvac,2,expExcUp,2,costExpExc,980
be,nl,powerGrid,hvac,3,expExcUp,1,costExpExc,890
be,nl,powerGrid,hvac,4,expExcUp,1,costExpExc,185
be,nl,powerGrid,hvac,5,expExcUp,1,costExpExc,50
be,uk,powerGrid,hvdc,1,expExcUp,2,costExpExc,1375
be,uk,powerGrid,hvdc,2,expExcUp,1,costExpExc,1250
be,uk,powerGrid,hvdc,3,expExcUp,1.4,costExpExc,642.86
bg,gr,powerGrid,hvac,1,expExcUp,0.5,costExpExc,130
