region_3,region_3,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
at,ch,powerGrid,hvac,capaExcResi,1.2,lossExc,0.0203,costOprExc,6.45
at,de,powerGrid,hvac,capaExcResi,5,lossExc,0.0236,costOprExc,7.5
be,de,powerGrid,hvac,capaExcResi,1,lossExc,0.0176,costOprExc,5.61
de,lu,powerGrid,hvac,capaExcResi,2.3,lossExc,0.0154,costOprExc,4.91
de,nl,powerGrid,hvac,capaExcResi,4.25,lossExc,0.0171,costOprExc,5.45
be,fr,powerGrid,hvac,capaExcResiDir,1.8,lossExc,0.0248,costOprExc,7.9
be,lu,powerGrid,hvac,capaExcResiDir,0.68,lossExc,0.0057,costOprExc,1.83
be,nl,powerGrid,hvac,capaExcResiDir,2.4,lossExc,0.0083,costOprExc,2.63
ch,de,powerGrid,hvac,capaExcResiDir,4.6,lossExc,0.024,costOprExc,7.63
ch,fr,powerGrid,hvac,capaExcResiDir,1.3,lossExc,0.0289,costOprExc,9.2
de,fr,powerGrid,hvac,capaExcResiDir,2.3,lossExc,0.0403,costOprExc,12.82
fr,lu,powerGrid,hvac,capaExcResiDir,0.38,lossExc,0.0249,costOprExc,7.93
fr,be,powerGrid,hvac,capaExcResiDir,3.3,,,,
lu,be,powerGrid,hvac,capaExcResiDir,0.18,,,,
nl,be,powerGrid,hvac,capaExcResiDir,1.4,,,,
de,ch,powerGrid,hvac,capaExcResiDir,2.7,,,,
fr,ch,powerGrid,hvac,capaExcResiDir,3.15,,,,
fr,de,powerGrid,hvac,capaExcResiDir,1.8,,,,
lu,fr,powerGrid,hvac,capaExcResiDir,0,,,,
