timestep_3,region_4,carrier_1,parameter,value
d001,01ES,psngRoadPrvt,mustOut,0.4823848487923354
d002,01ES,psngRoadPrvt,mustOut,0.6236529393031455
d003,01ES,psngRoadPrvt,mustOut,0.4896673842755585
d004,01ES,psngRoadPrvt,mustOut,0.48131311467785626
d005,01ES,psngRoadPrvt,mustOut,0.6236529393031455
d006,01ES,psngRoadPrvt,mustOut,0.6236529393031455
d007,01ES,psngRoadPrvt,mustOut,0.35160264516801165
d008,01ES,psngRoadPrvt,mustOut,0.6193778537854031
d009,01ES,psngRoadPrvt,mustOut,0.6236529393031455
d010,01ES,psngRoadPrvt,mustOut,0.4896673842755585
d011,01ES,psngRoadPrvt,mustOut,0.48131311467785626
d012,01ES,psngRoadPrvt,mustOut,0.6236529393031455
d013,01ES,psngRoadPrvt,mustOut,0.6236529393031455
d014,01ES,psngRoadPrvt,mustOut,0.35160264516801165
d015,01ES,psngRoadPrvt,mustOut,0.6193778537854031
d016,01ES,psngRoadPrvt,mustOut,0.6060442214741394
d017,01ES,psngRoadPrvt,mustOut,0.49649014244568407
d018,01ES,psngRoadPrvt,mustOut,0.4704407827149786
d019,01ES,psngRoadPrvt,mustOut,0.6091421598267109
d020,01ES,psngRoadPrvt,mustOut,0.6091421598267109
d021,01ES,psngRoadPrvt,mustOut,0.37116119365627426
d022,01ES,psngRoadPrvt,mustOut,0.5957697315043882
d023,01ES,psngRoadPrvt,mustOut,0.6091421598267109
d024,01ES,psngRoadPrvt,mustOut,0.49649014244568407
d025,01ES,psngRoadPrvt,mustOut,0.4704407827149786
d026,01ES,psngRoadPrvt,mustOut,0.6091421598267109
d027,01ES,psngRoadPrvt,mustOut,0.6091421598267109
d028,01ES,psngRoadPrvt,mustOut,0.37116119365627426
d029,01ES,psngRoadPrvt,mustOut,0.5957697315043882
d030,01ES,psngRoadPrvt,mustOut,0.6044076697579895
d031,01ES,psngRoadPrvt,mustOut,0.4741277469518413
d032,01ES,psngRoadPrvt,mustOut,0.4611109675848261
d033,01ES,psngRoadPrvt,mustOut,0.5898070453814024
d034,01ES,psngRoadPrvt,mustOut,0.5898070453814024
d035,01ES,psngRoadPrvt,mustOut,0.3521087881138478
d036,01ES,psngRoadPrvt,mustOut,0.5831299264228196
d037,01ES,psngRoadPrvt,mustOut,0.5898070453814024
d038,01ES,psngRoadPrvt,mustOut,0.4741277469518413
d039,01ES,psngRoadPrvt,mustOut,0.4611109675848261
d040,01ES,psngRoadPrvt,mustOut,0.5898070453814024
d041,01ES,psngRoadPrvt,mustOut,0.5898070453814024
d042,01ES,psngRoadPrvt,mustOut,0.3521087881138478
d043,01ES,psngRoadPrvt,mustOut,0.5831299264228196
d044,01ES,psngRoadPrvt,mustOut,0.5898070453814024
d045,01ES,psngRoadPrvt,mustOut,0.4741277469518413
d046,01ES,psngRoadPrvt,mustOut,0.47262112306646314
d047,01ES,psngRoadPrvt,mustOut,0.6259132034350704
d048,01ES,psngRoadPrvt,mustOut,0.6259132034350704
d049,01ES,psngRoadPrvt,mustOut,0.3525263058843662
d050,01ES,psngRoadPrvt,mustOut,0.6134750521841027
d051,01ES,psngRoadPrvt,mustOut,0.6259132034350704
d052,01ES,psngRoadPrvt,mustOut,0.4951899611130069
d053,01ES,psngRoadPrvt,mustOut,0.4708113969554619
d054,01ES,psngRoadPrvt,mustOut,0.6259132034350704
d055,01ES,psngRoadPrvt,mustOut,0.6259132034350704
d056,01ES,psngRoadPrvt,mustOut,0.3525263058843662
d057,01ES,psngRoadPrvt,mustOut,0.6134750521841027
d058,01ES,psngRoadPrvt,mustOut,0.6259132034350704
d059,01ES,psngRoadPrvt,mustOut,0.4951899611130069
d060,01ES,psngRoadPrvt,mustOut,0.4708113969554619
d061,01ES,psngRoadPrvt,mustOut,0.607911908943393
d062,01ES,psngRoadPrvt,mustOut,0.6160879071702156
d063,01ES,psngRoadPrvt,mustOut,0.3817618674181637
d064,01ES,psngRoadPrvt,mustOut,0.5986124423681152
d065,01ES,psngRoadPrvt,mustOut,0.6160879071702156
d066,01ES,psngRoadPrvt,mustOut,0.5070694708429183
d067,01ES,psngRoadPrvt,mustOut,0.47330483894336056
d068,01ES,psngRoadPrvt,mustOut,0.6160879071702156
d069,01ES,psngRoadPrvt,mustOut,0.6160879071702156
d070,01ES,psngRoadPrvt,mustOut,0.3817618674181637
d071,01ES,psngRoadPrvt,mustOut,0.5986124423681152
d072,01ES,psngRoadPrvt,mustOut,0.6160879071702156
d073,01ES,psngRoadPrvt,mustOut,0.5070694708429183
d074,01ES,psngRoadPrvt,mustOut,0.47330483894336056
d075,01ES,psngRoadPrvt,mustOut,0.6160879071702156
d076,01ES,psngRoadPrvt,mustOut,0.6156591282119778
d077,01ES,psngRoadPrvt,mustOut,0.3583057794176144
d078,01ES,psngRoadPrvt,mustOut,0.5887560640750953
d079,01ES,psngRoadPrvt,mustOut,0.5988887652498798
d080,01ES,psngRoadPrvt,mustOut,0.4835042777267593
