scenario,timestep_3,parameter,value,comment
scr1982,ini1,scrProb,0.6,clustering
scr1994,ini1,scrProb,0.4,clustering
scr1984,ini1,scrProb,0.0,none
scr1985,ini1,scrProb,0.0,none
scr1987,ini1,scrProb,0.0,none
scr1988,ini1,scrProb,0.0,none
scr1991,ini1,scrProb,0.0,none
scr1995,ini1,scrProb,0.0,none
scr1998,ini1,scrProb,0.0,none
scr1999,ini1,scrProb,0.0,none
scr2000,ini1,scrProb,0.0,none
scr2001,ini1,scrProb,0.0,none
scr2004,ini1,scrProb,0.0,none
scr2005,ini1,scrProb,0.0,none
scr2006,ini1,scrProb,0.0,none
scr2007,ini1,scrProb,0.0,none
scr2011,ini1,scrProb,0.0,none
scr2012,ini1,scrProb,0.0,none
scr2013,ini1,scrProb,0.0,none
scr2016,ini1,scrProb,0.0,none
scr2006,ini2,scrProb,0.02857142857142857,extreme
scr1985,ini2,scrProb,0.34285714285714286,clustering
scr2005,ini2,scrProb,0.37142857142857144,clustering
scr1995,ini2,scrProb,0.2571428571428571,clustering
scr1982,ini2,scrProb,0.0,none
scr1984,ini2,scrProb,0.0,none
scr1987,ini2,scrProb,0.0,none
scr1988,ini2,scrProb,0.0,none
scr1991,ini2,scrProb,0.0,none
scr1994,ini2,scrProb,0.0,none
scr1998,ini2,scrProb,0.0,none
scr1999,ini2,scrProb,0.0,none
scr2000,ini2,scrProb,0.0,none
scr2001,ini2,scrProb,0.0,none
scr2004,ini2,scrProb,0.0,none
scr2007,ini2,scrProb,0.0,none
scr2011,ini2,scrProb,0.0,none
scr2012,ini2,scrProb,0.0,none
scr2013,ini2,scrProb,0.0,none
scr2016,ini2,scrProb,0.0,none
scr2000,ini3,scrProb,0.5714285714285714,clustering
scr2011,ini3,scrProb,0.42857142857142855,clustering
scr1982,ini3,scrProb,0.0,none
scr1984,ini3,scrProb,0.0,none
scr1985,ini3,scrProb,0.0,none
scr1987,ini3,scrProb,0.0,none
scr1988,ini3,scrProb,0.0,none
scr1991,ini3,scrProb,0.0,none
scr1994,ini3,scrProb,0.0,none
scr1995,ini3,scrProb,0.0,none
scr1998,ini3,scrProb,0.0,none
scr1999,ini3,scrProb,0.0,none
scr2001,ini3,scrProb,0.0,none
scr2004,ini3,scrProb,0.0,none
scr2005,ini3,scrProb,0.0,none
scr2006,ini3,scrProb,0.0,none
scr2007,ini3,scrProb,0.0,none
scr2012,ini3,scrProb,0.0,none
scr2013,ini3,scrProb,0.0,none
scr2016,ini3,scrProb,0.0,none
scr2001,ini4,scrProb,0.5142857142857142,clustering
scr2006,ini4,scrProb,0.4857142857142857,clustering
scr1982,ini4,scrProb,0.0,none
scr1984,ini4,scrProb,0.0,none
scr1985,ini4,scrProb,0.0,none
scr1987,ini4,scrProb,0.0,none
scr1988,ini4,scrProb,0.0,none
scr1991,ini4,scrProb,0.0,none
scr1994,ini4,scrProb,0.0,none
scr1995,ini4,scrProb,0.0,none
scr1998,ini4,scrProb,0.0,none
scr1999,ini4,scrProb,0.0,none
scr2000,ini4,scrProb,0.0,none
scr2004,ini4,scrProb,0.0,none
scr2005,ini4,scrProb,0.0,none
scr2007,ini4,scrProb,0.0,none
scr2011,ini4,scrProb,0.0,none
scr2012,ini4,scrProb,0.0,none
scr2013,ini4,scrProb,0.0,none
scr2016,ini4,scrProb,0.0,none
scr1998,ini5,scrProb,0.5714285714285714,clustering
scr1987,ini5,scrProb,0.42857142857142855,clustering
scr1982,ini5,scrProb,0.0,none
scr1984,ini5,scrProb,0.0,none
scr1985,ini5,scrProb,0.0,none
scr1988,ini5,scrProb,0.0,none
scr1991,ini5,scrProb,0.0,none
