timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,49AT,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,BG,bg,66BG,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,DE,de,31DE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,DE,de,32DE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,DE,de,33DE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,DE,de,35DE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,DK,dk_w,38DK,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,EE,ee,73EE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,ES,es,01ES,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,ES,es,03ES,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,ES,es,05ES,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,ES,es,06ES,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,ES,es,10ES,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FI,fi,74FI,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FI,fi,75FI,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,15FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,18FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,20FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,22FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,23FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,24FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,25FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,26FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,FR,fr,27FR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,GR,gr,68GR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,GR,gr,69GR,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,HU,hu,58HU,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,IE,ie,96IE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,IT,it_s,55IT,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,LV,lv,78LV,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,NL,nl,30NL,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,PL,pl,41PL,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,PL,pl,42PL,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,PL,pl,45PL,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,RO,ro,59RO,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,SE,se_1,86SE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,SE,se_2,87SE,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,EU,SI,si,57SI,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,AL,al,70AL,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,BA,ba,63BA,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,CH,ch,48CH,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,ME,me,64ME,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,MK,mk,67MK,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,RS,rs,65RS,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,UK,uk,92UK,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,UK,uk,93UK,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
30th,nonEU,UK,uk,94UK,solar,openspace_a,pvOpenspace_a,expConvFix,0.0
