timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,ES,es,01ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.516187819263
30th,2040,EU,ES,es,02ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.607228277675
30th,2040,EU,ES,es,03ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.401681097104
30th,2040,EU,ES,es,04ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.989858922355
30th,2040,EU,ES,es,05ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.32073328591
30th,2040,EU,ES,es,07ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.735387448099
30th,2040,EU,ES,es,08ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.395656074445
30th,2040,EU,ES,es,09ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.565687305919
30th,2040,EU,ES,es,10ES,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.324837170827
30th,2040,EU,FR,fr_co,99FR,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.242932486923
30th,2040,EU,PT,pt,12PT,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.601278021702
30th,2040,EU,PT,pt,13PT,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.420081268507
30th,2040,EU,RO,ro,60RO,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,1.343261950086
30th,2040,EU,RO,ro,61RO,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.619203831907
30th,2040,EU,SE,se_1,86SE,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.037069172813
30th,2040,nonEU,AL,al,70AL,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.577996320509
30th,2040,nonEU,MK,mk,67MK,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,0.406923589041
30th,2040,nonEU,RS,rs,65RS,miscProHeat,h2BoilerPro,h2BoilerProHigh,expConvFix,1.422223223697
