timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,49AT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,AT,at,50AT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,AT,at,51AT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,BE,be,28BE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,BG,bg,66BG,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,CZ,cz,39CZ,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,CZ,cz,40CZ,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DE,de,31DE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DE,de,32DE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DE,de,33DE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DE,de,34DE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DE,de,35DE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DE,de,36DE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DE,de,37DE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DK,dk_e,72DK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,DK,dk_w,38DK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,EE,ee,73EE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,01ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,02ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,03ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,04ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,05ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,06ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,07ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,08ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,09ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,10ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,ES,es,11ES,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FI,fi,74FI,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FI,fi,75FI,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,14FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,15FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,16FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,17FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,18FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,19FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,20FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,21FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,22FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,23FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,24FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,25FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,26FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr,27FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,FR,fr_co,99FR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,GR,gr,68GR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,GR,gr,69GR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,HR,hr,62HR,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,HU,hu,58HU,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,IE,ie,96IE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,IT,it_cn,53IT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,IT,it_cs,54IT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,IT,it_n,52IT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,IT,it_s,55IT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,IT,it_sar,98IT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,IT,it_sic,56IT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,LT,lt,77LT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,LU,lu,29LU,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,LV,lv,78LV,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,NL,nl,30NL,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,PL,pl,41PL,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,PL,pl,42PL,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,PL,pl,43PL,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,PL,pl,44PL,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,PL,pl,45PL,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,PT,pt,12PT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,PT,pt,13PT,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,RO,ro,59RO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,RO,ro,60RO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,RO,ro,61RO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,SE,se_1,86SE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,SE,se_2,87SE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,SE,se_3,88SE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,SE,se_4,89SE,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,SI,si,57SI,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,EU,SK,sk,46SK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,AL,al,70AL,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,BA,ba,63BA,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,CH,ch,47CH,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,CH,ch,48CH,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,ME,me,64ME,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,MK,mk,67MK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,NO,no_m,83NO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,NO,no_s,79NO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,NO,no_s,81NO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,NO,no_s,82NO,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,RS,rs,65RS,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,UK,ni,95UK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,UK,uk,90UK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,UK,uk,91UK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,UK,uk,92UK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,UK,uk,93UK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
30th,nonEU,UK,uk,94UK,ocgt,,ocgtGasH2Rdy,expConvFix,0.0
