timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,49AT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,AT,at,50AT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,AT,at,51AT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,BE,be,28BE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,BG,bg,66BG,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,CZ,cz,39CZ,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,CZ,cz,40CZ,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DE,de,31DE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DE,de,32DE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DE,de,33DE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DE,de,34DE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DE,de,35DE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DE,de,36DE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DE,de,37DE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DK,dk_e,72DK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,DK,dk_w,38DK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,EE,ee,73EE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,01ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,02ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,03ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,04ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,05ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,06ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,07ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,08ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,09ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,10ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,ES,es,11ES,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FI,fi,74FI,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FI,fi,75FI,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,14FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,15FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,16FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,17FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,18FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,19FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,20FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,21FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,22FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,23FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,24FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,25FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,26FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr,27FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,FR,fr_co,99FR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,GR,gr,69GR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,HR,hr,62HR,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,HU,hu,58HU,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,IE,ie,96IE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,IT,it_cn,53IT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,IT,it_cs,54IT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,IT,it_n,52IT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,IT,it_s,55IT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,IT,it_sar,98IT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,IT,it_sic,56IT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,LT,lt,77LT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,LU,lu,29LU,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,LV,lv,78LV,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,NL,nl,30NL,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,PL,pl,41PL,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,PL,pl,42PL,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,PL,pl,43PL,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,PL,pl,44PL,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,PL,pl,45PL,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,PT,pt,12PT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,PT,pt,13PT,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,RO,ro,59RO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,RO,ro,60RO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,RO,ro,61RO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,SE,se_1,86SE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,SE,se_2,87SE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,SE,se_3,88SE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,SE,se_4,89SE,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,SI,si,57SI,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,EU,SK,sk,46SK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,AL,al,70AL,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,BA,ba,63BA,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,CH,ch,47CH,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,CH,ch,48CH,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,ME,me,64ME,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,MK,mk,67MK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_m,83NO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_n,84NO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_n,85NO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,79NO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,80NO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,81NO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,NO,no_s,82NO,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,RS,rs,65RS,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,UK,ni,95UK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,90UK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,91UK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,92UK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,93UK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
30th,2040,nonEU,UK,uk,94UK,powerToX,electrolysis,pemElectrolysis,expConvFix,0.0
