timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,49AT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,AT,at,50AT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,AT,at,51AT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,BE,be,28BE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,BG,bg,66BG,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,CZ,cz,39CZ,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,CZ,cz,40CZ,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DE,de,31DE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DE,de,32DE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DE,de,33DE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DE,de,34DE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DE,de,35DE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DE,de,36DE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DE,de,37DE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DK,dk_e,72DK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,DK,dk_w,38DK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,EE,ee,73EE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,01ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,02ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,03ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,04ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,05ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,06ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,07ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,08ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,09ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,10ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,ES,es,11ES,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FI,fi,74FI,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FI,fi,75FI,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,14FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,15FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,16FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,17FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,18FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,19FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,20FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,21FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,22FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,23FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,24FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,25FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,26FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr,27FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,FR,fr_co,99FR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,GR,gr,68GR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,GR,gr,69GR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,HR,hr,62HR,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,HU,hu,58HU,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,IE,ie,96IE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,IT,it_cn,53IT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,IT,it_cs,54IT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,IT,it_s,55IT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,IT,it_sar,98IT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,IT,it_sic,56IT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,LT,lt,77LT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,LU,lu,29LU,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,LV,lv,78LV,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,NL,nl,30NL,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,PL,pl,41PL,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,PL,pl,42PL,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,PL,pl,43PL,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,PL,pl,44PL,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,PL,pl,45PL,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,PT,pt,12PT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,PT,pt,13PT,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,RO,ro,59RO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,RO,ro,60RO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,RO,ro,61RO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,SE,se_1,86SE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,SE,se_2,87SE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,SE,se_3,88SE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,SE,se_4,89SE,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,SI,si,57SI,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,EU,SK,sk,46SK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,AL,al,70AL,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,BA,ba,63BA,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,CH,ch,47CH,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,CH,ch,48CH,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,ME,me,64ME,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,MK,mk,67MK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,NO,no_m,83NO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,NO,no_n,85NO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,NO,no_s,79NO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,NO,no_s,80NO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,NO,no_s,81NO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,NO,no_s,82NO,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,RS,rs,65RS,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,UK,ni,95UK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,UK,uk,90UK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,UK,uk,91UK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,UK,uk,92UK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,UK,uk,93UK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
30th,nonEU,UK,uk,94UK,solar,rooftopInd_b,pvInd_b,expConvFix,0.0
