timestep_1,region_1,region_2,region_3,region_4,region_1,region_2,region_3,region_4,exchange_1,id_1,parameter,value
30th,EU,AT,at,50AT,EU,AT,at,49AT,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,37DE,EU,AT,at,49AT,h2Grid,,expExcFixDir,0.0
30th,EU,IT,it_n,52IT,EU,AT,at,49AT,h2Grid,,expExcFixDir,0.0
30th,EU,SI,si,57SI,EU,AT,at,49AT,h2Grid,,expExcFixDir,0.0
30th,nonEU,CH,ch,47CH,EU,AT,at,49AT,h2Grid,,expExcFixDir,0.0
30th,nonEU,CH,ch,48CH,EU,AT,at,49AT,h2Grid,,expExcFixDir,0.0
30th,EU,AT,at,51AT,EU,AT,at,50AT,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,39CZ,EU,AT,at,50AT,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,37DE,EU,AT,at,50AT,h2Grid,,expExcFixDir,0.0
30th,EU,SI,si,57SI,EU,AT,at,50AT,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,39CZ,EU,AT,at,51AT,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,40CZ,EU,AT,at,51AT,h2Grid,,expExcFixDir,0.0
30th,EU,HU,hu,58HU,EU,AT,at,51AT,h2Grid,,expExcFixDir,0.0
30th,EU,SK,sk,46SK,EU,AT,at,51AT,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,33DE,EU,BE,be,28BE,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,25FR,EU,BE,be,28BE,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,26FR,EU,BE,be,28BE,h2Grid,,expExcFixDir,0.0
30th,EU,NL,nl,30NL,EU,BE,be,28BE,h2Grid,,expExcFixDir,0.0
30th,EU,GR,gr,68GR,EU,BG,bg,66BG,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,60RO,EU,BG,bg,66BG,h2Grid,,expExcFixDir,0.0
30th,EU,RO,ro,61RO,EU,BG,bg,66BG,h2Grid,,expExcFixDir,0.0
30th,nonEU,MK,mk,67MK,EU,BG,bg,66BG,h2Grid,,expExcFixDir,0.0
30th,nonEU,RS,rs,65RS,EU,BG,bg,66BG,h2Grid,,expExcFixDir,0.0
30th,EU,CZ,cz,40CZ,EU,CZ,cz,39CZ,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,34DE,EU,CZ,cz,39CZ,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,37DE,EU,CZ,cz,39CZ,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,44PL,EU,CZ,cz,39CZ,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,43PL,EU,CZ,cz,40CZ,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,44PL,EU,CZ,cz,40CZ,h2Grid,,expExcFixDir,0.0
30th,EU,SK,sk,46SK,EU,CZ,cz,40CZ,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,32DE,EU,DE,de,31DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,33DE,EU,DE,de,31DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,34DE,EU,DE,de,31DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,35DE,EU,DE,de,31DE,h2Grid,,expExcFixDir,0.0
30th,EU,DK,dk_w,38DK,EU,DE,de,31DE,h2Grid,,expExcFixDir,0.0
30th,EU,NL,nl,30NL,EU,DE,de,31DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,34DE,EU,DE,de,32DE,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,44PL,EU,DE,de,32DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,35DE,EU,DE,de,33DE,h2Grid,,expExcFixDir,0.0
30th,EU,NL,nl,30NL,EU,DE,de,33DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,35DE,EU,DE,de,34DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,37DE,EU,DE,de,34DE,h2Grid,,expExcFixDir,0.0
30th,EU,PL,pl,44PL,EU,DE,de,34DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,36DE,EU,DE,de,35DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,37DE,EU,DE,de,35DE,h2Grid,,expExcFixDir,0.0
30th,EU,FR,fr,25FR,EU,DE,de,35DE,h2Grid,,expExcFixDir,0.0
30th,EU,LU,lu,29LU,EU,DE,de,35DE,h2Grid,,expExcFixDir,0.0
30th,EU,DE,de,37DE,EU,DE,de,36DE,h2Grid,,expExcFixDir,0.0
