timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,BG,bg,66BG,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,DE,de,31DE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,DE,de,32DE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,DE,de,33DE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,DE,de,34DE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,DE,de,35DE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,DE,de,36DE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,DE,de,37DE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,ES,es,01ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.100174292457
30th,2040,EU,ES,es,02ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.109665376983
30th,2040,EU,ES,es,03ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.089307189158
30th,2040,EU,ES,es,04ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.212931915879
30th,2040,EU,ES,es,05ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.087423631916
30th,2040,EU,ES,es,06ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.637029546421
30th,2040,EU,ES,es,07ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.257538494826
30th,2040,EU,ES,es,08ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.076820664324
30th,2040,EU,ES,es,09ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.123745040667
30th,2040,EU,ES,es,10ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.07075926026
30th,2040,EU,ES,es,11ES,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.435621826858
30th,2040,EU,GR,gr,68GR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.095375608948
30th,2040,EU,HR,hr,62HR,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,LT,lt,77LT,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.070386454554
30th,2040,EU,LU,lu,29LU,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,EU,PT,pt,12PT,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.270751510383
30th,2040,EU,PT,pt,13PT,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.142938308715
30th,2040,EU,RO,ro,59RO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.149289136523
30th,2040,EU,RO,ro,60RO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.235824864061
30th,2040,EU,RO,ro,61RO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.107783128617
30th,2040,EU,SE,se_1,86SE,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.022571307261
30th,2040,EU,SI,si,57SI,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.0
30th,2040,nonEU,AL,al,70AL,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.133545810541
30th,2040,nonEU,NO,no_n,85NO,miscProHeat,h2BoilerPro,h2BoilerProMed,expConvFix,0.044620610399
