timestep_1,timestep_2,region_1,region_2,region_3,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,EE,ee,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,FI,fi,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,LT,lt,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,LV,lv,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,PL,pl,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,SE,se_1,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,SE,se_2,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,SE,se_3,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,EU,SE,se_4,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,nonEU,AL,al,transport,bev,bevPsngRoadPub,expConvFix,0.0
30th,2040,nonEU,NO,no_s,transport,bev,bevPsngRoadPub,expConvFix,0.0
