timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,AT,at,49AT,networkHeat,heatGrid,districtHeatSpace,expConvFix,1.613947951377
30th,2040,EU,AT,at,50AT,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.832194806015
30th,2040,EU,AT,at,51AT,networkHeat,heatGrid,districtHeatSpace,expConvFix,5.335331526951
30th,2040,EU,BE,be,28BE,networkHeat,heatGrid,districtHeatSpace,expConvFix,14.808897089162
30th,2040,EU,BG,bg,66BG,networkHeat,heatGrid,districtHeatSpace,expConvFix,3.7485
30th,2040,EU,CZ,cz,39CZ,networkHeat,heatGrid,districtHeatSpace,expConvFix,6.142088375721
30th,2040,EU,CZ,cz,40CZ,networkHeat,heatGrid,districtHeatSpace,expConvFix,1.149828591577
30th,2040,EU,DE,de,31DE,networkHeat,heatGrid,districtHeatSpace,expConvFix,15.849890343802
30th,2040,EU,DE,de,32DE,networkHeat,heatGrid,districtHeatSpace,expConvFix,10.245272864527
30th,2040,EU,DE,de,33DE,networkHeat,heatGrid,districtHeatSpace,expConvFix,29.252496611851
30th,2040,EU,DE,de,34DE,networkHeat,heatGrid,districtHeatSpace,expConvFix,7.211008513409
30th,2040,EU,DE,de,35DE,networkHeat,heatGrid,districtHeatSpace,expConvFix,14.544333535499
30th,2040,EU,DE,de,36DE,networkHeat,heatGrid,districtHeatSpace,expConvFix,14.255031764752
30th,2040,EU,DE,de,37DE,networkHeat,heatGrid,districtHeatSpace,expConvFix,13.818918358787
30th,2040,EU,DK,dk_e,72DK,networkHeat,heatGrid,districtHeatSpace,expConvFix,5.414115788728
30th,2040,EU,DK,dk_w,38DK,networkHeat,heatGrid,districtHeatSpace,expConvFix,1.16524079563
30th,2040,EU,ES,es,01ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.351598479995
30th,2040,EU,ES,es,02ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.436906676373
30th,2040,EU,ES,es,03ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.242511046637
30th,2040,EU,ES,es,04ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,1.997316330204
30th,2040,EU,ES,es,05ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.847086461283
30th,2040,EU,ES,es,06ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,4.596483361048
30th,2040,EU,ES,es,07ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,5.498768623882
30th,2040,EU,ES,es,08ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.391063942258
30th,2040,EU,ES,es,09ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,3.247918071654
30th,2040,EU,ES,es,10ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.857810003648
30th,2040,EU,ES,es,11ES,networkHeat,heatGrid,districtHeatSpace,expConvFix,4.849105237025
30th,2040,EU,FI,fi,74FI,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.0
30th,2040,EU,FI,fi,75FI,networkHeat,heatGrid,districtHeatSpace,expConvFix,7.6786028352
30th,2040,EU,FR,fr,14FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,8.860655338653
30th,2040,EU,FR,fr,15FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.469546895465
30th,2040,EU,FR,fr,16FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,9.038622699027
30th,2040,EU,FR,fr,17FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.433383962653
30th,2040,EU,FR,fr,18FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.477731490833
30th,2040,EU,FR,fr,19FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,6.457298955267
30th,2040,EU,FR,fr,20FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.813639809779
30th,2040,EU,FR,fr,21FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,4.654362223923
30th,2040,EU,FR,fr,22FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.24164016069
30th,2040,EU,FR,fr,23FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,26.884374012073
30th,2040,EU,FR,fr,24FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.30626506273
30th,2040,EU,FR,fr,25FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,1.514766393318
30th,2040,EU,FR,fr,26FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,9.513021212145
30th,2040,EU,FR,fr,27FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.211037234053
30th,2040,EU,FR,fr_co,99FR,networkHeat,heatGrid,districtHeatSpace,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,networkHeat,heatGrid,districtHeatSpace,expConvFix,1.537477687332
30th,2040,EU,GR,gr,69GR,networkHeat,heatGrid,districtHeatSpace,expConvFix,3.500116737244
30th,2040,EU,HR,hr,62HR,networkHeat,heatGrid,districtHeatSpace,expConvFix,2.355234297882
30th,2040,EU,HU,hu,58HU,networkHeat,heatGrid,districtHeatSpace,expConvFix,8.552558333333
30th,2040,EU,IE,ie,96IE,networkHeat,heatGrid,districtHeatSpace,expConvFix,2.867157175876
