timestep_1,region_1,region_2,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,BE,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,BG,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,CZ,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,DE,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,DK,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,EE,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,ES,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,FI,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,FR,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,GR,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,HR,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,HU,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,IE,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,LT,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,LU,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,LV,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,NL,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,PL,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,PT,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,RO,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,SE,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,SI,bioConversion,,biogasPlant,expConvFix,0.0
30th,EU,SK,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,AL,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,BA,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,CH,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,ME,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,MK,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,NO,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,RS,bioConversion,,biogasPlant,expConvFix,0.0
30th,nonEU,UK,bioConversion,,biogasPlant,expConvFix,0.0
