timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,49AT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,AT,at,50AT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,AT,at,51AT,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,BE,be,28BE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,BG,bg,66BG,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,CZ,cz,39CZ,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,CZ,cz,40CZ,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DE,de,31DE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DE,de,32DE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DE,de,33DE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DE,de,34DE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DE,de,35DE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DE,de,36DE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DE,de,37DE,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,DK,dk_e,72DK,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,01ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,02ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,03ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,04ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,05ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,06ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,07ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,08ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,09ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,10ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,ES,es,11ES,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FI,fi,74FI,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FI,fi,75FI,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,14FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,15FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,16FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,17FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,18FR,engine,enginePeak,gasEngine,expConvFix,0.0
30th,EU,FR,fr,19FR,engine,enginePeak,gasEngine,expConvFix,0.0
