region_3,category,timestep_6,value,scenario_1,parameter,technology_3
al,1,h0721,0.3233521445594568,scr2006,avaConv,onshore_a
al,1,h0722,0.3234294286244103,scr2006,avaConv,onshore_a
al,1,h0723,0.3276921411602282,scr2006,avaConv,onshore_a
al,1,h0724,0.3264444108476329,scr2006,avaConv,onshore_a
al,1,h0725,0.31643213660534475,scr2006,avaConv,onshore_a
al,1,h0726,0.30040495315773946,scr2006,avaConv,onshore_a
al,1,h0727,0.2818491314458628,scr2006,avaConv,onshore_a
al,1,h0728,0.26287496450889536,scr2006,avaConv,onshore_a
al,1,h0729,0.24010315491598824,scr2006,avaConv,onshore_a
al,1,h0730,0.2269960396196585,scr2006,avaConv,onshore_a
al,1,h0731,0.2651402173218737,scr2006,avaConv,onshore_a
al,1,h0732,0.33267337042343625,scr2006,avaConv,onshore_a
al,1,h0733,0.40358532978134576,scr2006,avaConv,onshore_a
al,1,h0734,0.45580229389511734,scr2006,avaConv,onshore_a
al,1,h0735,0.49210192134218883,scr2006,avaConv,onshore_a
al,1,h0736,0.4949997065192125,scr2006,avaConv,onshore_a
al,1,h0737,0.48753795723472554,scr2006,avaConv,onshore_a
al,1,h0738,0.4843363041271234,scr2006,avaConv,onshore_a
al,1,h0739,0.5049291349297905,scr2006,avaConv,onshore_a
al,1,h0740,0.5560983532176669,scr2006,avaConv,onshore_a
al,1,h0741,0.6183641587294945,scr2006,avaConv,onshore_a
al,1,h0742,0.6764518144684228,scr2006,avaConv,onshore_a
al,1,h0743,0.7068423493556908,scr2006,avaConv,onshore_a
al,1,h0744,0.7242026557732943,scr2006,avaConv,onshore_a
al,1,h0745,0.7418994326203195,scr2006,avaConv,onshore_a
al,1,h0746,0.7614192355096373,scr2006,avaConv,onshore_a
al,1,h0747,0.7791359325644003,scr2006,avaConv,onshore_a
al,1,h0748,0.8055013062734583,scr2006,avaConv,onshore_a
al,1,h0749,0.8391760719075851,scr2006,avaConv,onshore_a
al,1,h0750,0.8691570741427621,scr2006,avaConv,onshore_a
al,1,h0751,0.8913970517276004,scr2006,avaConv,onshore_a
al,1,h0752,0.904980614385823,scr2006,avaConv,onshore_a
al,1,h0753,0.9090432804141212,scr2006,avaConv,onshore_a
al,1,h0754,0.90770210866678,scr2006,avaConv,onshore_a
al,1,h0755,0.8990761336686608,scr2006,avaConv,onshore_a
al,1,h0756,0.8883097888136758,scr2006,avaConv,onshore_a
al,1,h0757,0.843012809543155,scr2006,avaConv,onshore_a
al,1,h0758,0.8062384467514161,scr2006,avaConv,onshore_a
al,1,h0759,0.768371613989185,scr2006,avaConv,onshore_a
al,1,h0760,0.7406349440665597,scr2006,avaConv,onshore_a
al,1,h0761,0.6823634797026916,scr2006,avaConv,onshore_a
al,1,h0762,0.5944812038390634,scr2006,avaConv,onshore_a
al,1,h0763,0.5091374411302818,scr2006,avaConv,onshore_a
al,1,h0764,0.42225858595188054,scr2006,avaConv,onshore_a
al,1,h0765,0.36166631069641686,scr2006,avaConv,onshore_a
al,1,h0766,0.3160053242111233,scr2006,avaConv,onshore_a
al,1,h0767,0.3190316213127782,scr2006,avaConv,onshore_a
al,1,h0768,0.3545651358899291,scr2006,avaConv,onshore_a
al,1,h0769,0.3852836763147675,scr2006,avaConv,onshore_a
al,1,h0770,0.3676489545191135,scr2006,avaConv,onshore_a
al,1,h0771,0.31724040235963064,scr2006,avaConv,onshore_a
al,1,h0772,0.26132969689013374,scr2006,avaConv,onshore_a
al,1,h0773,0.2541662031011834,scr2006,avaConv,onshore_a
al,1,h0774,0.3041968673361714,scr2006,avaConv,onshore_a
al,1,h0775,0.3699470099724586,scr2006,avaConv,onshore_a
al,1,h0776,0.41277327540925596,scr2006,avaConv,onshore_a
al,1,h0777,0.41644049035711495,scr2006,avaConv,onshore_a
al,1,h0778,0.4235242306774978,scr2006,avaConv,onshore_a
al,1,h0779,0.4344240278111519,scr2006,avaConv,onshore_a
al,1,h0780,0.5296803355040962,scr2006,avaConv,onshore_a
al,1,h0781,0.6406037624952057,scr2006,avaConv,onshore_a
al,1,h0782,0.7453813874579329,scr2006,avaConv,onshore_a
al,1,h0783,0.7832163338843003,scr2006,avaConv,onshore_a
al,1,h0784,0.7753178535033494,scr2006,avaConv,onshore_a
al,1,h0785,0.7403745723081696,scr2006,avaConv,onshore_a
al,1,h0786,0.6835219855006424,scr2006,avaConv,onshore_a
al,1,h0787,0.604272570155013,scr2006,avaConv,onshore_a
al,1,h0788,0.5124620325521706,scr2006,avaConv,onshore_a
al,1,h0789,0.435196305572189,scr2006,avaConv,onshore_a
al,1,h0790,0.3855813535151831,scr2006,avaConv,onshore_a
al,1,h0791,0.3598757567881161,scr2006,avaConv,onshore_a
al,1,h0792,0.3447915481933924,scr2006,avaConv,onshore_a
al,1,h0793,0.32893858976731444,scr2006,avaConv,onshore_a
al,1,h0794,0.31251146204991337,scr2006,avaConv,onshore_a
al,1,h0795,0.3014224022111345,scr2006,avaConv,onshore_a
al,1,h0796,0.2958410317934569,scr2006,avaConv,onshore_a
al,1,h0797,0.29024627534216013,scr2006,avaConv,onshore_a
al,1,h0798,0.2883231171179448,scr2006,avaConv,onshore_a
