timestep_2,region_2,region_4,technology_3,parameter,value
all,ES,01ES,offshore_a,capaConvUp,4.140065053
all,ES,02ES,offshore_a,capaConvUp,4.140065053
all,ES,03ES,offshore_a,capaConvFix,0
all,ES,04ES,offshore_a,capaConvUp,4.140065053
all,ES,05ES,offshore_a,capaConvFix,0
all,ES,06ES,offshore_a,capaConvUp,2.070032526
all,ES,07ES,offshore_a,capaConvFix,0
all,ES,08ES,offshore_a,capaConvFix,0
all,ES,09ES,offshore_a,capaConvUp,2.070032526
all,ES,10ES,offshore_a,capaConvUp,2.070032526
all,ES,11ES,offshore_a,capaConvUp,4.140065053
all,PT,12PT,offshore_a,capaConvUp,2.968745989
all,PT,13PT,offshore_a,capaConvUp,2.968745989
all,FR,14FR,offshore_a,capaConvUp,14.74624173
all,FR,15FR,offshore_a,capaConvUp,3.686560432
all,FR,16FR,offshore_a,capaConvUp,3.686560432
all,FR,17FR,offshore_a,capaConvUp,14.74624173
all,FR,18FR,offshore_a,capaConvFix,0
all,FR,19FR,offshore_a,capaConvFix,0
all,FR,20FR,offshore_a,capaConvFix,0
all,FR,21FR,offshore_a,capaConvUp,14.74624173
all,FR,22FR,offshore_a,capaConvUp,14.74624173
all,FR,23FR,offshore_a,capaConvFix,0
all,FR,24FR,offshore_a,capaConvFix,0
all,FR,25FR,offshore_a,capaConvFix,0
all,FR,26FR,offshore_a,capaConvUp,14.74624173
all,FR,27FR,offshore_a,capaConvFix,0
all,BE,28BE,offshore_a,capaConvUp,5.9
all,LU,29LU,offshore_a,capaConvFix,0
all,NL,30NL,offshore_a,capaConvUp,9.3
all,DE,31DE,offshore_a,capaConvFix,0
all,DE,32DE,offshore_a,capaConvUp,83.54078621
all,DE,33DE,offshore_a,capaConvFix,0
all,DE,34DE,offshore_a,capaConvFix,0
all,DE,35DE,offshore_a,capaConvFix,0
all,DE,36DE,offshore_a,capaConvFix,0
all,DE,37DE,offshore_a,capaConvFix,0
all,DK,38DK,offshore_a,capaConvFix,0
all,CZ,39CZ,offshore_a,capaConvFix,0
all,CZ,40CZ,offshore_a,capaConvFix,0
all,PL,41PL,offshore_a,capaConvUp,5.852922522
all,PL,42PL,offshore_a,capaConvFix,0
all,PL,43PL,offshore_a,capaConvFix,0
all,PL,44PL,offshore_a,capaConvUp,5.852922522
all,PL,45PL,offshore_a,capaConvUp,23.41169009
all,SK,46SK,offshore_a,capaConvFix,0
all,CH,47CH,offshore_a,capaConvFix,0
all,CH,48CH,offshore_a,capaConvFix,0
all,AT,49AT,offshore_a,capaConvFix,0
all,AT,50AT,offshore_a,capaConvFix,0
all,AT,51AT,offshore_a,capaConvFix,0
all,IT,52IT,offshore_a,capaConvUp,7.795862529
all,IT,53IT,offshore_a,capaConvUp,7.795862529
all,IT,54IT,offshore_a,capaConvUp,7.795862529
all,IT,55IT,offshore_a,capaConvUp,7.795862529
all,IT,56IT,offshore_a,capaConvUp,7.795862529
all,SI,57SI,offshore_a,capaConvFix,0
all,HU,58HU,offshore_a,capaConvFix,0
all,RO,59RO,offshore_a,capaConvFix,0
all,RO,60RO,offshore_a,capaConvFix,0
all,RO,61RO,offshore_a,capaConvUp,8.86513937
all,HR,62HR,offshore_a,capaConvUp,15.11102918
all,BA,63BA,offshore_a,capaConvFix,0
all,ME,64ME,offshore_a,capaConvFix,0
all,RS,65RS,offshore_a,capaConvFix,0
all,BG,66BG,offshore_a,capaConvUp,4.062750821
all,MK,67MK,offshore_a,capaConvFix,0
all,GR,68GR,offshore_a,capaConvUp,3.802238363
all,GR,69GR,offshore_a,capaConvUp,6.844029054
all,AL,70AL,offshore_a,capaConvUp,0.157847693
all,DK,72DK,offshore_a,capaConvUp,136.319424
all,EE,73EE,offshore_a,capaConvUp,32.22739807
all,FI,74FI,offshore_a,capaConvUp,49.75185822
all,FI,75FI,offshore_a,capaConvUp,49.75185822
all,LT,77LT,offshore_a,capaConvUp,5.786749982
all,LV,78LV,offshore_a,capaConvUp,28.70660465
all,NO,79NO,offshore_a,capaConvFix,0
all,NO,80NO,offshore_a,capaConvUp,18.63502552
all,NO,81NO,offshore_a,capaConvFix,0
all,NO,82NO,offshore_a,capaConvUp,18.63502552
all,NO,83NO,offshore_a,capaConvUp,18.63502552
all,NO,84NO,offshore_a,capaConvUp,18.63502552
all,NO,85NO,offshore_a,capaConvUp,18.63502552
all,SE,86SE,offshore_a,capaConvUp,30.3688041
all,SE,87SE,offshore_a,capaConvUp,30.3688041
all,SE,88SE,offshore_a,capaConvUp,30.3688041
all,SE,89SE,offshore_a,capaConvFix,0
all,UK,90UK,offshore_a,capaConvFix,0
all,UK,91UK,offshore_a,capaConvUp,13.11511105
all,UK,92UK,offshore_a,capaConvUp,13.11511105
all,UK,93UK,offshore_a,capaConvFix,0
all,UK,94UK,offshore_a,capaConvFix,0
all,UK,95UK,offshore_a,capaConvUp,13.11511105
all,IE,96IE,offshore_a,capaConvUp,19.31605421
all,IT,98IT,offshore_a,capaConvUp,7.795862529
all,FR,99FR,offshore_a,capaConvUp,3.686560432
all,ES,01ES,offshore_b,capaConvUp,5.859934947
all,ES,02ES,offshore_b,capaConvUp,5.859934947
all,ES,03ES,offshore_b,capaConvFix,0
all,ES,04ES,offshore_b,capaConvUp,5.859934947
all,ES,05ES,offshore_b,capaConvFix,0
all,ES,06ES,offshore_b,capaConvUp,2.929967474
all,ES,07ES,offshore_b,capaConvFix,0
all,ES,08ES,offshore_b,capaConvFix,0
all,ES,09ES,offshore_b,capaConvUp,2.929967474
all,ES,10ES,offshore_b,capaConvUp,2.929967474
all,ES,11ES,offshore_b,capaConvUp,5.859934947
all,PT,12PT,offshore_b,capaConvUp,5.381254011
all,PT,13PT,offshore_b,capaConvUp,5.381254011
all,FR,14FR,offshore_b,capaConvUp,8.505932186
all,FR,15FR,offshore_b,capaConvUp,2.126483047
all,FR,16FR,offshore_b,capaConvUp,2.126483047
all,FR,17FR,offshore_b,capaConvUp,8.505932186
all,FR,18FR,offshore_b,capaConvFix,0
all,FR,19FR,offshore_b,capaConvFix,0
all,FR,20FR,offshore_b,capaConvFix,0
all,FR,21FR,offshore_b,capaConvUp,8.505932186
all,FR,22FR,offshore_b,capaConvUp,8.505932186
all,FR,23FR,offshore_b,capaConvFix,0
all,FR,24FR,offshore_b,capaConvFix,0
all,FR,25FR,offshore_b,capaConvFix,0
all,FR,26FR,offshore_b,capaConvUp,8.505932186
all,FR,27FR,offshore_b,capaConvFix,0
all,BE,28BE,offshore_b,capaConvUp,5.9
all,LU,29LU,offshore_b,capaConvFix,0
all,NL,30NL,offshore_b,capaConvUp,64.7
all,DE,31DE,offshore_b,capaConvFix,0
all,DE,32DE,offshore_b,capaConvUp,0.059213788
all,DE,33DE,offshore_b,capaConvFix,0
all,DE,34DE,offshore_b,capaConvFix,0
all,DE,35DE,offshore_b,capaConvFix,0
all,DE,36DE,offshore_b,capaConvFix,0
all,DE,37DE,offshore_b,capaConvFix,0
all,DK,38DK,offshore_b,capaConvFix,0
all,CZ,39CZ,offshore_b,capaConvFix,0
all,CZ,40CZ,offshore_b,capaConvFix,0
all,PL,41PL,offshore_b,capaConvUp,0.930410812
all,PL,42PL,offshore_b,capaConvFix,0
all,PL,43PL,offshore_b,capaConvFix,0
all,PL,44PL,offshore_b,capaConvUp,0.930410812
all,PL,45PL,offshore_b,capaConvUp,3.721643246
all,SK,46SK,offshore_b,capaConvFix,0
all,CH,47CH,offshore_b,capaConvFix,0
all,CH,48CH,offshore_b,capaConvFix,0
all,AT,49AT,offshore_b,capaConvFix,0
all,AT,50AT,offshore_b,capaConvFix,0
all,AT,51AT,offshore_b,capaConvFix,0
all,IT,52IT,offshore_b,capaConvUp,5.154137471
