technology_1,technology_2,technology_3,timestep_2,parameter_1,value_1,parameter_2,value_2,source
wind,offshore,offshore_a,2025,costExpConv,1704.313275,costOprConv,35.15146129,see techData -> powerAndDhData
wind,offshore,offshore_a,2030,costExpConv,1660.612934,costOprConv,34.25014177,
wind,offshore,offshore_a,2035,costExpConv,1619.097611,costOprConv,33.39388822,
wind,offshore,offshore_a,2040,costExpConv,1577.582287,costOprConv,32.53763468,
wind,offshore,offshore_a,2045,costExpConv,1639.855273,costOprConv,33.822015,
wind,offshore,offshore_a,2050,costExpConv,1598.339949,costOprConv,32.96576145,
wind,offshore,offshore_b,2025,costExpConv,2031.499054,costOprConv,38.05571307,
wind,offshore,offshore_b,2030,costExpConv,1934.588472,costOprConv,36.05278081,
wind,offshore,offshore_b,2035,costExpConv,1855.92786,costOprConv,34.25014177,
wind,offshore,offshore_b,2040,costExpConv,1777.267247,costOprConv,32.44750273,
wind,offshore,offshore_b,2045,costExpConv,1895.258166,costOprConv,35.15146129,
wind,offshore,offshore_b,2050,costExpConv,1816.597553,costOprConv,33.34882225,
wind,onshore,,2025,costExpConv,1077.168125,costOprConv,13.3,
wind,onshore,,2030,costExpConv,1035.56125,costOprConv,12.6,
wind,onshore,,2035,costExpConv,999.31375,costOprConv,11.97,
wind,onshore,,2040,costExpConv,963.06625,costOprConv,11.34,
wind,onshore,,2045,costExpConv,1017.4375,costOprConv,12.285,
wind,onshore,,2050,costExpConv,981.19,costOprConv,11.655,
wind,,,,lifeConv,30,,,
