region_1,technology_3,parameter,value
AT,openspace,capaConvUp,47.31
CH,openspace,capaConvUp,30.47
DE,openspace,capaConvUp,301.4
FR,openspace,capaConvUp,372.6
IT,openspace,capaConvUp,229.83
