region_1,technology_3,parameter,value
AT,runOfRiver,capaConvResi,6.14009986
CH,runOfRiver,capaConvResi,4.198
DE,runOfRiver,capaConvResi,4.7318
FR,runOfRiver,capaConvResi,13.6
IT,runOfRiver,capaConvResi,6.24613
