scenario,timestep_3,region_2,carrier_1,carrier_2,parameter,value
all,all,AL,otherBiomass,solidBiomass,trdBuyUp,313.269511
all,all,AT,otherBiomass,solidBiomass,trdBuyUp,3284.867985
all,all,BA,otherBiomass,solidBiomass,trdBuyUp,532.7696313
all,all,BE,otherBiomass,solidBiomass,trdBuyUp,2741.615398
all,all,BG,otherBiomass,solidBiomass,trdBuyUp,1669.731311
all,all,CH,otherBiomass,solidBiomass,trdBuyUp,2326.804398
all,all,CZ,otherBiomass,solidBiomass,trdBuyUp,2710.58476
all,all,DE,otherBiomass,solidBiomass,trdBuyUp,16359.45156
all,all,DK,otherBiomass,solidBiomass,trdBuyUp,1706.16998
all,all,EE,otherBiomass,solidBiomass,trdBuyUp,915.9576786
all,all,ES,otherBiomass,solidBiomass,trdBuyUp,6154.922436
all,all,FI,otherBiomass,solidBiomass,trdBuyUp,5357.462422
all,all,FR,otherBiomass,solidBiomass,trdBuyUp,12763.71979
all,all,GR,otherBiomass,solidBiomass,trdBuyUp,947.0875818
all,all,HR,otherBiomass,solidBiomass,trdBuyUp,603.3129799
all,all,HU,otherBiomass,solidBiomass,trdBuyUp,2739.640035
all,all,IE,otherBiomass,solidBiomass,trdBuyUp,609.2357203
all,all,IT,otherBiomass,solidBiomass,trdBuyUp,5848.615253
all,all,LT,otherBiomass,solidBiomass,trdBuyUp,1320.512793
all,all,LU,otherBiomass,solidBiomass,trdBuyUp,75.79072745
all,all,LV,otherBiomass,solidBiomass,trdBuyUp,1838.32305
all,all,ME,otherBiomass,solidBiomass,trdBuyUp,597.4865159
all,all,MK,otherBiomass,solidBiomass,trdBuyUp,347.2509397
all,all,NL,otherBiomass,solidBiomass,trdBuyUp,1967.069578
all,all,NO,otherBiomass,solidBiomass,trdBuyUp,3346.731102
all,all,PL,otherBiomass,solidBiomass,trdBuyUp,7487.058991
all,all,PT,otherBiomass,solidBiomass,trdBuyUp,2141.191749
all,all,RO,otherBiomass,solidBiomass,trdBuyUp,5858.448267
all,all,RS,otherBiomass,solidBiomass,trdBuyUp,2069.841414
all,all,SE,otherBiomass,solidBiomass,trdBuyUp,8674.254876
all,all,SI,otherBiomass,solidBiomass,trdBuyUp,895.3847293
all,all,SK,otherBiomass,solidBiomass,trdBuyUp,1396.115644
all,all,UK,otherBiomass,solidBiomass,trdBuyUp,3098.540667
all,all,AL,otherBiomass,nonSolidBiomass,trdBuyUp,41.92397892
all,all,AT,otherBiomass,nonSolidBiomass,trdBuyUp,110.1595134
all,all,BA,otherBiomass,nonSolidBiomass,trdBuyUp,37.36310206
all,all,BE,otherBiomass,nonSolidBiomass,trdBuyUp,895.2338654
all,all,BG,otherBiomass,nonSolidBiomass,trdBuyUp,131.2418889
all,all,CH,otherBiomass,nonSolidBiomass,trdBuyUp,103.1970946
all,all,CZ,otherBiomass,nonSolidBiomass,trdBuyUp,975.6642845
all,all,DE,otherBiomass,nonSolidBiomass,trdBuyUp,2444.830665
all,all,DK,otherBiomass,nonSolidBiomass,trdBuyUp,1001.776535
all,all,EE,otherBiomass,nonSolidBiomass,trdBuyUp,192.6556777
all,all,ES,otherBiomass,nonSolidBiomass,trdBuyUp,2538.890629
all,all,FI,otherBiomass,nonSolidBiomass,trdBuyUp,92.76540975
all,all,FR,otherBiomass,nonSolidBiomass,trdBuyUp,5981.437581
all,all,GR,otherBiomass,nonSolidBiomass,trdBuyUp,177.2001954
all,all,HR,otherBiomass,nonSolidBiomass,trdBuyUp,75.27602931
all,all,HU,otherBiomass,nonSolidBiomass,trdBuyUp,1473.863783
all,all,IE,otherBiomass,nonSolidBiomass,trdBuyUp,424.7851999
all,all,IT,otherBiomass,nonSolidBiomass,trdBuyUp,2675.530395
all,all,LT,otherBiomass,nonSolidBiomass,trdBuyUp,390.9844689
all,all,LU,otherBiomass,nonSolidBiomass,trdBuyUp,35.22958776
all,all,LV,otherBiomass,nonSolidBiomass,trdBuyUp,196.2102813
all,all,ME,otherBiomass,nonSolidBiomass,trdBuyUp,5.76942608
all,all,MK,otherBiomass,nonSolidBiomass,trdBuyUp,18.20462379
all,all,NL,otherBiomass,nonSolidBiomass,trdBuyUp,1130.131972
all,all,NO,otherBiomass,nonSolidBiomass,trdBuyUp,113.4386388
all,all,PL,otherBiomass,nonSolidBiomass,trdBuyUp,2184.35734
all,all,PT,otherBiomass,nonSolidBiomass,trdBuyUp,546.3337838
all,all,RO,otherBiomass,nonSolidBiomass,trdBuyUp,488.8272995
all,all,RS,otherBiomass,nonSolidBiomass,trdBuyUp,242.0488696
all,all,SE,otherBiomass,nonSolidBiomass,trdBuyUp,405.5602574
all,all,SI,otherBiomass,nonSolidBiomass,trdBuyUp,34.41795952
all,all,SK,otherBiomass,nonSolidBiomass,trdBuyUp,287.1523284
all,all,UK,otherBiomass,nonSolidBiomass,trdBuyUp,3745.595201
,,,otherBiomass,solidBiomass,trdBuyPrc,0
,,,otherBiomass,nonSolidBiomass,trdBuyPrc,0
