region_3,technology_3,parameter_1,value_1,parameter_2,value_2
01ES,pumpedStorage,capaStInResi,2.461,capaStSizeResi,487.431964
02ES,pumpedStorage,capaStInResi,2.724,capaStSizeResi,539.5224177
03ES,pumpedStorage,capaStInResi,0.308,capaStSizeResi,61.00326897
04ES,pumpedStorage,capaStInResi,0.184,capaStSizeResi,36.44351133
05ES,pumpedStorage,capaStInResi,0.554,capaStSizeResi,109.7266591
06ES,pumpedStorage,capaStInResi,1.45,capaStSizeResi,287.1907143
07ES,pumpedStorage,capaStInResi,0.134,capaStSizeResi,26.54038325
08ES,pumpedStorage,capaStInResi,0.482,capaStSizeResi,95.46615468
09ES,pumpedStorage,capaStInResi,0.507,capaStSizeResi,100.4177187
10ES,pumpedStorage,capaStInResi,0.382,capaStSizeResi,75.65989852
11ES,pumpedStorage,capaStInResi,0.964,capaStSizeResi,190.9323094
12PT,pumpedStorage,capaStInResi,3.416,capaStSizeResi,1506.690643
13PT,pumpedStorage,capaStInResi,0.704,capaStSizeResi,310.5123573
14FR,pumpedStorage,capaStInResi,0.483,capaStSizeResi,32.15652209
15FR,pumpedStorage,capaStInResi,1.094,capaStSizeResi,72.83485543
16FR,pumpedStorage,capaStInResi,0.525,capaStSizeResi,34.95274141
18FR,pumpedStorage,capaStInResi,0.093,capaStSizeResi,6.191628478
19FR,pumpedStorage,capaStInResi,1.076,capaStSizeResi,71.63647572
20FR,pumpedStorage,capaStInResi,1.952,capaStSizeResi,129.9576214
21FR,pumpedStorage,capaStInResi,0.05,capaStSizeResi,3.328832515
27FR,pumpedStorage,capaStInResi,0.226,capaStSizeResi,15.04632297
28BE,pumpedStorage,capaStInResi,1.908,capaStSizeResi,8.752
29LU,pumpedStorage,capaStInResi,1.026,capaStSizeResi,6.879
30NL,pumpedStorage,capaStInResi,2.5,capaStSizeResi,25
31DE,pumpedStorage,capaStInResi,0.654,capaStSizeResi,5.089759469
33DE,pumpedStorage,capaStInResi,0.925,capaStSizeResi,7.198818821
34DE,pumpedStorage,capaStInResi,3.555,capaStSizeResi,27.66681179
35DE,pumpedStorage,capaStInResi,0.87,capaStSizeResi,6.770780945
36DE,pumpedStorage,capaStInResi,3.465,capaStSizeResi,26.96638618
37DE,pumpedStorage,capaStInResi,0.761,capaStSizeResi,5.9224877
39CZ,pumpedStorage,capaStInResi,0.786,capaStSizeResi,4.869081223
40CZ,pumpedStorage,capaStInResi,0.359,capaStSizeResi,2.223918777
43PL,pumpedStorage,capaStInResi,0.877,capaStSizeResi,23.41612958
45PL,pumpedStorage,capaStInResi,1.415,capaStSizeResi,37.78087042
46SK,pumpedStorage,capaStInResi,1.486,capaStSizeResi,145.536
47CH,pumpedStorage,capaStInResi,0.809,capaStSizeResi,96.61026971
48CH,pumpedStorage,capaStInResi,5.913,capaStSizeResi,706.1267303
49AT,pumpedStorage,capaStInResi,4.332,capaStSizeResi,1041.403215
50AT,pumpedStorage,capaStInResi,1.114,capaStSizeResi,267.8031351
51AT,pumpedStorage,capaStInResi,0.61,capaStSizeResi,146.6426503
52IT,pumpedStorage,capaStInResi,4.017,capaStSizeResi,24.9613338
53IT,pumpedStorage,capaStInResi,0.364,capaStSizeResi,2.261868435
54IT,pumpedStorage,capaStInResi,0.749,capaStSizeResi,4.654229279
55IT,pumpedStorage,capaStInResi,0.263,capaStSizeResi,1.634262083
56IT,pumpedStorage,capaStInResi,0.251,capaStSizeResi,1.559694992
57SI,pumpedStorage,capaStInResi,0.6,capaStSizeResi,3
59RO,pumpedStorage,capaStInResi,0.439,capaStSizeResi,5.430927835
60RO,pumpedStorage,capaStInResi,0.406,capaStSizeResi,5.022680412
61RO,pumpedStorage,capaStInResi,0.125,capaStSizeResi,1.546391753
62HR,pumpedStorage,capaStInResi,0.9,capaStSizeResi,49.147
63BA,pumpedStorage,capaStInResi,0.44,capaStSizeResi,3
65RS,pumpedStorage,capaStInResi,0.614,capaStSizeResi,413.182
66BG,pumpedStorage,capaStInResi,0.933,capaStSizeResi,11.949
67MK,pumpedStorage,capaStInResi,0.347,capaStSizeResi,3.47
68GR,pumpedStorage,capaStInResi,1.629,capaStSizeResi,26.943
74FI,pumpedStorage,capaStInResi,0.075,capaStSizeResi,0.75
75FI,pumpedStorage,capaStInResi,0.125,capaStSizeResi,1.25
77LT,pumpedStorage,capaStInResi,1.125,capaStSizeResi,61.726
79NO,pumpedStorage,capaStInResi,0.272,capaStSizeResi,2.065637343
80NO,pumpedStorage,capaStInResi,0.185,capaStSizeResi,1.404937163
81NO,pumpedStorage,capaStInResi,0.279,capaStSizeResi,2.118797127
82NO,pumpedStorage,capaStInResi,0.132,capaStSizeResi,1.002441652
83NO,pumpedStorage,capaStInResi,0.084,capaStSizeResi,0.637917415
84NO,pumpedStorage,capaStInResi,0.151,capaStSizeResi,1.146732496
90UK,pumpedStorage,capaStInResi,0.037,capaStSizeResi,0.374936599
92UK,pumpedStorage,capaStInResi,3.645,capaStSizeResi,36.93632171
93UK,pumpedStorage,capaStInResi,0.206,capaStSizeResi,2.087484848
94UK,pumpedStorage,capaStInResi,2.909,capaStSizeResi,29.47812342
96IE,pumpedStorage,capaStInResi,0.592,capaStSizeResi,5.891
98IT,pumpedStorage,capaStInResi,0.087,capaStSizeResi,0.540611412
