timestep_5,region_3,technology_2,parameter,value
h0011,03ES,rooftopInd_b,avaConv,0.64226895
h0012,03ES,rooftopInd_b,avaConv,0.74605602
h0013,03ES,rooftopInd_b,avaConv,0.76999739
h0014,03ES,rooftopInd_b,avaConv,0.71502796
h0015,03ES,rooftopInd_b,avaConv,0.58660294
h0016,03ES,rooftopInd_b,avaConv,0.41845532
h0017,03ES,rooftopInd_b,avaConv,0.23996342
h0018,03ES,rooftopInd_b,avaConv,0.09232751
h0019,03ES,rooftopInd_b,avaConv,0.01623937
h0020,03ES,rooftopInd_b,avaConv,0.00263986
h0021,03ES,rooftopInd_b,avaConv,0
h0022,03ES,rooftopInd_b,avaConv,0
h0023,03ES,rooftopInd_b,avaConv,0
h0024,03ES,rooftopInd_b,avaConv,0
h0025,03ES,rooftopInd_b,avaConv,0
h0026,03ES,rooftopInd_b,avaConv,0
h0027,03ES,rooftopInd_b,avaConv,0
h0028,03ES,rooftopInd_b,avaConv,0
h0029,03ES,rooftopInd_b,avaConv,0
h0030,03ES,rooftopInd_b,avaConv,0
h0031,03ES,rooftopInd_b,avaConv,0
h0032,03ES,rooftopInd_b,avaConv,0.01455986
h0033,03ES,rooftopInd_b,avaConv,0.09252299
h0034,03ES,rooftopInd_b,avaConv,0.21448873
h0035,03ES,rooftopInd_b,avaConv,0.3439091
h0036,03ES,rooftopInd_b,avaConv,0.44590371
h0037,03ES,rooftopInd_b,avaConv,0.48983919
h0038,03ES,rooftopInd_b,avaConv,0.45924321
h0039,03ES,rooftopInd_b,avaConv,0.36246687
h0040,03ES,rooftopInd_b,avaConv,0.22343682
h0041,03ES,rooftopInd_b,avaConv,0.07900443
h0042,03ES,rooftopInd_b,avaConv,0.01059279
h0043,03ES,rooftopInd_b,avaConv,0
h0044,03ES,rooftopInd_b,avaConv,0
h0045,03ES,rooftopInd_b,avaConv,0
h0046,03ES,rooftopInd_b,avaConv,0
h0047,03ES,rooftopInd_b,avaConv,0
h0048,03ES,rooftopInd_b,avaConv,0
h0001,04ES,rooftopInd_b,avaConv,0
h0002,04ES,rooftopInd_b,avaConv,0
h0003,04ES,rooftopInd_b,avaConv,0
h0004,04ES,rooftopInd_b,avaConv,0
h0005,04ES,rooftopInd_b,avaConv,0
h0006,04ES,rooftopInd_b,avaConv,0.0104491
h0007,04ES,rooftopInd_b,avaConv,0.06253232
h0008,04ES,rooftopInd_b,avaConv,0.196095
h0009,04ES,rooftopInd_b,avaConv,0.36836951
h0010,04ES,rooftopInd_b,avaConv,0.53827087
h0011,04ES,rooftopInd_b,avaConv,0.66940339
h0012,04ES,rooftopInd_b,avaConv,0.74476717
h0013,04ES,rooftopInd_b,avaConv,0.75594713
h0014,04ES,rooftopInd_b,avaConv,0.69933464
h0015,04ES,rooftopInd_b,avaConv,0.5810929
h0016,04ES,rooftopInd_b,avaConv,0.42157606
h0017,04ES,rooftopInd_b,avaConv,0.24733625
h0018,04ES,rooftopInd_b,avaConv,0.0988505
h0019,04ES,rooftopInd_b,avaConv,0.01801636
h0020,04ES,rooftopInd_b,avaConv,0.00153492
h0021,04ES,rooftopInd_b,avaConv,0
h0022,04ES,rooftopInd_b,avaConv,0
h0023,04ES,rooftopInd_b,avaConv,0
h0024,04ES,rooftopInd_b,avaConv,0
h0025,04ES,rooftopInd_b,avaConv,0
h0026,04ES,rooftopInd_b,avaConv,0
h0027,04ES,rooftopInd_b,avaConv,0
h0028,04ES,rooftopInd_b,avaConv,0
h0029,04ES,rooftopInd_b,avaConv,0
h0030,04ES,rooftopInd_b,avaConv,0
h0031,04ES,rooftopInd_b,avaConv,0.00022922
h0032,04ES,rooftopInd_b,avaConv,0.0322573
h0033,04ES,rooftopInd_b,avaConv,0.15762506
h0034,04ES,rooftopInd_b,avaConv,0.30464186
h0035,04ES,rooftopInd_b,avaConv,0.43141194
h0036,04ES,rooftopInd_b,avaConv,0.5124125
h0037,04ES,rooftopInd_b,avaConv,0.52655237
h0038,04ES,rooftopInd_b,avaConv,0.47866717
h0039,04ES,rooftopInd_b,avaConv,0.36910872
h0040,04ES,rooftopInd_b,avaConv,0.21621073
h0041,04ES,rooftopInd_b,avaConv,0.06980513
h0042,04ES,rooftopInd_b,avaConv,0.00844805
h0043,04ES,rooftopInd_b,avaConv,0
h0044,04ES,rooftopInd_b,avaConv,0
h0045,04ES,rooftopInd_b,avaConv,0
h0046,04ES,rooftopInd_b,avaConv,0
h0047,04ES,rooftopInd_b,avaConv,0
h0048,04ES,rooftopInd_b,avaConv,0
h0001,05ES,rooftopInd_b,avaConv,0
h0002,05ES,rooftopInd_b,avaConv,0
h0003,05ES,rooftopInd_b,avaConv,0
h0004,05ES,rooftopInd_b,avaConv,0
h0005,05ES,rooftopInd_b,avaConv,0
h0006,05ES,rooftopInd_b,avaConv,0.0175538
h0007,05ES,rooftopInd_b,avaConv,0.10150113
h0008,05ES,rooftopInd_b,avaConv,0.27024933
h0009,05ES,rooftopInd_b,avaConv,0.44990383
h0010,05ES,rooftopInd_b,avaConv,0.61032991
h0011,05ES,rooftopInd_b,avaConv,0.7269151
h0012,05ES,rooftopInd_b,avaConv,0.78819119
h0013,05ES,rooftopInd_b,avaConv,0.7930075
h0014,05ES,rooftopInd_b,avaConv,0.73667611
h0015,05ES,rooftopInd_b,avaConv,0.62635568
h0016,05ES,rooftopInd_b,avaConv,0.47265048
h0017,05ES,rooftopInd_b,avaConv,0.29165286
h0018,05ES,rooftopInd_b,avaConv,0.12263496
h0019,05ES,rooftopInd_b,avaConv,0.02366193
h0020,05ES,rooftopInd_b,avaConv,0
h0021,05ES,rooftopInd_b,avaConv,0
h0022,05ES,rooftopInd_b,avaConv,0
