timestep_6,region_1,technology_1,scenario_1,parameter,value
h0029,BA,solar,scr2083,avaConv,0.0
h0030,BA,solar,scr2083,avaConv,0.011619515824805318
h0031,BA,solar,scr2083,avaConv,0.06759558215259776
h0032,BA,solar,scr2083,avaConv,0.20894900020969606
h0033,BA,solar,scr2083,avaConv,0.3874335586532782
h0034,BA,solar,scr2083,avaConv,0.5625597918578641
h0035,BA,solar,scr2083,avaConv,0.7297675217825744
h0036,BA,solar,scr2083,avaConv,0.8213916360774131
h0037,BA,solar,scr2083,avaConv,0.6686477056993047
h0038,BA,solar,scr2083,avaConv,0.5610555723749917
h0039,BA,solar,scr2083,avaConv,0.3291292336417872
h0040,BA,solar,scr2083,avaConv,0.22128427400484862
h0041,BA,solar,scr2083,avaConv,0.04885001492503407
h0042,BA,solar,scr2083,avaConv,0.008733063699261669
h0043,BA,solar,scr2083,avaConv,0.00013825814539458956
h0044,BA,solar,scr2083,avaConv,0.00010372243274404948
h0045,BA,solar,scr2083,avaConv,0.0
h0046,BA,solar,scr2083,avaConv,0.0
h0047,BA,solar,scr2083,avaConv,0.0
h0048,BA,solar,scr2083,avaConv,0.0
h0049,BA,solar,scr2083,avaConv,0.0
h0050,BA,solar,scr2083,avaConv,0.0
h0051,BA,solar,scr2083,avaConv,0.0
h0052,BA,solar,scr2083,avaConv,0.0
h0053,BA,solar,scr2083,avaConv,0.009902487843387028
h0054,BA,solar,scr2083,avaConv,0.05296068899352626
h0055,BA,solar,scr2083,avaConv,0.1241653249629807
h0056,BA,solar,scr2083,avaConv,0.2632754825218917
h0057,BA,solar,scr2083,avaConv,0.3773788696931758
h0058,BA,solar,scr2083,avaConv,0.3670991962979764
h0059,BA,solar,scr2083,avaConv,0.4571944063705451
h0060,BA,solar,scr2083,avaConv,0.3661337366800843
h0061,BA,solar,scr2083,avaConv,0.5221279198522449
h0062,BA,solar,scr2083,avaConv,0.39872490299328844
h0063,BA,solar,scr2083,avaConv,0.4235740712861676
h0064,BA,solar,scr2083,avaConv,0.24029270043735496
h0065,BA,solar,scr2083,avaConv,0.09720078487596001
