timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0020,AT,electricity,scr2099,dem,18.314352804391945
h0021,AT,electricity,scr2099,dem,19.982797855895136
h0022,AT,electricity,scr2099,dem,19.37758320465253
h0023,AT,electricity,scr2099,dem,23.06024313378384
h0024,AT,electricity,scr2099,dem,22.06182797498123
h0025,AT,electricity,scr2099,dem,20.977048767736715
h0026,AT,electricity,scr2099,dem,14.627045475860186
h0027,AT,electricity,scr2099,dem,9.847418834069991
h0028,AT,electricity,scr2099,dem,8.685425260804003
h0029,AT,electricity,scr2099,dem,10.433381108720809
h0030,AT,electricity,scr2099,dem,12.546932024179966
h0031,AT,electricity,scr2099,dem,15.319575640639417
h0032,AT,electricity,scr2099,dem,11.915374402300714
h0033,AT,electricity,scr2099,dem,12.467163049769102
h0034,AT,electricity,scr2099,dem,9.86033304075
h0035,AT,electricity,scr2099,dem,13.608635527762122
h0036,AT,electricity,scr2099,dem,11.507970328382008
h0037,AT,electricity,scr2099,dem,11.327274016109872
h0038,AT,electricity,scr2099,dem,11.76794474849893
h0039,AT,electricity,scr2099,dem,10.631590354174246
h0040,AT,electricity,scr2099,dem,10.369063697236108
h0041,AT,electricity,scr2099,dem,6.666264697738298
h0042,AT,electricity,scr2099,dem,7.549959385821556
h0043,AT,electricity,scr2099,dem,7.366927171044804
h0044,AT,electricity,scr2099,dem,7.862916647756138
h0045,AT,electricity,scr2099,dem,7.748203201674674
h0046,AT,electricity,scr2099,dem,7.158834537560987
h0047,AT,electricity,scr2099,dem,6.763964282301383
h0048,AT,electricity,scr2099,dem,5.851757000882216
h0049,AT,electricity,scr2099,dem,5.739530298570843
h0050,AT,electricity,scr2099,dem,5.284977001358218
h0051,AT,electricity,scr2099,dem,5.067694042865765
h0052,AT,electricity,scr2099,dem,4.885723404803934
h0053,AT,electricity,scr2099,dem,4.791814309844347
h0054,AT,electricity,scr2099,dem,4.844090143774503
h0055,AT,electricity,scr2099,dem,4.638104996812797
h0056,AT,electricity,scr2099,dem,5.811928790928603
h0057,AT,electricity,scr2099,dem,6.514547287303121
h0058,AT,electricity,scr2099,dem,8.040541918247591
h0059,AT,electricity,scr2099,dem,8.26377498348715
h0060,AT,electricity,scr2099,dem,9.092616322225272
h0061,AT,electricity,scr2099,dem,9.178113954947278
h0062,AT,electricity,scr2099,dem,8.173103295536357
h0063,AT,electricity,scr2099,dem,8.075010739136445
h0064,AT,electricity,scr2099,dem,7.180996243427111
h0065,AT,electricity,scr2099,dem,7.964588470891544
