timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0118,BE,electricity,scr1983,dem,10.50836631835211
h0119,BE,electricity,scr1983,dem,10.53587431142789
h0120,BE,electricity,scr1983,dem,11.056356318244067
h0121,BE,electricity,scr1983,dem,10.476019416762156
h0122,BE,electricity,scr1983,dem,9.571745567550508
h0123,BE,electricity,scr1983,dem,8.724667851662446
h0124,BE,electricity,scr1983,dem,7.812028167648201
h0125,BE,electricity,scr1983,dem,7.636847063779193
h0126,BE,electricity,scr1983,dem,7.691539241723625
h0127,BE,electricity,scr1983,dem,7.8923045744782705
h0128,BE,electricity,scr1983,dem,8.856729093336327
h0129,BE,electricity,scr1983,dem,9.854690302489317
h0130,BE,electricity,scr1983,dem,11.569812407208833
h0131,BE,electricity,scr1983,dem,10.822905855048308
h0132,BE,electricity,scr1983,dem,11.070077972589154
h0133,BE,electricity,scr1983,dem,10.886831589211184
h0134,BE,electricity,scr1983,dem,11.105298109793289
h0135,BE,electricity,scr1983,dem,10.85549444334913
h0136,BE,electricity,scr1983,dem,10.789739801615216
h0137,BE,electricity,scr1983,dem,11.420933852119283
h0138,BE,electricity,scr1983,dem,10.46923936091596
h0139,BE,electricity,scr1983,dem,10.90621768542799
h0140,BE,electricity,scr1983,dem,11.526844967291712
h0141,BE,electricity,scr1983,dem,12.066080650087354
h0142,BE,electricity,scr1983,dem,11.5961663621658
h0143,BE,electricity,scr1983,dem,11.352267137649871
h0144,BE,electricity,scr1983,dem,11.812822405919473
h0145,BE,electricity,scr1983,dem,11.772850158668085
h0146,BE,electricity,scr1983,dem,11.169640974977217
h0147,BE,electricity,scr1983,dem,10.200938918525889
h0148,BE,electricity,scr1983,dem,9.120037992668454
h0149,BE,electricity,scr1983,dem,8.829257122285618
h0150,BE,electricity,scr1983,dem,8.538565286737288
h0151,BE,electricity,scr1983,dem,8.532241400256822
h0152,BE,electricity,scr1983,dem,8.936951615275277
h0153,BE,electricity,scr1983,dem,10.273029189344605
h0154,BE,electricity,scr1983,dem,11.635217572542668
h0155,BE,electricity,scr1983,dem,10.964329995788304
h0156,BE,electricity,scr1983,dem,11.738134000224584
h0157,BE,electricity,scr1983,dem,12.446911374576391
h0158,BE,electricity,scr1983,dem,13.048344563945765
h0159,BE,electricity,scr1983,dem,12.553701274763576
h0160,BE,electricity,scr1983,dem,12.25328574284013
h0161,BE,electricity,scr1983,dem,13.28714747762669
h0162,BE,electricity,scr1983,dem,12.434903093122731
h0163,BE,electricity,scr1983,dem,12.441569460231932
h0164,BE,electricity,scr1983,dem,12.36184004276664
h0165,BE,electricity,scr1983,dem,13.346134264592255
h0166,BE,electricity,scr1983,dem,13.455689012432309
h0167,BE,electricity,scr1983,dem,13.503692854716558
h0168,BE,electricity,scr1983,dem,13.693301066349754
h0169,BE,electricity,scr1983,dem,13.038269790917472
h0001,DE,electricity,scr1983,dem,43.19258015011167
h0002,DE,electricity,scr1983,dem,45.84603976228311
h0003,DE,electricity,scr1983,dem,47.04880319420977
h0004,DE,electricity,scr1983,dem,46.54112295722268
h0005,DE,electricity,scr1983,dem,51.02314235874036
h0006,DE,electricity,scr1983,dem,58.76121743621425
h0007,DE,electricity,scr1983,dem,64.12476920348928
h0008,DE,electricity,scr1983,dem,73.09500678084629
h0009,DE,electricity,scr1983,dem,78.78491549339122
h0010,DE,electricity,scr1983,dem,89.10622979791131
h0011,DE,electricity,scr1983,dem,82.90487029542618
h0012,DE,electricity,scr1983,dem,84.04184004851572
h0013,DE,electricity,scr1983,dem,84.70068596430585
h0014,DE,electricity,scr1983,dem,83.50377183733357
h0015,DE,electricity,scr1983,dem,81.64992239699794
h0016,DE,electricity,scr1983,dem,80.97429535682039
h0017,DE,electricity,scr1983,dem,89.45157520589348
h0018,DE,electricity,scr1983,dem,84.04903261386059
h0019,DE,electricity,scr1983,dem,84.3960469914208
h0020,DE,electricity,scr1983,dem,82.99893623362729
h0021,DE,electricity,scr1983,dem,82.19211093316272
h0022,DE,electricity,scr1983,dem,77.68377655140543
h0023,DE,electricity,scr1983,dem,73.66516648779134
h0024,DE,electricity,scr1983,dem,74.5242801600618
h0025,DE,electricity,scr1983,dem,68.66438637039559
h0026,DE,electricity,scr1983,dem,64.48929911324342
h0027,DE,electricity,scr1983,dem,62.00723664966205
h0028,DE,electricity,scr1983,dem,57.913582054921136
h0029,DE,electricity,scr1983,dem,57.16514664208685
h0030,DE,electricity,scr1983,dem,61.07054555906137
h0031,DE,electricity,scr1983,dem,64.51460174586799
h0032,DE,electricity,scr1983,dem,72.62337429817575
h0033,DE,electricity,scr1983,dem,77.23539551327352
h0034,DE,electricity,scr1983,dem,85.65689788794853
h0035,DE,electricity,scr1983,dem,79.72031823865157
h0036,DE,electricity,scr1983,dem,79.7384441502457
h0037,DE,electricity,scr1983,dem,80.35542560129804
h0038,DE,electricity,scr1983,dem,79.91772819026596
h0039,DE,electricity,scr1983,dem,78.68916972397861
h0040,DE,electricity,scr1983,dem,77.70593750105868
h0041,DE,electricity,scr1983,dem,85.4933794236288
h0042,DE,electricity,scr1983,dem,79.50603151355855
h0043,DE,electricity,scr1983,dem,78.88087588791993
h0044,DE,electricity,scr1983,dem,75.1905510800116
h0045,DE,electricity,scr1983,dem,70.40259124972098
h0046,DE,electricity,scr1983,dem,58.73060615495126
h0047,DE,electricity,scr1983,dem,51.35068550112189
h0048,DE,electricity,scr1983,dem,52.00697633238579
h0049,DE,electricity,scr1983,dem,52.213269353350114
h0050,DE,electricity,scr1983,dem,49.35049076896016
h0051,DE,electricity,scr1983,dem,48.45538080265709
h0052,DE,electricity,scr1983,dem,45.49029291496919
h0053,DE,electricity,scr1983,dem,51.21957748162234
h0054,DE,electricity,scr1983,dem,59.46828829084035
h0055,DE,electricity,scr1983,dem,64.11240852823889
h0056,DE,electricity,scr1983,dem,68.89270827107407
h0057,DE,electricity,scr1983,dem,71.40008943255029
h0058,DE,electricity,scr1983,dem,80.31978904759504
h0059,DE,electricity,scr1983,dem,73.33115220614886
h0060,DE,electricity,scr1983,dem,66.99858055060719
h0061,DE,electricity,scr1983,dem,67.5052845329921
h0062,DE,electricity,scr1983,dem,68.17436662959963
h0063,DE,electricity,scr1983,dem,73.77141768309053
h0064,DE,electricity,scr1983,dem,71.78379244284397
h0065,DE,electricity,scr1983,dem,77.97101167124364
h0066,DE,electricity,scr1983,dem,70.94865427541308
h0067,DE,electricity,scr1983,dem,70.77581118537032
h0068,DE,electricity,scr1983,dem,68.28465542933455
h0069,DE,electricity,scr1983,dem,65.77437695044736
h0070,DE,electricity,scr1983,dem,53.22076338810754
h0071,DE,electricity,scr1983,dem,46.662052690271906
h0072,DE,electricity,scr1983,dem,46.6193254429906
h0073,DE,electricity,scr1983,dem,49.475647439544076
h0074,DE,electricity,scr1983,dem,47.18289412611074
h0075,DE,electricity,scr1983,dem,45.83632751905864
h0076,DE,electricity,scr1983,dem,40.312837508609334
h0077,DE,electricity,scr1983,dem,46.15367958948434
h0078,DE,electricity,scr1983,dem,54.8176520044523
h0079,DE,electricity,scr1983,dem,61.65479847825503
h0080,DE,electricity,scr1983,dem,67.73419030765035
h0081,DE,electricity,scr1983,dem,72.07452276919292
h0082,DE,electricity,scr1983,dem,80.72230344009282
h0083,DE,electricity,scr1983,dem,73.27544560011637
h0084,DE,electricity,scr1983,dem,73.62793927891522
h0085,DE,electricity,scr1983,dem,74.96622576253569
h0086,DE,electricity,scr1983,dem,75.84962970794567
h0087,DE,electricity,scr1983,dem,73.38899196888568
h0088,DE,electricity,scr1983,dem,71.08530661559658
h0089,DE,electricity,scr1983,dem,77.75738396146204
h0090,DE,electricity,scr1983,dem,70.89266728782977
h0091,DE,electricity,scr1983,dem,69.34573065487305
h0092,DE,electricity,scr1983,dem,65.36770050373173
h0093,DE,electricity,scr1983,dem,62.48931401564775
h0094,DE,electricity,scr1983,dem,57.27562572480858
h0095,DE,electricity,scr1983,dem,52.61680239912232
h0096,DE,electricity,scr1983,dem,52.737010277248714
h0097,DE,electricity,scr1983,dem,49.63306505152451
h0098,DE,electricity,scr1983,dem,46.54147679159138
h0099,DE,electricity,scr1983,dem,45.347213483892546
h0100,DE,electricity,scr1983,dem,40.171622740000004
h0101,DE,electricity,scr1983,dem,44.19516969392441
h0102,DE,electricity,scr1983,dem,53.52870602541094
h0103,DE,electricity,scr1983,dem,59.934998562788536
h0104,DE,electricity,scr1983,dem,66.81061834334668
h0105,DE,electricity,scr1983,dem,70.1730124875935
h0106,DE,electricity,scr1983,dem,79.00069382084598
h0107,DE,electricity,scr1983,dem,72.89932427602886
h0108,DE,electricity,scr1983,dem,73.06662455096662
h0109,DE,electricity,scr1983,dem,72.87162209528796
h0110,DE,electricity,scr1983,dem,72.67838552462675
h0111,DE,electricity,scr1983,dem,71.95088621381953
h0112,DE,electricity,scr1983,dem,70.13628127540215
h0113,DE,electricity,scr1983,dem,76.32258798816443
h0114,DE,electricity,scr1983,dem,68.34679834205122
h0115,DE,electricity,scr1983,dem,68.82801685708122
h0116,DE,electricity,scr1983,dem,66.50257532242827
h0117,DE,electricity,scr1983,dem,64.2348030482579
h0118,DE,electricity,scr1983,dem,57.66303635922037
h0119,DE,electricity,scr1983,dem,50.76623074835638
h0120,DE,electricity,scr1983,dem,50.92789495455804
h0121,DE,electricity,scr1983,dem,47.13249918702809
h0122,DE,electricity,scr1983,dem,46.00576416192774
h0123,DE,electricity,scr1983,dem,46.07757973117424
h0124,DE,electricity,scr1983,dem,42.970682473491365
h0125,DE,electricity,scr1983,dem,49.355704671148516
h0126,DE,electricity,scr1983,dem,59.498196657430555
h0127,DE,electricity,scr1983,dem,65.10488445074847
h0128,DE,electricity,scr1983,dem,70.80536111711314
h0129,DE,electricity,scr1983,dem,73.16392548565778
