region_4,timestep_5,value,parameter,carrier_1
17FR,hh0004,0.37414135319954767,dem,processHeat_low
17FR,hh0005,0.3809320385857973,dem,processHeat_low
17FR,hh0006,0.37807415528209276,dem,processHeat_low
18FR,hh0001,0.16831741603004957,dem,processHeat_low
18FR,hh0002,0.17317124867645362,dem,processHeat_low
18FR,hh0003,0.16851858417714993,dem,processHeat_low
18FR,hh0004,0.16476698329370265,dem,processHeat_low
18FR,hh0005,0.1674100582246183,dem,processHeat_low
18FR,hh0006,0.16634157876774225,dem,processHeat_low
19FR,hh0001,0.22484898002971931,dem,processHeat_low
19FR,hh0002,0.22703660520937774,dem,processHeat_low
19FR,hh0003,0.22605447582623128,dem,processHeat_low
19FR,hh0004,0.22766010104942325,dem,processHeat_low
19FR,hh0005,0.22455549051619528,dem,processHeat_low
19FR,hh0006,0.22609814567431386,dem,processHeat_low
20FR,hh0001,0.18826619185097115,dem,processHeat_low
20FR,hh0002,0.19152852541822085,dem,processHeat_low
20FR,hh0003,0.18909295002742965,dem,processHeat_low
20FR,hh0004,0.18858532718297738,dem,processHeat_low
20FR,hh0005,0.1877101708121245,dem,processHeat_low
20FR,hh0006,0.1881949406709964,dem,processHeat_low
21FR,hh0001,0.6066713328127662,dem,processHeat_low
21FR,hh0002,0.6240381314169099,dem,processHeat_low
21FR,hh0003,0.6069953852054368,dem,processHeat_low
21FR,hh0004,0.5921834607900109,dem,processHeat_low
21FR,hh0005,0.6032385356570558,dem,processHeat_low
21FR,hh0006,0.5986185756935356,dem,processHeat_low
22FR,hh0001,0.016913138144744266,dem,processHeat_low
22FR,hh0002,0.017020591334258484,dem,processHeat_low
22FR,hh0003,0.016961305318417885,dem,processHeat_low
22FR,hh0004,0.017038666351922416,dem,processHeat_low
22FR,hh0005,0.01680504422620288,dem,processHeat_low
22FR,hh0006,0.01707936472905658,dem,processHeat_low
23FR,hh0001,2.149778803312074,dem,processHeat_low
23FR,hh0002,2.2073763289663475,dem,processHeat_low
23FR,hh0003,2.153438051627745,dem,processHeat_low
23FR,hh0004,2.113641541100151,dem,processHeat_low
23FR,hh0005,2.136053359909056,dem,processHeat_low
23FR,hh0006,2.1326500414015754,dem,processHeat_low
24FR,hh0001,0.12549176087088654,dem,processHeat_low
24FR,hh0002,0.12905290738405029,dem,processHeat_low
24FR,hh0003,0.12559866198409964,dem,processHeat_low
24FR,hh0004,0.12265647417882519,dem,processHeat_low
24FR,hh0005,0.12479791022406062,dem,processHeat_low
24FR,hh0006,0.12386163291807861,dem,processHeat_low
25FR,hh0001,0.3781130053464494,dem,processHeat_low
25FR,hh0002,0.389556810394879,dem,processHeat_low
25FR,hh0003,0.3786155263528599,dem,processHeat_low
25FR,hh0004,0.36995638477787907,dem,processHeat_low
25FR,hh0005,0.3766624593988581,dem,processHeat_low
25FR,hh0006,0.3731910005062673,dem,processHeat_low
26FR,hh0001,0.41970577597726333,dem,processHeat_low
26FR,hh0002,0.4317023736343799,dem,processHeat_low
26FR,hh0003,0.42014876372581966,dem,processHeat_low
26FR,hh0004,0.41063553782441886,dem,processHeat_low
26FR,hh0005,0.417446492435829,dem,processHeat_low
26FR,hh0006,0.4145877316907445,dem,processHeat_low
27FR,hh0001,0.09287650068961284,dem,processHeat_low
27FR,hh0002,0.09552065799482534,dem,processHeat_low
27FR,hh0003,0.09293632787301931,dem,processHeat_low
27FR,hh0004,0.09069258219614085,dem,processHeat_low
27FR,hh0005,0.09235017977573534,dem,processHeat_low
27FR,hh0006,0.09163636957265453,dem,processHeat_low
28BE,hh0001,1.8894917602665373,dem,processHeat_low
28BE,hh0002,1.9349568853158416,dem,processHeat_low
28BE,hh0003,1.8941403363751306,dem,processHeat_low
28BE,hh0004,1.869018868645071,dem,processHeat_low
28BE,hh0005,1.8769645818993013,dem,processHeat_low
28BE,hh0006,1.8826168378436705,dem,processHeat_low
29LU,hh0001,0.09716647851405469,dem,processHeat_low
29LU,hh0002,0.09968580710932429,dem,processHeat_low
29LU,hh0003,0.09749495708393852,dem,processHeat_low
29LU,hh0004,0.09578479232163772,dem,processHeat_low
29LU,hh0005,0.0968657505718511,dem,processHeat_low
29LU,hh0006,0.09566110325596355,dem,processHeat_low
30NL,hh0001,3.2021877776587644,dem,processHeat_low
30NL,hh0002,3.2828538642406784,dem,processHeat_low
30NL,hh0003,3.209674558669576,dem,processHeat_low
30NL,hh0004,3.16245352506121,dem,processHeat_low
30NL,hh0005,3.181224105404908,dem,processHeat_low
30NL,hh0006,3.1868391026928293,dem,processHeat_low
31DE,hh0001,1.6866389272427114,dem,processHeat_low
31DE,hh0002,1.7263734529715293,dem,processHeat_low
31DE,hh0003,1.6921054253434704,dem,processHeat_low
31DE,hh0004,1.67450047008424,dem,processHeat_low
31DE,hh0005,1.68052656218606,dem,processHeat_low
