region_4,category,timestep_6,value,scenario_1,parameter,technology_3
51AT,1,h0032,0.3531939857316125,scr2008,avaConv,onshore_a
51AT,1,h0033,0.3744751217878509,scr2008,avaConv,onshore_a
51AT,1,h0034,0.5182883655173023,scr2008,avaConv,onshore_a
51AT,1,h0035,0.7001667818076381,scr2008,avaConv,onshore_a
51AT,1,h0036,0.5981600260824624,scr2008,avaConv,onshore_a
51AT,1,h0037,0.38216528644287706,scr2008,avaConv,onshore_a
51AT,1,h0038,0.2408179446524855,scr2008,avaConv,onshore_a
51AT,1,h0039,0.24677478342110318,scr2008,avaConv,onshore_a
51AT,1,h0040,0.13193205283302736,scr2008,avaConv,onshore_a
51AT,1,h0041,0.18480429933704048,scr2008,avaConv,onshore_a
51AT,1,h0042,0.19872397203448333,scr2008,avaConv,onshore_a
51AT,1,h0043,0.22088356561605188,scr2008,avaConv,onshore_a
51AT,1,h0044,0.10821535217519555,scr2008,avaConv,onshore_a
51AT,1,h0045,0.033983346649843434,scr2008,avaConv,onshore_a
51AT,1,h0046,0.03683104633584016,scr2008,avaConv,onshore_a
51AT,1,h0047,0.0951449716548843,scr2008,avaConv,onshore_a
51AT,1,h0048,0.16820286143595645,scr2008,avaConv,onshore_a
63BA,1,h0025,0.34941977429345006,scr2008,avaConv,onshore_a
63BA,1,h0026,0.4160889863816945,scr2008,avaConv,onshore_a
63BA,1,h0027,0.4016586122187527,scr2008,avaConv,onshore_a
63BA,1,h0028,0.5532435458521818,scr2008,avaConv,onshore_a
63BA,1,h0029,0.6110264857922718,scr2008,avaConv,onshore_a
63BA,1,h0030,0.6108355312500877,scr2008,avaConv,onshore_a
63BA,1,h0031,0.29953322388096026,scr2008,avaConv,onshore_a
63BA,1,h0032,0.297872912220706,scr2008,avaConv,onshore_a
63BA,1,h0033,0.5894489682153795,scr2008,avaConv,onshore_a
63BA,1,h0034,0.9476291871849927,scr2008,avaConv,onshore_a
63BA,1,h0035,0.8118503227942636,scr2008,avaConv,onshore_a
63BA,1,h0036,0.9499108914460792,scr2008,avaConv,onshore_a
63BA,1,h0037,0.6309471965039177,scr2008,avaConv,onshore_a
63BA,1,h0038,0.8025000252672672,scr2008,avaConv,onshore_a
63BA,1,h0039,0.511828478611484,scr2008,avaConv,onshore_a
63BA,1,h0040,0.5452626579494344,scr2008,avaConv,onshore_a
63BA,1,h0041,0.6598833521293922,scr2008,avaConv,onshore_a
63BA,1,h0042,0.7010333989609021,scr2008,avaConv,onshore_a
63BA,1,h0043,0.7316326904350071,scr2008,avaConv,onshore_a
63BA,1,h0044,0.4651784842643751,scr2008,avaConv,onshore_a
63BA,1,h0045,0.36410591730204245,scr2008,avaConv,onshore_a
63BA,1,h0046,0.6572162824806543,scr2008,avaConv,onshore_a
63BA,1,h0047,0.6718630601969929,scr2008,avaConv,onshore_a
63BA,1,h0048,0.6232071382843564,scr2008,avaConv,onshore_a
28BE,1,h0025,0.5692866258127062,scr2008,avaConv,onshore_a
