region_4,technology_3,parameter,value
01ES,heatpumpAirSpace,desFac,2.9
02ES,heatpumpAirSpace,desFac,2.51
03ES,heatpumpAirSpace,desFac,2.39
04ES,heatpumpAirSpace,desFac,2.28
05ES,heatpumpAirSpace,desFac,2.4570544676513584
06ES,heatpumpAirSpace,desFac,2.41
07ES,heatpumpAirSpace,desFac,2.5
08ES,heatpumpAirSpace,desFac,2.62
09ES,heatpumpAirSpace,desFac,2.88
10ES,heatpumpAirSpace,desFac,2.44
11ES,heatpumpAirSpace,desFac,2.8532348982184508
12PT,heatpumpAirSpace,desFac,2.93
13PT,heatpumpAirSpace,desFac,3.25
14FR,heatpumpAirSpace,desFac,2.12
15FR,heatpumpAirSpace,desFac,2.0858133131594654
16FR,heatpumpAirSpace,desFac,2.39
17FR,heatpumpAirSpace,desFac,2.1753798423450683
18FR,heatpumpAirSpace,desFac,1.84
19FR,heatpumpAirSpace,desFac,1.9412349522627654
20FR,heatpumpAirSpace,desFac,1.68
21FR,heatpumpAirSpace,desFac,2.33
22FR,heatpumpAirSpace,desFac,2.05
23FR,heatpumpAirSpace,desFac,1.97
24FR,heatpumpAirSpace,desFac,1.91
25FR,heatpumpAirSpace,desFac,1.93
26FR,heatpumpAirSpace,desFac,1.97
27FR,heatpumpAirSpace,desFac,1.88
28BE,heatpumpAirSpace,desFac,2.11
29LU,heatpumpAirSpace,desFac,2.027028095457629
30NL,heatpumpAirSpace,desFac,2.1
31DE,heatpumpAirSpace,desFac,1.8
32DE,heatpumpAirSpace,desFac,1.74
33DE,heatpumpAirSpace,desFac,1.9433376713400907
34DE,heatpumpAirSpace,desFac,1.69
35DE,heatpumpAirSpace,desFac,1.95
36DE,heatpumpAirSpace,desFac,1.65
37DE,heatpumpAirSpace,desFac,1.69
38DK,heatpumpAirSpace,desFac,2.1039770359981977
39CZ,heatpumpAirSpace,desFac,1.62
40CZ,heatpumpAirSpace,desFac,1.56
41PL,heatpumpAirSpace,desFac,1.46
42PL,heatpumpAirSpace,desFac,1.44
43PL,heatpumpAirSpace,desFac,1.55
44PL,heatpumpAirSpace,desFac,1.54
45PL,heatpumpAirSpace,desFac,1.63
46SK,heatpumpAirSpace,desFac,1.6326072813117682
47CH,heatpumpAirSpace,desFac,1.75
48CH,heatpumpAirSpace,desFac,1.49
49AT,heatpumpAirSpace,desFac,1.38
50AT,heatpumpAirSpace,desFac,1.58
51AT,heatpumpAirSpace,desFac,1.59
52IT,heatpumpAirSpace,desFac,2.09
53IT,heatpumpAirSpace,desFac,2.11
54IT,heatpumpAirSpace,desFac,2.35
55IT,heatpumpAirSpace,desFac,2.84
56IT,heatpumpAirSpace,desFac,3.1
57SI,heatpumpAirSpace,desFac,1.64
58HU,heatpumpAirSpace,desFac,1.67
59RO,heatpumpAirSpace,desFac,1.7125400531000532
60RO,heatpumpAirSpace,desFac,1.6938720519418728
61RO,heatpumpAirSpace,desFac,1.53
62HR,heatpumpAirSpace,desFac,1.8
63BA,heatpumpAirSpace,desFac,1.71
64ME,heatpumpAirSpace,desFac,1.86
65RS,heatpumpAirSpace,desFac,1.76
66BG,heatpumpAirSpace,desFac,1.6656452736711116
67MK,heatpumpAirSpace,desFac,1.78
68GR,heatpumpAirSpace,desFac,2.2
69GR,heatpumpAirSpace,desFac,2.68
70AL,heatpumpAirSpace,desFac,2.26
72DK,heatpumpAirSpace,desFac,1.87
73EE,heatpumpAirSpace,desFac,1.41
74FI,heatpumpAirSpace,desFac,1.19
75FI,heatpumpAirSpace,desFac,1.2626695242894264
77LT,heatpumpAirSpace,desFac,1.44
78LV,heatpumpAirSpace,desFac,1.43
79NO,heatpumpAirSpace,desFac,1.92
80NO,heatpumpAirSpace,desFac,1.5040448734245202
81NO,heatpumpAirSpace,desFac,1.78
82NO,heatpumpAirSpace,desFac,1.4011045075684694
83NO,heatpumpAirSpace,desFac,1.54
84NO,heatpumpAirSpace,desFac,1.44
85NO,heatpumpAirSpace,desFac,1.24
86SE,heatpumpAirSpace,desFac,1.24
87SE,heatpumpAirSpace,desFac,1.37
88SE,heatpumpAirSpace,desFac,1.56
89SE,heatpumpAirSpace,desFac,1.75
90UK,heatpumpAirSpace,desFac,2.22
91UK,heatpumpAirSpace,desFac,2.49
92UK,heatpumpAirSpace,desFac,2.3
93UK,heatpumpAirSpace,desFac,2.28
94UK,heatpumpAirSpace,desFac,2.1978825965598667
95UK,heatpumpAirSpace,desFac,2.51
96IE,heatpumpAirSpace,desFac,2.46
98IT,heatpumpAirSpace,desFac,3.03
99FR,heatpumpAirSpace,desFac,2.6275316938636895
