region_4,timestep_5,value,parameter,carrier_1
17FR,hh0022,0.3929071662828839,dem,processHeat_high
17FR,hh0023,0.39789940648070615,dem,processHeat_high
17FR,hh0024,0.3904472381731839,dem,processHeat_high
18FR,hh0019,0.273426444468159,dem,processHeat_high
18FR,hh0020,0.27256996994707683,dem,processHeat_high
18FR,hh0021,0.2723181028139414,dem,processHeat_high
18FR,hh0022,0.27059106038118996,dem,processHeat_high
18FR,hh0023,0.2750776718422652,dem,processHeat_high
18FR,hh0024,0.2697464014814677,dem,processHeat_high
19FR,hh0019,0.9027055162705013,dem,processHeat_high
19FR,hh0020,0.8992938596546277,dem,processHeat_high
19FR,hh0021,0.8990737042625171,dem,processHeat_high
19FR,hh0022,0.8939899084282186,dem,processHeat_high
19FR,hh0023,0.9077888744736028,dem,processHeat_high
19FR,hh0024,0.8902163788502486,dem,processHeat_high
20FR,hh0019,0.7368225261720776,dem,processHeat_high
20FR,hh0020,0.7339322230804544,dem,processHeat_high
20FR,hh0021,0.733956396347921,dem,processHeat_high
20FR,hh0022,0.7299290628623194,dem,processHeat_high
20FR,hh0023,0.7408732120240664,dem,processHeat_high
20FR,hh0024,0.7265812409480834,dem,processHeat_high
21FR,hh0019,0.5710639520439571,dem,processHeat_high
21FR,hh0020,0.568144669172466,dem,processHeat_high
21FR,hh0021,0.5699046578250149,dem,processHeat_high
21FR,hh0022,0.5676049274778925,dem,processHeat_high
21FR,hh0023,0.573385844458564,dem,processHeat_high
21FR,hh0024,0.5629809315399334,dem,processHeat_high
22FR,hh0019,0.045721485764488534,dem,processHeat_high
22FR,hh0020,0.046045552499492715,dem,processHeat_high
22FR,hh0021,0.04517957184631882,dem,processHeat_high
22FR,hh0022,0.04457838442070283,dem,processHeat_high
22FR,hh0023,0.04625726086808868,dem,processHeat_high
22FR,hh0024,0.045775149527059966,dem,processHeat_high
23FR,hh0019,3.8042374870165077,dem,processHeat_high
23FR,hh0020,3.8044258807094593,dem,processHeat_high
23FR,hh0021,3.7749721832951764,dem,processHeat_high
23FR,hh0022,3.73748406654704,dem,processHeat_high
23FR,hh0023,3.8383382254360185,dem,processHeat_high
23FR,hh0024,3.7638273731463414,dem,processHeat_high
24FR,hh0019,0.27794556862588066,dem,processHeat_high
24FR,hh0020,0.27653495897026,dem,processHeat_high
24FR,hh0021,0.27723552992883915,dem,processHeat_high
24FR,hh0022,0.2760895849101086,dem,processHeat_high
24FR,hh0023,0.27913520853290785,dem,processHeat_high
24FR,hh0024,0.2739929737630513,dem,processHeat_high
25FR,hh0019,0.5249169780174895,dem,processHeat_high
25FR,hh0020,0.5230301670275961,dem,processHeat_high
25FR,hh0021,0.5244933653748082,dem,processHeat_high
25FR,hh0022,0.5216400075226351,dem,processHeat_high
25FR,hh0023,0.5273792598232617,dem,processHeat_high
25FR,hh0024,0.5178709711583422,dem,processHeat_high
26FR,hh0019,0.9229409178303892,dem,processHeat_high
26FR,hh0020,0.9192289811694966,dem,processHeat_high
