region_2,region_2,exchange_1,parameter_1,value_1,parameter_2,value_2,source
AT,HU,liquidExc,costVarExc,46.47,capaConvResi,0,see exchangeInputs
AT,IT,liquidExc,costVarExc,68.65,capaConvResi,0,
AT,SI,liquidExc,costVarExc,22.31,capaConvResi,0,
BA,ME,liquidExc,costVarExc,21.18,capaConvResi,0,
BA,RS,liquidExc,costVarExc,23.5,capaConvResi,0,
BE,DE,liquidExc,costVarExc,40.33,capaConvResi,0,
BE,LU,liquidExc,costVarExc,12.28,capaConvResi,0,
BE,NL,liquidExc,costVarExc,17.69,capaConvResi,0,
BG,GR,liquidExc,costVarExc,54.15,capaConvResi,0,
BG,MK,liquidExc,costVarExc,33.74,capaConvResi,0,
CH,AT,liquidExc,costVarExc,43.39,capaConvResi,0,
CH,IT,liquidExc,costVarExc,65.98,capaConvResi,0,
CZ,AT,liquidExc,costVarExc,30.39,capaConvResi,0,
CZ,PL,liquidExc,costVarExc,33.79,capaConvResi,0,
CZ,SK,liquidExc,costVarExc,36.33,capaConvResi,0,
DE,AT,liquidExc,costVarExc,53.2,capaConvResi,0,
DE,CH,liquidExc,costVarExc,56.1,capaConvResi,0,
DE,CZ,liquidExc,costVarExc,44.04,capaConvResi,0,
DE,DK,liquidExc,costVarExc,51.24,capaConvResi,0,
DE,PL,liquidExc,costVarExc,65.33,capaConvResi,0,
EE,LV,liquidExc,costVarExc,21.57,capaConvResi,0,
ES,FR,liquidExc,costVarExc,77.85,capaConvResi,0,
ES,PT,liquidExc,costVarExc,47.26,capaConvResi,0,
FI,NO,liquidExc,costVarExc,76.52,capaConvResi,0,
FI,SE,liquidExc,costVarExc,69.07,capaConvResi,0,
FR,BE,liquidExc,costVarExc,54.01,capaConvResi,0,
FR,CH,liquidExc,costVarExc,53.92,capaConvResi,0,
FR,DE,liquidExc,costVarExc,88.03,capaConvResi,0,
FR,IT,liquidExc,costVarExc,101.77,capaConvResi,0,
FR,LU,liquidExc,costVarExc,51.73,capaConvResi,0,
GR,AL,liquidExc,costVarExc,52.64,capaConvResi,0,
HR,BA,liquidExc,costVarExc,15.99,capaConvResi,0,
HR,RS,liquidExc,costVarExc,39.2,capaConvResi,0,
HU,HR,liquidExc,costVarExc,43.89,capaConvResi,0,
HU,RO,liquidExc,costVarExc,50.46,capaConvResi,0,
HU,RS,liquidExc,costVarExc,36.89,capaConvResi,0,
IT,SI,liquidExc,costVarExc,55.65,capaConvResi,0,
LT,LV,liquidExc,costVarExc,21.78,capaConvResi,0,
LU,DE,liquidExc,costVarExc,36.77,capaConvResi,0,
ME,AL,liquidExc,costVarExc,20.26,capaConvResi,0,
ME,RS,liquidExc,costVarExc,21.99,capaConvResi,0,
MK,AL,liquidExc,costVarExc,16.1,capaConvResi,0,
MK,GR,liquidExc,costVarExc,48.16,capaConvResi,0,
NL,DE,liquidExc,costVarExc,37.15,capaConvResi,0,
NO,SE,liquidExc,costVarExc,41.4,capaConvResi,0,
PL,LT,liquidExc,costVarExc,56.58,capaConvResi,0,
PL,SK,liquidExc,costVarExc,33.8,capaConvResi,0,
RO,BG,liquidExc,costVarExc,45.9,capaConvResi,0,
RO,RS,liquidExc,costVarExc,46.89,capaConvResi,0,
RS,AL,liquidExc,costVarExc,38.05,capaConvResi,0,
RS,BG,liquidExc,costVarExc,46.28,capaConvResi,0,
RS,MK,liquidExc,costVarExc,33.2,capaConvResi,0,
SI,HR,liquidExc,costVarExc,20.54,capaConvResi,0,
SI,HU,liquidExc,costVarExc,37.97,capaConvResi,0,
SK,AT,liquidExc,costVarExc,51.11,capaConvResi,0,
SK,HU,liquidExc,costVarExc,18.24,capaConvResi,0,
UK,IE,liquidExc,costVarExc,42.74,capaConvResi,0,
UK,FR,liquidExc,costVarExc,118.3,capaConvResi,0,
