region_3,category,timestep_6,value,scenario_1,parameter,technology_3
at,1,h0421,0.7314381614677508,scr2002,avaConv,onshore_a
at,1,h0422,0.5329999862809502,scr2002,avaConv,onshore_a
at,1,h0423,0.31183686453752296,scr2002,avaConv,onshore_a
at,1,h0424,0.292893428124902,scr2002,avaConv,onshore_a
at,1,h0425,0.2840047037386805,scr2002,avaConv,onshore_a
at,1,h0426,0.31817488713921693,scr2002,avaConv,onshore_a
at,1,h0427,0.2814023945848234,scr2002,avaConv,onshore_a
at,1,h0428,0.24805347132349018,scr2002,avaConv,onshore_a
at,1,h0429,0.1721010119043585,scr2002,avaConv,onshore_a
at,1,h0430,0.18910338796967072,scr2002,avaConv,onshore_a
at,1,h0431,0.2037066366385713,scr2002,avaConv,onshore_a
at,1,h0432,0.23487617440122333,scr2002,avaConv,onshore_a
at,1,h0433,0.18499164059677886,scr2002,avaConv,onshore_a
at,1,h0434,0.12157134539163689,scr2002,avaConv,onshore_a
at,1,h0435,0.011955670572729062,scr2002,avaConv,onshore_a
at,1,h0436,0.009304748679956303,scr2002,avaConv,onshore_a
at,1,h0437,0.009150375550602307,scr2002,avaConv,onshore_a
at,1,h0438,0.01145618632672367,scr2002,avaConv,onshore_a
at,1,h0439,0.14897003654032384,scr2002,avaConv,onshore_a
at,1,h0440,0.2427768961964167,scr2002,avaConv,onshore_a
at,1,h0441,0.32011518027623687,scr2002,avaConv,onshore_a
at,1,h0442,0.307258313423483,scr2002,avaConv,onshore_a
at,1,h0443,0.31761356783925293,scr2002,avaConv,onshore_a
at,1,h0444,0.3613462521274092,scr2002,avaConv,onshore_a
at,1,h0445,0.30399252818279177,scr2002,avaConv,onshore_a
at,1,h0446,0.23442201456721093,scr2002,avaConv,onshore_a
at,1,h0447,0.12385034959489609,scr2002,avaConv,onshore_a
at,1,h0448,0.1141389700910795,scr2002,avaConv,onshore_a
at,1,h0449,0.0918980181447905,scr2002,avaConv,onshore_a
at,1,h0450,0.07173969373050004,scr2002,avaConv,onshore_a
at,1,h0451,0.25343882996546846,scr2002,avaConv,onshore_a
at,1,h0452,0.43106479474733966,scr2002,avaConv,onshore_a
at,1,h0453,0.6032878981710803,scr2002,avaConv,onshore_a
at,1,h0454,0.6433822432716415,scr2002,avaConv,onshore_a
at,1,h0455,0.6314206132259487,scr2002,avaConv,onshore_a
at,1,h0456,0.6104209446330263,scr2002,avaConv,onshore_a
at,1,h0457,0.49230771496380465,scr2002,avaConv,onshore_a
at,1,h0458,0.4149366151247269,scr2002,avaConv,onshore_a
at,1,h0459,0.3185537547944502,scr2002,avaConv,onshore_a
at,1,h0460,0.30028065952468586,scr2002,avaConv,onshore_a
