timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0001,BE,s2018,electricity,dem,9.42410753133736
h0002,BE,s2018,electricity,dem,9.06114599287583
h0003,BE,s2018,electricity,dem,8.8490484654033
h0004,BE,s2018,electricity,dem,8.83126961924945
h0005,BE,s2018,electricity,dem,9.14149214672198
h0006,BE,s2018,electricity,dem,9.96027648738131
h0007,BE,s2018,electricity,dem,10.6392105533154
h0008,BE,s2018,electricity,dem,11.0357407730956
h0009,BE,s2018,electricity,dem,11.2871569818868
h0010,BE,s2018,electricity,dem,11.4067119269418
h0011,BE,s2018,electricity,dem,11.520198190678
h0012,BE,s2018,electricity,dem,11.3525223665022
h0013,BE,s2018,electricity,dem,11.2598300588099
h0014,BE,s2018,electricity,dem,11.1036487401286
h0015,BE,s2018,electricity,dem,11.0565086302385
h0016,BE,s2018,electricity,dem,11.1096720917769
h0017,BE,s2018,electricity,dem,11.579628135733
h0018,BE,s2018,electricity,dem,11.8071528610077
h0019,BE,s2018,electricity,dem,11.4416899489198
h0020,BE,s2018,electricity,dem,10.9187229159527
h0021,BE,s2018,electricity,dem,10.3908616522165
h0022,BE,s2018,electricity,dem,10.5026968170516
h0023,BE,s2018,electricity,dem,10.4651446192494
h0024,BE,s2018,electricity,dem,9.88809654232637
h0025,BE,s2018,electricity,dem,9.69740493063736
h0026,BE,s2018,electricity,dem,9.33444339217583
h0027,BE,s2018,electricity,dem,9.1223458647033
h0028,BE,s2018,electricity,dem,9.10456701854945
h0029,BE,s2018,electricity,dem,9.41478954602198
h0030,BE,s2018,electricity,dem,10.2335738866813
h0031,BE,s2018,electricity,dem,10.9125079526154
h0032,BE,s2018,electricity,dem,11.3090381723956
h0033,BE,s2018,electricity,dem,11.5604543811868
h0034,BE,s2018,electricity,dem,11.6800093262418
h0035,BE,s2018,electricity,dem,11.793495589978
h0036,BE,s2018,electricity,dem,11.6258197658022
h0037,BE,s2018,electricity,dem,11.5331274581099
h0038,BE,s2018,electricity,dem,11.3769461394286
h0039,BE,s2018,electricity,dem,11.3298060295385
