scenario_1,parameter,value
s2016,scrProb,0.0512820512820513
s2014,scrProb,0.102564102564103
s2009,scrProb,0.128205128205128
s2018,scrProb,0.102564102564103
s1989,scrProb,0.0769230769230769
s2013,scrProb,0.0512820512820513
s1994,scrProb,0.102564102564103
s1999,scrProb,0.102564102564103
s1980,scrProb,0.0256410256410256
s2006,scrProb,0.0512820512820513
s1998,scrProb,0.0256410256410256
s2012,scrProb,0.0256410256410256
s2002,scrProb,0.0256410256410256
s2010,scrProb,0.0256410256410256
s1985,scrProb,0.0256410256410256
s1996,scrProb,0.0256410256410256
s1984,scrProb,0.0256410256410256
s1986,scrProb,0.0256410256410256
