timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,BE,s2002,wind,avaConv,0.135459276034903
h0002,BE,s2002,wind,avaConv,0.11565949885416
h0003,BE,s2002,wind,avaConv,0.101977778583614
h0004,BE,s2002,wind,avaConv,0.104134223461448
h0005,BE,s2002,wind,avaConv,0.109817900647893
h0006,BE,s2002,wind,avaConv,0.106412865049518
h0007,BE,s2002,wind,avaConv,0.105048072747613
h0008,BE,s2002,wind,avaConv,0.111922218265977
h0009,BE,s2002,wind,avaConv,0.116326676486944
h0010,BE,s2002,wind,avaConv,0.136044962868574
h0011,BE,s2002,wind,avaConv,0.156179627673683
h0012,BE,s2002,wind,avaConv,0.144445736826632
h0013,BE,s2002,wind,avaConv,0.121403096149487
h0014,BE,s2002,wind,avaConv,0.104730558687641
h0015,BE,s2002,wind,avaConv,0.101056534303863
h0016,BE,s2002,wind,avaConv,0.0872607095834662
h0017,BE,s2002,wind,avaConv,0.0987337140914793
h0018,BE,s2002,wind,avaConv,0.132942973811474
h0019,BE,s2002,wind,avaConv,0.161666429761226
h0020,BE,s2002,wind,avaConv,0.177449849446359
h0021,BE,s2002,wind,avaConv,0.16003309719196
h0022,BE,s2002,wind,avaConv,0.168406748853372
h0023,BE,s2002,wind,avaConv,0.164853793892243
h0024,BE,s2002,wind,avaConv,0.151533488573626
h0025,BE,s2002,wind,avaConv,0.144187392956492
h0026,BE,s2002,wind,avaConv,0.108283863556712
h0027,BE,s2002,wind,avaConv,0.0850924261479535
h0028,BE,s2002,wind,avaConv,0.0716418507382619
h0029,BE,s2002,wind,avaConv,0.0777663002955165
h0030,BE,s2002,wind,avaConv,0.0893279417378926
h0031,BE,s2002,wind,avaConv,0.105159220082027
h0032,BE,s2002,wind,avaConv,0.133500038029544
h0033,BE,s2002,wind,avaConv,0.184851718100925
h0034,BE,s2002,wind,avaConv,0.275182125542912
h0035,BE,s2002,wind,avaConv,0.295003968831822
h0036,BE,s2002,wind,avaConv,0.309991558592296
