timestep_superordinate_expansion,timestep_superordinate_dispatch,region_from,region_to,carrier,exchange,scenario,directed,variable,value,objName
none,30th < 2040,Benelux < BE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.39999812295949,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,Scan < DK,none,powerGrid < hvdc,none,no,expExc,1.0999978072963859,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,Scan < NO,none,powerGrid < hvdc,none,no,expExc,2.9999848320530624,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.8999993234677577,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,2.0003946438204006,inter_all_total32_ext8_reference
none,30th < 2040,East < PL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,4.102181451526069,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < NL,Scan < DK,none,powerGrid < hvdc,none,no,expExc,2.9847910396062827,inter_all_total32_ext8_reference
none,30th < 2040,Scan < DK,Scan < NO,none,powerGrid < hvdc,none,no,expExc,4.999996823321883,inter_all_total32_ext8_reference
none,30th < 2040,Scan < DK,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.499997718085542,inter_all_total32_ext8_reference
none,30th < 2040,Balt < EE,Scan < FI,none,powerGrid < hvdc,none,no,expExc,4.996769809070933,inter_all_total32_ext8_reference
none,30th < 2040,Scan < FI,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.8008734888690225,inter_all_total32_ext8_reference
none,30th < 2040,FR_ < FR,UkPlus < IE,none,powerGrid < hvdc,none,no,expExc,1.3999994038202306,inter_all_total32_ext8_reference
none,30th < 2040,FR_ < FR,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,6.199999206981006,inter_all_total32_ext8_reference
none,30th < 2040,IT_ < IT,SouthEast < GR,none,powerGrid < hvdc,none,no,expExc,0.9983082362187391,inter_all_total32_ext8_reference
none,30th < 2040,IT_ < IT,SouthEast < ME,none,powerGrid < hvdc,none,no,expExc,1.5999972836074687,inter_all_total32_ext8_reference
none,30th < 2040,Balt < LT,Scan < SE,none,powerGrid < hvdc,none,no,expExc,1.892105856162417,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < NL,Scan < NO,none,powerGrid < hvdc,none,no,expExc,9.997569751609984,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < NL,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.999998920045616,inter_all_total32_ext8_reference
none,30th < 2040,Scan < NO,UkPlus < UK,none,powerGrid < hvdc,none,no,expExc,4.999998020049304,inter_all_total32_ext8_reference
none,30th < 2040,East < PL,Scan < SE,none,powerGrid < hvdc,none,no,expExc,2.9988709141210803,inter_all_total32_ext8_reference
none,30th < 2040,Balt < EE,Balt < LV,none,h2Grid,none,yes,expExc,0.0004892142264280038,inter_all_total32_ext8_reference
none,30th < 2040,Balt < LT,Balt < LV,none,h2Grid,none,yes,expExc,0.004067679178298719,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < BE,Benelux < LU,none,h2Grid,none,yes,expExc,0.09955193993200276,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < BE,Benelux < NL,none,h2Grid,none,yes,expExc,0.001874042864499306,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < BE,DE_ < DE,none,h2Grid,none,yes,expExc,0.00032189457411763953,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < LU,DE_ < DE,none,h2Grid,none,yes,expExc,0.0003265305406912178,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < NL,DE_ < DE,none,h2Grid,none,yes,expExc,0.00030377779940208015,inter_all_total32_ext8_reference
none,30th < 2040,CH_ < CH,DE_ < DE,none,h2Grid,none,yes,expExc,0.0002517935811088297,inter_all_total32_ext8_reference
none,30th < 2040,CH_ < CH,East < AT,none,h2Grid,none,yes,expExc,0.00016934231900380995,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,East < AT,none,h2Grid,none,yes,expExc,0.0007928050110049995,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,East < CZ,none,h2Grid,none,yes,expExc,0.0005523416899015314,inter_all_total32_ext8_reference
none,30th < 2040,East < AT,East < CZ,none,h2Grid,none,yes,expExc,0.0006412280238568996,inter_all_total32_ext8_reference
none,30th < 2040,East < AT,East < HU,none,h2Grid,none,yes,expExc,0.0012224300235532022,inter_all_total32_ext8_reference
none,30th < 2040,East < HR,East < HU,none,h2Grid,none,yes,expExc,0.00027184333410980657,inter_all_total32_ext8_reference
none,30th < 2040,Balt < LT,East < PL,none,h2Grid,none,yes,expExc,0.00016674689864457494,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,East < PL,none,h2Grid,none,yes,expExc,0.00031757097407114594,inter_all_total32_ext8_reference
none,30th < 2040,East < CZ,East < PL,none,h2Grid,none,yes,expExc,0.0005169551534103014,inter_all_total32_ext8_reference
none,30th < 2040,East < AT,East < SI,none,h2Grid,none,yes,expExc,0.0023003193436665443,inter_all_total32_ext8_reference
none,30th < 2040,East < HR,East < SI,none,h2Grid,none,yes,expExc,0.000684441584785727,inter_all_total32_ext8_reference
none,30th < 2040,East < HU,East < SI,none,h2Grid,none,yes,expExc,0.000664813223176412,inter_all_total32_ext8_reference
none,30th < 2040,East < AT,East < SK,none,h2Grid,none,yes,expExc,0.000662544504118763,inter_all_total32_ext8_reference
none,30th < 2040,East < CZ,East < SK,none,h2Grid,none,yes,expExc,0.0017123361271439304,inter_all_total32_ext8_reference
none,30th < 2040,East < HU,East < SK,none,h2Grid,none,yes,expExc,0.0007512220496440579,inter_all_total32_ext8_reference
none,30th < 2040,East < PL,East < SK,none,h2Grid,none,yes,expExc,1.6526480566856825,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < BE,FR_ < FR,none,h2Grid,none,yes,expExc,0.0002039508146402691,inter_all_total32_ext8_reference
none,30th < 2040,Benelux < LU,FR_ < FR,none,h2Grid,none,yes,expExc,0.0001794381515762808,inter_all_total32_ext8_reference
none,30th < 2040,CH_ < CH,FR_ < FR,none,h2Grid,none,yes,expExc,0.00022743642279876935,inter_all_total32_ext8_reference
none,30th < 2040,DE_ < DE,FR_ < FR,none,h2Grid,none,yes,expExc,0.00015864715398151706,inter_all_total32_ext8_reference
none,30th < 2040,CH_ < CH,IT_ < IT,none,h2Grid,none,yes,expExc,0.00021098976705717165,inter_all_total32_ext8_reference
none,30th < 2040,East < AT,IT_ < IT,none,h2Grid,none,yes,expExc,0.0001405916359446192,inter_all_total32_ext8_reference
none,30th < 2040,East < SI,IT_ < IT,none,h2Grid,none,yes,expExc,0.00012172064198483523,inter_all_total32_ext8_reference
