total,extreme,distance
24,0,11876.845534055785
24,2,12415.782475016866
24,4,12964.97567856307
24,8,14463.59454078129
28,0,10916.010772386962
28,2,11310.860762087974
28,4,11756.47217091768
28,8,12848.655768988474
28,12,14325.780543065845
32,0,10246.136587899051
32,2,10526.49760369958
32,4,10818.085870895542
32,8,11640.152261343086
32,12,12747.473122878253
32,16,14217.056537530922
36,0,9629.398227977152
36,2,9885.880121817781
36,4,10148.211686407632
36,8,10714.947532702048
36,12,11541.068835705031
36,16,12638.74911734333
40,0,9135.80767704579
40,2,9329.3432440996
40,4,9531.473326485733
40,8,10045.073348214135
40,12,10606.874614886823
40,16,11454.268426139797
44,0,8707.019182765916
44,2,8877.132519405182
44,4,9037.88277555437
44,8,9428.334988292236
44,12,9952.514936498756
44,16,10520.074205321587
48,0,8322.738753244314
48,2,8473.913719684044
48,4,8615.320079175926
48,8,8947.227603863801
48,12,9350.80267938592
48,16,9865.360676409688
52,0,7986.891998972
52,2,8117.661032958139
52,4,8231.039649654324
52,8,8528.160437430288
52,12,8870.135669027535
52,16,9263.648419296853
56,0,7686.977714072972
56,2,7798.499967594203
56,4,7899.938983183647
56,8,8146.844858851027
56,12,8450.628128523971
56,16,8778.169816106798
60,0,7412.175974630378
60,2,7519.3660173087665
60,4,7602.022202891831
60,8,7815.744192380352
60,12,8069.312549944711
60,16,8356.02286242185
