timestep_3,region_1,scenario_1,technology_1,parameter,value
h0118,DE,s1998,wind,avaConv,0.871662282435078
h0119,DE,s1998,wind,avaConv,0.809466006985249
h0120,DE,s1998,wind,avaConv,0.798018593158354
h0121,DE,s1998,wind,avaConv,0.754813603011223
h0122,DE,s1998,wind,avaConv,0.728146223687018
h0123,DE,s1998,wind,avaConv,0.738390732122942
h0124,DE,s1998,wind,avaConv,0.776372170940898
h0125,DE,s1998,wind,avaConv,0.822865092557476
h0126,DE,s1998,wind,avaConv,0.86971987253931
h0127,DE,s1998,wind,avaConv,0.887382628397175
h0128,DE,s1998,wind,avaConv,0.916594710675575
h0129,DE,s1998,wind,avaConv,0.935513750752322
h0130,DE,s1998,wind,avaConv,0.952531688622379
h0131,DE,s1998,wind,avaConv,0.960587958094315
h0132,DE,s1998,wind,avaConv,0.959365978653529
h0133,DE,s1998,wind,avaConv,0.954404703875542
h0134,DE,s1998,wind,avaConv,0.944482824343668
h0135,DE,s1998,wind,avaConv,0.915225886951682
h0136,DE,s1998,wind,avaConv,0.82859450809259
h0137,DE,s1998,wind,avaConv,0.768951368354977
h0138,DE,s1998,wind,avaConv,0.746513014224341
h0139,DE,s1998,wind,avaConv,0.706490691024712
h0140,DE,s1998,wind,avaConv,0.678832924551863
h0141,DE,s1998,wind,avaConv,0.65766268571882
h0142,DE,s1998,wind,avaConv,0.619706665826141
h0143,DE,s1998,wind,avaConv,0.569123853869022
h0144,DE,s1998,wind,avaConv,0.536111839921885
h0145,DE,s1998,wind,avaConv,0.531195521603436
h0146,DE,s1998,wind,avaConv,0.55347796916273
h0147,DE,s1998,wind,avaConv,0.613028658647598
h0148,DE,s1998,wind,avaConv,0.672218979479778
h0149,DE,s1998,wind,avaConv,0.727585634776539
h0150,DE,s1998,wind,avaConv,0.746230243530372
h0151,DE,s1998,wind,avaConv,0.816843090960164
h0152,DE,s1998,wind,avaConv,0.856134181162246
h0153,DE,s1998,wind,avaConv,0.904185607593151
h0154,DE,s1998,wind,avaConv,0.945576684738716
h0155,DE,s1998,wind,avaConv,0.961011153272761
h0156,DE,s1998,wind,avaConv,0.97406828294438
h0157,DE,s1998,wind,avaConv,0.984086780007933
h0158,DE,s1998,wind,avaConv,0.983136946313205
h0159,DE,s1998,wind,avaConv,0.978824761623416
h0160,DE,s1998,wind,avaConv,0.970196721254372
h0161,DE,s1998,wind,avaConv,0.977095736259134
h0162,DE,s1998,wind,avaConv,0.983116199461108
h0163,DE,s1998,wind,avaConv,0.987388192818938
h0164,DE,s1998,wind,avaConv,0.98896295941788
h0165,DE,s1998,wind,avaConv,0.987793652406222
h0166,DE,s1998,wind,avaConv,0.984129571701183
h0167,DE,s1998,wind,avaConv,0.979513994865562
h0168,DE,s1998,wind,avaConv,0.965563749264865
h0169,DE,s1998,wind,avaConv,0.962012075924808
h0170,DE,s1998,wind,avaConv,0.953152395031698
h0171,DE,s1998,wind,avaConv,0.94252107690809
h0172,DE,s1998,wind,avaConv,0.948336531978074
h0173,DE,s1998,wind,avaConv,0.968150909896762
h0174,DE,s1998,wind,avaConv,0.971873599316699
h0175,DE,s1998,wind,avaConv,0.963573473120213
h0176,DE,s1998,wind,avaConv,0.965551675166407
h0177,DE,s1998,wind,avaConv,0.964287893510385
h0178,DE,s1998,wind,avaConv,0.963882652580695
h0179,DE,s1998,wind,avaConv,0.975832832533498
h0180,DE,s1998,wind,avaConv,0.980260404107662
h0181,DE,s1998,wind,avaConv,0.976240609148011
h0182,DE,s1998,wind,avaConv,0.959784577784498
h0183,DE,s1998,wind,avaConv,0.898208364134535
h0184,DE,s1998,wind,avaConv,0.818947852583709
h0185,DE,s1998,wind,avaConv,0.804209454613619
h0186,DE,s1998,wind,avaConv,0.798597055698919
h0187,DE,s1998,wind,avaConv,0.811628875817146
h0188,DE,s1998,wind,avaConv,0.856920452350328
h0189,DE,s1998,wind,avaConv,0.897101053225047
h0190,DE,s1998,wind,avaConv,0.920006397114497
h0191,DE,s1998,wind,avaConv,0.930971268388603
h0192,DE,s1998,wind,avaConv,0.931459884241575
