timestep_3,region_1,scenario_1,technology_1,parameter,value
h0001,LU,s2012,solar,avaConv,0.0
h0002,LU,s2012,solar,avaConv,0.0
h0003,LU,s2012,solar,avaConv,0.0
h0004,LU,s2012,solar,avaConv,0.0
h0005,LU,s2012,solar,avaConv,0.0
h0006,LU,s2012,solar,avaConv,0.0
h0007,LU,s2012,solar,avaConv,0.0
h0008,LU,s2012,solar,avaConv,0.00117039777047197
h0009,LU,s2012,solar,avaConv,0.0199800916302516
h0010,LU,s2012,solar,avaConv,0.0552178229891659
h0011,LU,s2012,solar,avaConv,0.0978827832677744
h0012,LU,s2012,solar,avaConv,0.103865575369814
h0013,LU,s2012,solar,avaConv,0.0955129072298181
h0014,LU,s2012,solar,avaConv,0.0610004896374726
h0015,LU,s2012,solar,avaConv,0.0222403853923333
h0016,LU,s2012,solar,avaConv,0.00269425268285873
h0017,LU,s2012,solar,avaConv,0.0
h0018,LU,s2012,solar,avaConv,0.0
h0019,LU,s2012,solar,avaConv,0.0
h0020,LU,s2012,solar,avaConv,0.0
h0021,LU,s2012,solar,avaConv,0.0
h0022,LU,s2012,solar,avaConv,0.0
h0023,LU,s2012,solar,avaConv,0.0
h0024,LU,s2012,solar,avaConv,0.0
h0025,LU,s2012,solar,avaConv,0.0
h0026,LU,s2012,solar,avaConv,0.0
h0027,LU,s2012,solar,avaConv,0.0
h0028,LU,s2012,solar,avaConv,0.0
h0029,LU,s2012,solar,avaConv,0.0
h0030,LU,s2012,solar,avaConv,0.0
h0031,LU,s2012,solar,avaConv,0.0
h0032,LU,s2012,solar,avaConv,0.000128345121103566
h0033,LU,s2012,solar,avaConv,0.00599874830751424
h0034,LU,s2012,solar,avaConv,0.0212595416421826
h0035,LU,s2012,solar,avaConv,0.0469747378279294
h0036,LU,s2012,solar,avaConv,0.0582572160327443
h0037,LU,s2012,solar,avaConv,0.0508525223780257
h0038,LU,s2012,solar,avaConv,0.0399091016527786
h0039,LU,s2012,solar,avaConv,0.0218533065621374
h0040,LU,s2012,solar,avaConv,0.00247612026326992
h0041,LU,s2012,solar,avaConv,0.0
h0042,LU,s2012,solar,avaConv,0.0
h0043,LU,s2012,solar,avaConv,0.0
h0044,LU,s2012,solar,avaConv,0.0
h0045,LU,s2012,solar,avaConv,0.0
h0046,LU,s2012,solar,avaConv,0.0
h0047,LU,s2012,solar,avaConv,0.0
h0048,LU,s2012,solar,avaConv,0.0
h0049,LU,s2012,solar,avaConv,0.0
h0050,LU,s2012,solar,avaConv,0.0
h0051,LU,s2012,solar,avaConv,0.0
h0052,LU,s2012,solar,avaConv,0.0
h0053,LU,s2012,solar,avaConv,0.0
h0054,LU,s2012,solar,avaConv,0.0
h0055,LU,s2012,solar,avaConv,0.0
h0056,LU,s2012,solar,avaConv,0.000367037661668736
h0057,LU,s2012,solar,avaConv,0.0154266574720094
h0058,LU,s2012,solar,avaConv,0.0782445088798498
h0059,LU,s2012,solar,avaConv,0.137101976783476
h0060,LU,s2012,solar,avaConv,0.117045154344908
h0061,LU,s2012,solar,avaConv,0.0579161036146094
h0062,LU,s2012,solar,avaConv,0.0338165061164339
h0063,LU,s2012,solar,avaConv,0.0113423085352355
h0064,LU,s2012,solar,avaConv,0.000704343913403309
h0065,LU,s2012,solar,avaConv,0.0
h0066,LU,s2012,solar,avaConv,0.0
h0067,LU,s2012,solar,avaConv,0.0
h0068,LU,s2012,solar,avaConv,0.0
h0069,LU,s2012,solar,avaConv,0.0
h0070,LU,s2012,solar,avaConv,0.0
h0071,LU,s2012,solar,avaConv,0.0
h0072,LU,s2012,solar,avaConv,0.0
h0073,LU,s2012,solar,avaConv,0.0
h0074,LU,s2012,solar,avaConv,0.0
h0075,LU,s2012,solar,avaConv,0.0
h0076,LU,s2012,solar,avaConv,0.0
h0077,LU,s2012,solar,avaConv,0.0
h0078,LU,s2012,solar,avaConv,0.0
h0079,LU,s2012,solar,avaConv,0.0
h0080,LU,s2012,solar,avaConv,0.00335897198960194
h0081,LU,s2012,solar,avaConv,0.0666380496192191
h0082,LU,s2012,solar,avaConv,0.147370200966094
h0083,LU,s2012,solar,avaConv,0.228574927177399
h0084,LU,s2012,solar,avaConv,0.260603454326319
h0085,LU,s2012,solar,avaConv,0.248403307917471
h0086,LU,s2012,solar,avaConv,0.176248471083009
h0087,LU,s2012,solar,avaConv,0.0620447739927897
h0088,LU,s2012,solar,avaConv,0.00729967062707354
h0089,LU,s2012,solar,avaConv,0.0
h0090,LU,s2012,solar,avaConv,0.0
h0091,LU,s2012,solar,avaConv,0.0
h0092,LU,s2012,solar,avaConv,0.0
h0093,LU,s2012,solar,avaConv,0.0
h0094,LU,s2012,solar,avaConv,0.0
h0095,LU,s2012,solar,avaConv,0.0
h0096,LU,s2012,solar,avaConv,0.0
h0097,LU,s2012,solar,avaConv,0.0
h0098,LU,s2012,solar,avaConv,0.0
h0099,LU,s2012,solar,avaConv,0.0
h0100,LU,s2012,solar,avaConv,0.0
h0101,LU,s2012,solar,avaConv,0.0
h0102,LU,s2012,solar,avaConv,0.0
h0103,LU,s2012,solar,avaConv,0.0
h0104,LU,s2012,solar,avaConv,0.000198100746835539
h0105,LU,s2012,solar,avaConv,0.00725855087515231
h0106,LU,s2012,solar,avaConv,0.0188832178571497
h0107,LU,s2012,solar,avaConv,0.0298336542241809
h0108,LU,s2012,solar,avaConv,0.0524301520983444
h0109,LU,s2012,solar,avaConv,0.10540531966109
h0110,LU,s2012,solar,avaConv,0.120039282989657
h0111,LU,s2012,solar,avaConv,0.0586399206663313
h0112,LU,s2012,solar,avaConv,0.00576657503830427
h0113,LU,s2012,solar,avaConv,0.0
h0114,LU,s2012,solar,avaConv,0.0
h0115,LU,s2012,solar,avaConv,0.0
h0116,LU,s2012,solar,avaConv,0.0
h0117,LU,s2012,solar,avaConv,0.0
h0118,LU,s2012,solar,avaConv,0.0
h0119,LU,s2012,solar,avaConv,0.0
h0120,LU,s2012,solar,avaConv,0.0
h0121,LU,s2012,solar,avaConv,0.0
h0122,LU,s2012,solar,avaConv,0.0
h0123,LU,s2012,solar,avaConv,0.0
h0124,LU,s2012,solar,avaConv,0.0
h0125,LU,s2012,solar,avaConv,0.0
h0126,LU,s2012,solar,avaConv,0.0
h0127,LU,s2012,solar,avaConv,0.0
h0128,LU,s2012,solar,avaConv,0.00360118803027626
h0129,LU,s2012,solar,avaConv,0.0689263769501937
h0130,LU,s2012,solar,avaConv,0.152161787987782
h0131,LU,s2012,solar,avaConv,0.180391502806673
h0132,LU,s2012,solar,avaConv,0.187315838448956
h0133,LU,s2012,solar,avaConv,0.169501833556514
h0134,LU,s2012,solar,avaConv,0.159914874395526
h0135,LU,s2012,solar,avaConv,0.0466547234633074
h0136,LU,s2012,solar,avaConv,0.00469939628666212
h0137,LU,s2012,solar,avaConv,0.0
h0138,LU,s2012,solar,avaConv,0.0
h0139,LU,s2012,solar,avaConv,0.0
h0140,LU,s2012,solar,avaConv,0.0
h0141,LU,s2012,solar,avaConv,0.0
h0142,LU,s2012,solar,avaConv,0.0
h0143,LU,s2012,solar,avaConv,0.0
h0144,LU,s2012,solar,avaConv,0.0
h0145,LU,s2012,solar,avaConv,0.0
h0146,LU,s2012,solar,avaConv,0.0
h0147,LU,s2012,solar,avaConv,0.0
h0148,LU,s2012,solar,avaConv,0.0
h0149,LU,s2012,solar,avaConv,0.0
h0150,LU,s2012,solar,avaConv,0.0
h0151,LU,s2012,solar,avaConv,0.0
h0152,LU,s2012,solar,avaConv,0.000186122128309518
h0153,LU,s2012,solar,avaConv,0.00915112244478092
h0154,LU,s2012,solar,avaConv,0.0194688738844129
h0155,LU,s2012,solar,avaConv,0.0318420399511013
h0156,LU,s2012,solar,avaConv,0.0948669095282739
h0157,LU,s2012,solar,avaConv,0.184729117631782
h0158,LU,s2012,solar,avaConv,0.121465085772493
h0159,LU,s2012,solar,avaConv,0.0742822640850618
h0160,LU,s2012,solar,avaConv,0.0102087268126465
h0161,LU,s2012,solar,avaConv,0.0
h0162,LU,s2012,solar,avaConv,0.0
h0163,LU,s2012,solar,avaConv,0.0
h0164,LU,s2012,solar,avaConv,0.0
h0165,LU,s2012,solar,avaConv,0.0
h0166,LU,s2012,solar,avaConv,0.0
h0167,LU,s2012,solar,avaConv,0.0
h0168,LU,s2012,solar,avaConv,0.0
h0169,LU,s2012,solar,avaConv,0.0
h0170,LU,s2012,solar,avaConv,0.0
h0171,LU,s2012,solar,avaConv,0.0
h0172,LU,s2012,solar,avaConv,0.0
h0173,LU,s2012,solar,avaConv,0.0
h0174,LU,s2012,solar,avaConv,0.0
h0175,LU,s2012,solar,avaConv,0.0
h0176,LU,s2012,solar,avaConv,0.00122335778973772
h0177,LU,s2012,solar,avaConv,0.0211596357284266
h0178,LU,s2012,solar,avaConv,0.0682088226533925
h0179,LU,s2012,solar,avaConv,0.0798503203814424
h0180,LU,s2012,solar,avaConv,0.123364820527092
h0181,LU,s2012,solar,avaConv,0.17214192051685
h0182,LU,s2012,solar,avaConv,0.131975349689053
h0183,LU,s2012,solar,avaConv,0.0491089433211754
h0184,LU,s2012,solar,avaConv,0.00681412693867901
h0185,LU,s2012,solar,avaConv,0.0
h0186,LU,s2012,solar,avaConv,0.0
h0187,LU,s2012,solar,avaConv,0.0
h0188,LU,s2012,solar,avaConv,0.0
h0189,LU,s2012,solar,avaConv,0.0
h0190,LU,s2012,solar,avaConv,0.0
h0191,LU,s2012,solar,avaConv,0.0
h0192,LU,s2012,solar,avaConv,0.0
h0193,LU,s2012,solar,avaConv,0.0
h0194,LU,s2012,solar,avaConv,0.0
h0195,LU,s2012,solar,avaConv,0.0
h0196,LU,s2012,solar,avaConv,0.0
h0197,LU,s2012,solar,avaConv,0.0
h0198,LU,s2012,solar,avaConv,0.0
h0199,LU,s2012,solar,avaConv,0.0
h0200,LU,s2012,solar,avaConv,0.000117943087697297
h0201,LU,s2012,solar,avaConv,0.005301707561499
h0202,LU,s2012,solar,avaConv,0.0331470500147412
h0203,LU,s2012,solar,avaConv,0.0713048678783175
h0204,LU,s2012,solar,avaConv,0.115097796030614
h0205,LU,s2012,solar,avaConv,0.135849488012757
h0206,LU,s2012,solar,avaConv,0.150341920473323
h0207,LU,s2012,solar,avaConv,0.047481940320354
h0208,LU,s2012,solar,avaConv,0.00437139878190303
h0209,LU,s2012,solar,avaConv,0.0
h0210,LU,s2012,solar,avaConv,0.0
h0211,LU,s2012,solar,avaConv,0.0
h0212,LU,s2012,solar,avaConv,0.0
h0213,LU,s2012,solar,avaConv,0.0
h0214,LU,s2012,solar,avaConv,0.0
h0215,LU,s2012,solar,avaConv,0.0
h0216,LU,s2012,solar,avaConv,0.0
h0217,LU,s2012,solar,avaConv,0.0
h0218,LU,s2012,solar,avaConv,0.0
h0219,LU,s2012,solar,avaConv,0.0
h0220,LU,s2012,solar,avaConv,0.0
h0221,LU,s2012,solar,avaConv,0.0
h0222,LU,s2012,solar,avaConv,0.0
h0223,LU,s2012,solar,avaConv,0.0
h0224,LU,s2012,solar,avaConv,0.00153145812218505
h0225,LU,s2012,solar,avaConv,0.0195777492576504
h0226,LU,s2012,solar,avaConv,0.0427960380003347
h0227,LU,s2012,solar,avaConv,0.0615019883168814
h0228,LU,s2012,solar,avaConv,0.070584392588837
h0229,LU,s2012,solar,avaConv,0.0664588674022892
h0230,LU,s2012,solar,avaConv,0.0503846428114467
h0231,LU,s2012,solar,avaConv,0.0342292761810678
h0232,LU,s2012,solar,avaConv,0.00668340499843499
h0233,LU,s2012,solar,avaConv,0.0
h0234,LU,s2012,solar,avaConv,0.0
h0235,LU,s2012,solar,avaConv,0.0
h0236,LU,s2012,solar,avaConv,0.0
h0237,LU,s2012,solar,avaConv,0.0
h0238,LU,s2012,solar,avaConv,0.0
h0239,LU,s2012,solar,avaConv,0.0
h0240,LU,s2012,solar,avaConv,0.0
h0241,LU,s2012,solar,avaConv,0.0
h0242,LU,s2012,solar,avaConv,0.0
h0243,LU,s2012,solar,avaConv,0.0
h0244,LU,s2012,solar,avaConv,0.0
h0245,LU,s2012,solar,avaConv,0.0
h0246,LU,s2012,solar,avaConv,0.0
h0247,LU,s2012,solar,avaConv,0.0
h0248,LU,s2012,solar,avaConv,0.00153915717822026
h0249,LU,s2012,solar,avaConv,0.0191980376440053
h0250,LU,s2012,solar,avaConv,0.0444396479356903
h0251,LU,s2012,solar,avaConv,0.0505148950700364
h0252,LU,s2012,solar,avaConv,0.0563032797132895
h0253,LU,s2012,solar,avaConv,0.0684101096550615
h0254,LU,s2012,solar,avaConv,0.0545674615049755
h0255,LU,s2012,solar,avaConv,0.0281970067841092
h0256,LU,s2012,solar,avaConv,0.00395279496277486
h0257,LU,s2012,solar,avaConv,0.0
h0258,LU,s2012,solar,avaConv,0.0
h0259,LU,s2012,solar,avaConv,0.0
h0260,LU,s2012,solar,avaConv,0.0
h0261,LU,s2012,solar,avaConv,0.0
h0262,LU,s2012,solar,avaConv,0.0
h0263,LU,s2012,solar,avaConv,0.0
